subj,node1,node2,irt5,irt9,irt95
S104,lemur,raccoon,1,1,0
S104,hedgehog,porcupine,0,0,1
S104,lobster,trout,1,1,1
S104,deer,platypus,1,1,1
S104,boar,deer,0,0,1
S104,elephant,wildebeest,1,1,1
S104,owl,trout,1,1,1
S104,buffalo,porcupine,0,1,1
S104,polarbear,python,1,1,0
S104,greatwhiteshark,killerwhale,1,1,1
S104,groundhog,lemur,0,1,0
S104,jellyfish,lobster,1,1,1
S104,goat,penguin,1,1,1
S104,opossum,raccoon,1,1,1
S104,fox,trout,1,1,1
S104,bluejay,marmot,1,1,1
S104,python,skunk,0,0,1
S104,buffalo,deer,1,1,0
S104,anaconda,python,1,1,1
S104,baldeagle,raccoon,0,1,0
S104,ferret,owl,1,1,1
S104,marmot,woodpecker,1,1,0
S104,baldeagle,wolverine,1,1,1
S104,deer,parrot,1,1,1
S104,groundhog,squirrel,1,1,1
S104,alligator,platypus,1,1,1
S104,crab,lobster,1,1,1
S104,skunk,wildebeest,1,1,1
S104,polarbear,tiger,1,1,1
S104,crab,scorpion,1,1,0
S104,lemur,opossum,1,0,0
S104,alligator,crocodile,1,1,1
S104,pig,porcupine,1,1,1
S104,alligator,scorpion,1,1,1
S104,mouse,parrot,1,1,1
S104,buffalo,tiger,1,1,1
S104,porcupine,starfish,1,1,1
S104,caribou,skunk,1,1,0
S104,crab,starfish,1,1,1
S104,boar,sheep,1,1,1
S105,ostrich,whale,1,1,1
S105,octopus,shark,0,0,1
S105,donkey,lion,1,1,1
S105,sheep,wolf,1,1,1
S105,giraffe,leopard,0,0,1
S105,rat,snake,1,1,1
S105,chicken,pig,1,1,1
S105,dog,dolphin,0,0,1
S105,cat,fish,1,1,1
S105,turtle,zebra,1,1,1
S105,lion,ostrich,1,1,1
S105,elephant,whale,1,1,0
S105,shark,snake,1,1,0
S105,rat,shark,1,0,1
S105,chicken,octopus,1,1,1
S105,bat,horse,1,1,1
S105,dog,elephant,1,1,0
S105,horse,sheep,0,1,1
S105,elephant,ostrich,1,1,0
S105,horse,pig,1,1,1
S105,fish,shark,0,0,1
S105,dolphin,sheep,1,0,0
S105,cat,gerbil,1,1,1
S105,dolphin,whale,1,1,1
S105,donkey,leopard,1,1,0
S105,giraffe,turtle,0,1,0
S105,ant,whale,1,1,1
S105,cow,dolphin,1,1,1
S105,cow,shark,1,1,0
S105,ant,elephant,1,1,1
S105,leopard,lion,1,1,1
S105,elephant,fish,1,1,1
S105,donkey,zebra,1,1,1
S105,hippopotamus,ostrich,0,0,1
S105,dolphin,ostrich,1,0,0
