subj,node1,node2,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,zibb1,zibb2,zibb3,zibb4,zibb5,zibb6,zibb7,zibb8,zibb9
S100,bear,alpaca,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,emu,moose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,ferret,ram,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,orangutan,gorilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,bee,donkey,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,sparrow,owl,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,cassowary,shark,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,antelope,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,moose,deer,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,seal,owl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,anteater,koala,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,cat,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,canary,parrot,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
S100,lion,mosquito,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,iguana,hippopotamus,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,goat,goose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,ferret,lynx,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,reindeer,beaver,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,porcupine,beaver,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,swan,penguin,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bird,owl,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,hare,weasel,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,raccoon,owl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,groundhog,raccoon,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,turtle,lemur,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,komododragon,gecko,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,orangutan,buffalo,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,shark,bluewhale,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,shark,mantaray,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,beaver,mole,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goose,tiger,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,skunk,bear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,lemur,ferret,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,salamander,turtle,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,jellyfish,stingray,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,zebra,lion,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,gazelle,moose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bird,sloth,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,cheetah,lion,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,dingo,jackal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,tuna,bear,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,mountainlion,leopard,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
S100,ibex,gorilla,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,elephant,chihuahua,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,salmon,squid,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,magpie,frog,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,squirrel,robin,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,pigeon,bee,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,guineapig,rabbit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bird,fox,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,hawk,sparrow,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,coyote,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,brownbear,polarbear,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,fly,seal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,otter,alligator,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bulldog,honeybadger,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,pig,armadillo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,squirrel,fox,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
