subj,node1,node2,rw,windowgraph,uinvite
S104,owl,ferret,1,0,1
S104,lemur,skunk,1,0,1
S104,wolverine,baldeagle,1,0,1
S104,parrot,deer,1,0,1
S104,squirrel,groundhog,1,0,1
S104,platypus,alligator,1,1,1
S104,crab,lobster,1,0,1
S104,polarbear,tiger,1,0,1
S104,crocodile,alligator,1,1,1
S104,porcupine,pig,1,0,1
S104,scorpion,alligator,1,1,1
S104,parrot,mouse,1,0,1
S104,tiger,buffalo,1,0,1
S104,porcupine,starfish,1,0,1
S104,crab,starfish,1,0,1
S104,crab,octopus,1,0,1
S104,boar,sheep,1,0,1
S104,badger,lemur,1,0,1
S105,whale,ostrich,1,0,1
S105,shark,octopus,1,0,1
S105,donkey,lion,1,0,1
S105,pig,cow,1,0,1
S105,donkey,horse,1,0,1
S105,rat,snake,1,0,1
S105,pig,chicken,1,1,1
S105,dolphin,dog,1,0,1
S105,fish,ostrich,1,0,1
S105,turtle,zebra,1,0,1
S105,lion,ostrich,1,0,1
S105,fish,dog,1,1,1
S105,sheep,wolf,1,0,1
S105,chicken,octopus,1,0,1
S105,elephant,lion,1,0,1
S105,horse,bat,1,0,1
S105,snake,cow,1,0,1
S105,cow,chicken,1,0,1
S105,sheep,horse,1,0,1
S105,elephant,giraffe,1,0,1
S105,pig,horse,1,0,1
S105,dog,cat,1,1,1
S105,shark,fish,1,0,1
S105,gerbil,cat,1,0,1
S105,whale,dolphin,1,1,1
S105,donkey,leopard,1,0,0
S105,whale,ant,1,0,1
S105,dolphin,cow,1,0,1
S105,elephant,ant,1,0,1
S105,lion,leopard,1,0,1
S105,elephant,fish,1,0,1
S105,donkey,zebra,1,0,1
S105,shark,dolphin,1,0,1
S105,hippopotamus,ostrich,1,0,1
S105,leopard,giraffe,1,0,1
S105,fish,cat,1,1,1
S105,sheep,cow,1,0,1
S105,hippopotamus,elephant,1,0,1
S105,giraffe,dog,1,0,1
S105,elephant,leopard,1,0,0
S105,lion,giraffe,1,0,1
S105,gerbil,mouse,1,0,1
S105,giraffe,zebra,1,0,1
S105,bat,skunk,1,0,1
S105,rat,mouse,1,0,1
S106,horse,giraffe,1,0,1
S106,alligator,elephant,1,0,1
S106,coyote,penguin,1,0,0
S106,possum,rabbit,1,0,1
S106,mouse,armadillo,1,0,1
S106,polarbear,flamingo,1,0,1
S106,possum,cow,1,0,1
S106,kangaroo,skunk,1,0,1
S106,elephant,lion,1,0,1
S106,hawk,bear,1,0,1
S106,horse,lion,1,0,1
S106,hawk,coyote,1,0,1
S106,panda,kangaroo,1,0,1
S106,chicken,buffalo,1,0,1
S106,squirrel,raccoon,1,0,1
S106,lemur,buffalo,1,0,1
S106,elephant,bear,1,0,1
S106,giraffe,coyote,1,0,1
S106,pig,chicken,1,1,1
S106,possum,dog,1,0,1
S106,possum,skunk,1,0,1
S106,giraffe,chicken,1,0,1
S106,coyote,lemur,1,0,1
S106,elephant,giraffe,1,0,1
S106,hawk,eagle,1,0,1
S106,duck,walrus,1,0,1
S106,alligator,rabbit,1,0,1
S106,horse,snake,1,0,1
S106,dog,cat,1,1,1
S106,pig,penguin,1,0,1
S106,mouse,bat,1,0,1
S106,mouse,eagle,1,0,1
S106,elephant,pig,1,0,1
S106,alligator,walrus,1,0,1
S106,hawk,penguin,1,1,1
S106,squirrel,bat,1,0,1
S106,polarbear,penguin,1,0,1
S106,armadillo,skunk,1,0,1
S106,lion,dog,1,0,1
S106,bear,tiger,1,0,1
S106,lion,tiger,1,1,1
S106,tiger,bat,1,0,1
S106,gerbil,giraffe,1,0,1
S106,horse,elephant,1,0,1
S106,duck,flamingo,1,0,1
S106,bat,dog,1,0,1
S106,alligator,panda,1,0,1
S106,gerbil,mouse,1,0,1
S106,cow,raccoon,1,0,1
S107,sparrow,hawk,1,0,1
S107,horse,donkey,1,1,1
S107,flamingo,toad,1,0,1
S107,porpoise,waterbuffalo,1,0,1
S107,orca,panda,0,1,0
S107,stork,robin,1,0,1
S107,chicken,bat,1,0,1
S107,jaguar,leopard,1,0,1
S107,snappingturtle,seaturtle,1,0,1
S107,ferret,rat,1,0,1
S107,sparrow,robin,1,0,1
S107,pelican,stork,1,0,1
S107,panther,donkey,1,0,1
S107,octopus,squid,1,0,1
S107,giraffe,oryx,1,0,1
S107,skate,greatwhiteshark,1,0,1
S107,orangutan,chimpanzee,1,1,1
S107,jaguar,cheetah,1,0,1
S107,tiger,whale,1,0,1
S107,frog,toad,1,1,1
S107,chimpanzee,gorilla,1,0,1
S107,bulldog,tiger,1,0,1
S107,stingray,jellyfish,1,0,1
S107,flamingo,wolf,1,0,1
S107,kangaroo,rat,1,0,1
S107,lion,tiger,1,1,1
S107,turtle,stork,1,0,1
S107,panther,tiger,1,0,1
S107,skate,rattlesnake,1,0,1
S107,jaguar,panther,1,0,1
S107,elephant,hyena,1,0,1
S107,cat,dog,1,0,1
S107,seal,manatee,1,1,1
S107,cow,horse,1,1,1
S107,cheetah,leopard,1,1,1
S107,fox,waterbuffalo,1,0,1
S107,bison,greatwhiteshark,1,0,1
S107,giraffe,capybara,1,0,1
S107,fox,manatee,1,0,1
S107,panda,kangaroo,1,0,1
S107,cow,donkey,0,1,0
S107,lemur,orangutan,1,0,1
S107,salmon,seaturtle,1,0,1
S107,orangutan,deer,1,0,1
S107,panther,boar,1,0,1
S107,humpbackwhale,narwhal,1,0,1
S107,puma,cougar,1,0,1
S107,bison,cougar,1,0,1
S107,octopus,jellyfish,1,0,1
S107,giraffe,buffalo,1,0,1
S107,tuna,leopard,1,0,1
S107,manatee,narwhal,1,1,1
S107,fox,wolfhound,1,0,1
S107,jaguar,capybara,1,0,1
S107,sheep,goat,1,0,1
S107,lion,elephant,1,0,1
S107,greatwhiteshark,hammerheadshark,1,0,1
S107,orca,manatee,1,0,1
S107,seal,narwhal,1,1,1
S107,chicken,donkey,1,0,1
S107,puma,gorilla,1,0,1
S107,cougar,chimpanzee,1,0,1
S107,antelope,oryx,1,0,1
S107,chicken,sheep,1,0,1
S107,bat,cod,1,0,1
S107,manatee,cow,1,0,1
S107,whale,narwhal,1,0,1
S107,horse,deer,1,0,1
S107,flamingo,robin,1,0,1
S107,flamingo,stork,1,0,1
S107,rat,capybara,0,1,0
S107,chicken,cow,1,1,1
S107,fish,buffalo,1,0,1
S107,puma,cheetah,1,0,1
S107,mouse,capybara,1,1,1
S107,rat,mouse,1,1,1
S107,salmon,hammerheadshark,1,0,1
S107,orca,koala,1,1,1
S107,orca,narwhal,0,1,0
S107,hippopotamus,catamount,1,0,1
S107,antelope,hyena,1,0,1
S107,donkey,goat,1,0,1
S107,fox,wolf,1,1,1
S107,cod,tuna,1,0,1
S107,lion,leopard,1,1,1
S107,salmon,tuna,1,1,1
S107,rattlesnake,hyena,1,0,1
S107,bison,sheep,1,0,1
S107,bluewhale,narwhal,1,0,1
S107,giraffe,leopard,1,0,1
S107,beagle,wolfhound,1,0,1
S107,stork,hyena,1,0,1
S107,hippopotamus,hyena,1,0,1
S107,jaguar,hyena,1,0,1
S107,greatwhiteshark,bluewhale,1,0,1
S107,panda,koala,1,1,1
S107,turtle,toad,1,0,1
S107,puma,catamount,1,0,1
S107,panda,rat,0,1,0
S107,fish,dog,1,0,1
S107,sheep,donkey,1,1,0
S107,ferret,panda,1,0,1
S107,stingray,pelican,1,0,1
S107,sheep,robin,1,0,1
S107,sealion,manatee,1,0,0
S107,elephant,cheetah,1,0,1
S107,lion,cheetah,1,1,1
S107,eagle,stork,1,0,0
S107,rhinoceros,cheetah,1,0,1
S107,tiger,rhinoceros,1,0,1
S107,hippopotamus,rhinoceros,1,1,1
S107,bison,squid,1,0,1
S107,boxturtle,bobcat,1,0,1
S107,orca,humpbackwhale,1,0,1
S107,boxturtle,snappingturtle,1,0,1
S107,wolf,bobcat,1,0,1
S107,rattlesnake,frog,1,1,1
S107,sheep,horse,1,1,1
S107,eagle,hawk,1,0,1
S107,jaguar,cougar,1,0,1
S107,chicken,horse,0,1,0
S107,seal,sealion,1,0,1
S107,rattlesnake,toad,0,1,0
S107,fox,lemur,1,0,1
S107,cat,bear,1,0,1
S108,fish,rooster,1,0,1
S108,cheetah,leopard,1,1,1
S108,camel,donkey,1,1,1
S108,chicken,pig,1,1,1
S108,mammoth,sloth,1,0,1
S108,tiger,leopard,0,1,0
S108,zebra,hippopotamus,1,0,1
S108,bear,wolf,1,1,1
S108,owl,ape,1,0,1
S108,bat,whale,1,0,1
S108,chicken,cat,0,1,0
S108,otter,chipmunk,1,1,1
S108,chinchilla,rabbit,1,0,1
S108,parrot,hippopotamus,1,0,1
S108,parrot,sheep,1,0,1
S108,sheep,ram,1,0,1
S108,goose,chicken,1,0,1
S108,shark,whale,1,0,1
S108,shark,dolphin,1,0,1
S108,snake,lizard,1,0,1
S108,lion,tiger,1,1,1
S108,orca,seal,1,0,1
S108,emu,ostrich,1,0,1
S108,otter,beaver,1,0,1
S108,crocodile,lizard,1,0,1
S108,turtle,rabbit,1,1,1
S108,alligator,elephant,1,0,1
S108,rabbit,rooster,1,0,1
S108,chipmunk,gorilla,1,1,1
S108,emu,rat,1,0,1
S108,orca,dolphin,1,0,1
S108,snake,hamster,1,0,1
S108,snake,rat,0,1,0
S108,goose,octopus,1,0,1
S108,giraffe,ostrich,1,0,1
S108,cow,buffalo,1,0,0
S108,walrus,manatee,1,0,1
S108,chicken,rooster,1,0,1
S108,sheep,pig,1,1,1
S108,monkey,gorilla,1,0,1
S108,snake,mouse,1,1,1
S108,turtle,rat,1,0,1
S108,parrot,hamster,1,0,1
S108,crocodile,chinchilla,1,0,1
S108,duck,horse,1,0,1
S108,dolphin,manatee,1,0,1
S108,hippopotamus,mouse,1,0,1
S108,tiger,otter,1,0,1
S108,fox,salmon,1,0,1
S108,rat,gorilla,1,0,1
S108,gazelle,cheetah,1,0,1
S108,chipmunk,possum,1,0,1
S108,elephant,leopard,1,0,1
S108,chicken,dog,1,1,1
S108,hippopotamus,gazelle,1,0,1
S108,owl,chipmunk,1,0,1
S108,lion,elephant,0,1,0
S108,zebra,mammoth,1,0,1
S108,chipmunk,sloth,1,0,1
S108,ape,chipmunk,0,1,0
S108,bat,alligator,1,0,1
S108,dolphin,whale,1,1,1
S108,walrus,coyote,1,0,1
S108,pig,dog,0,1,0
S108,wolf,coyote,1,0,1
S108,cow,ram,1,0,1
S108,seal,alligator,1,0,1
S108,seal,wolf,0,1,0
S108,cow,dog,1,0,1
S108,cat,dog,1,1,1
S108,wolf,donkey,1,1,1
S108,parrot,owl,1,0,1
S108,goose,duck,1,1,1
S108,rat,mouse,1,1,1
S108,horse,donkey,1,1,1
S108,tiger,cheetah,1,0,1
S108,bear,tiger,1,0,1
S108,giraffe,lion,1,1,1
S108,lion,leopard,1,0,1
S108,salmon,tuna,1,0,1
S108,camel,lizard,1,0,1
S108,ape,gorilla,1,1,1
S108,fish,shrimp,1,0,1
S108,turtle,ape,1,0,1
S108,beaver,sloth,1,0,1
S108,snake,turtle,1,0,1
S108,snake,monkey,1,0,1
S108,wolf,sheep,1,0,1
S108,cow,pig,1,1,1
S108,camel,elephant,1,0,1
S108,tuna,whale,1,0,1
S108,gorilla,sloth,1,0,1
S108,octopus,shrimp,1,0,1
S108,leopard,possum,1,0,1
S108,cow,sheep,1,1,1
S108,giraffe,elephant,1,1,1
S108,zebra,fox,1,0,1
S108,duck,lizard,1,0,1
S108,crocodile,alligator,1,1,1
S108,horse,buffalo,1,0,1
S108,giraffe,gazelle,1,0,1
S108,crocodile,turtle,1,0,1
S108,ram,buffalo,0,0,1
S108,lion,gazelle,1,0,1
S108,bear,leopard,1,0,1
S108,bear,seal,1,1,1
S109,whale,ostrich,1,0,1
S109,chicken,ostrich,1,0,1
S109,shark,panda,1,0,1
S109,lamb,sheep,1,0,1
S109,panther,weasel,1,0,1
S109,lion,tiger,1,0,1
S109,deer,sheep,1,0,1
S109,wolf,weasel,1,0,1
S109,bull,ox,1,0,1
S109,whale,mouse,1,0,1
S109,cheetah,panther,1,0,1
S109,moose,ox,1,0,1
S109,parakeet,cow,1,0,1
S109,pig,cow,1,0,1
S109,lion,bear,1,1,1
S109,panda,koala,1,0,1
S109,snake,gorilla,1,0,1
S109,lion,wolf,1,0,1
S109,bear,cow,1,0,1
S109,rat,moose,1,0,1
S109,snake,raccoon,1,0,1
S109,rat,kangaroo,1,0,1
S109,porcupine,rabbit,1,0,1
S109,parakeet,cat,1,0,1
S109,rabbit,ox,1,0,1
S109,lamb,cow,1,0,1
S109,parakeet,polarbear,1,0,1
S109,pigeon,deer,1,0,1
S109,sheep,moose,1,0,1
S109,pig,goat,1,0,1
S109,sheep,ox,0,1,0
S109,pig,chicken,1,0,1
S109,chimpanzee,weasel,1,0,1
S109,lamb,ox,1,0,1
S109,bear,wolf,1,0,1
S109,bear,tiger,1,0,1
S109,sheep,bull,1,0,1
S109,pigeon,parakeet,1,0,1
S109,elephant,giraffe,1,0,1
S109,polarbear,ostrich,1,0,1
S109,rat,rabbit,1,0,0
S109,duck,goose,1,0,1
S109,duck,penguin,1,0,1
S109,sheep,rabbit,1,0,1
S109,monkey,gorilla,1,0,1
S109,giraffe,wolf,1,0,1
S109,rat,dog,1,0,1
S109,camel,lion,1,0,1
S109,shark,hare,1,0,1
S109,monkey,chimpanzee,1,0,1
S109,parakeet,ostrich,1,0,1
S109,pigeon,giraffe,1,0,1
S109,parakeet,parrot,1,0,1
S109,goose,bear,1,0,1
S109,bull,cow,1,0,1
S109,camel,ox,1,0,1
S109,camel,moose,1,0,0
S109,shark,whale,1,0,1
S109,shark,camel,1,0,1
S109,pigeon,bat,1,0,1
S109,cheetah,tiger,1,0,1
S109,elephant,penguin,1,0,1
S109,duck,mouse,1,0,1
S109,rat,raccoon,1,0,1
S109,dog,cat,1,1,1
S109,pigeon,parrot,1,0,1
S109,whale,penguin,1,0,1
S109,camel,giraffe,1,0,1
S109,pigeon,penguin,1,0,1
S109,rat,cow,1,0,1
S109,lion,dog,1,0,1
S109,hare,porcupine,1,0,1
S109,polarbear,weasel,1,0,1
S109,lamb,goat,1,0,1
S109,camel,bull,1,0,1
S109,koala,polarbear,1,0,1
S110,dungbeetle,horse,1,0,1
S110,mole,chameleon,1,0,1
S110,civet,monkey,1,0,1
S110,mouse,tapir,1,0,1
S110,chicken,pig,1,0,1
S110,iguana,chameleon,1,0,1
S110,leopard,basilisk,1,0,1
S110,llama,alpaca,1,0,1
S110,jaguar,leopard,1,0,1
S110,newt,polarbear,1,0,1
S110,lizard,mouse,1,0,1
S110,chipmunk,cheetah,1,0,1
S110,carp,shark,1,0,1
S110,eagle,gorilla,1,0,1
S110,chicken,ape,1,0,1
S110,lion,tiger,1,1,1
S110,spider,rat,1,0,1
S110,deer,argali,1,0,1
S110,emu,ostrich,1,0,1
S110,chinchilla,ram,1,0,1
S110,dingo,leopard,1,0,1
S110,sheep,tapir,1,0,1
S110,shrew,mouse,1,0,1
S110,vulture,hawk,1,0,1
S110,sparrow,eagle,1,0,1
S110,lynx,ram,1,0,1
S110,muskox,okapi,1,0,1
S110,seal,cat,1,0,1
S110,donkey,cat,1,0,1
S110,polarbear,capybara,1,0,1
S110,hamster,bear,1,0,1
S110,lion,bear,0,1,0
S110,hippopotamus,hawk,1,0,1
