subj,node1,node2,u-invite,priming,rw,windowgraph
S11,coyote,dog,0,1,0,0
S11,dolphin,dog,0,1,0,0
S11,crab,dog,0,1,0,0
S11,trout,dog,0,1,0,0
S11,siamesecat,dog,0,1,0,0
S11,horse,dog,0,1,0,0
S11,anteater,dog,0,1,0,0
S11,cougar,dog,0,1,0,0
S11,wildebeest,dog,0,1,0,0
S11,mantaray,dog,0,1,0,0
S11,pomeranian,dog,0,1,0,0
S11,tiger,dog,0,1,0,0
S11,giraffe,dog,0,1,0,0
S11,rabbit,dog,0,1,0,0
S11,bird,dog,0,1,0,0
S11,hermitcrab,dog,0,1,0,0
S11,beagle,dog,0,1,0,0
S11,bear,dog,0,1,0,0
S11,zebra,dog,0,1,0,0
S11,jellyfish,dog,0,1,0,0
S11,human,dog,0,1,0,0
S11,wildebeest,alligator,1,1,0,1
S11,snake,mountainlion,1,1,0,1
S11,dolphin,whaleshark,1,1,0,1
S11,panther,mountainlion,1,1,0,1
S11,tiger,cat,1,1,0,1
S11,wildebeest,rhinoceros,1,1,0,1
S11,orangutan,bonobo,1,1,0,1
S11,orangutan,monkey,1,1,0,1
S11,lion,siberiantiger,1,1,0,1
S11,crocodile,salamander,1,1,0,1
S11,chimpanzee,tarsier,1,1,0,1
S11,bluewhale,hammerheadshark,1,1,0,1
S11,cougar,bengal,1,1,0,1
S11,mustang,horse,1,1,0,1
S11,sparrow,finch,1,1,0,1
S11,giraffe,horse,1,1,0,1
S11,bullshark,hammerheadshark,1,1,0,1
S11,baldeagle,redtailedhawk,1,1,0,1
S11,snake,gartersnake,1,1,0,1
S11,bonobo,lemur,1,1,0,1
S11,bluewhale,whale,1,1,0,1
S11,shark,whale,1,1,0,1
S11,sealion,walrus,1,1,0,1
S11,gecko,toad,1,1,0,1
S11,greatwhiteshark,tigershark,1,1,0,1
S11,lemur,gorilla,1,1,1,1
S11,mulde,donkey,1,1,1,1
S11,squid,humpbackwhale,1,1,1,1
S11,bird,pelican,1,1,1,1
S11,spiritbear,blackbear,1,1,1,1
S11,aardvark,anteater,1,1,1,1
S11,bug,inchworm,1,1,1,1
S11,greathornedowl,elfowl,1,1,1,1
S11,rhesusmonkey,bonobo,1,1,1,1
S11,yorkie,husky,1,1,1,1
S11,human,gorilla,1,1,1,1
S11,polarbear,baldeagle,1,1,1,1
S11,mustang,redtailedhawk,1,1,1,1
S11,dragonfly,redant,1,1,1,1
S11,gibbon,monkey,1,1,1,1
S11,iguana,gecko,1,1,1,1
S11,clownfish,fish,1,1,1,1
S11,labradoodle,goldendoodle,1,1,1,1
S11,cat,tabbycat,1,1,1,1
S11,alligator,salamander,1,1,1,1
S11,sparrow,seagull,1,1,1,1
S11,lion,cheetah,1,1,1,1
S11,tortoise,turtle,1,1,1,1
S11,lion,cat,1,1,1,1
S11,tibetanterrier,yorkie,1,1,1,1
S11,crab,giantsquid,1,1,1,1
S11,monkey,gorilla,1,1,1,1
S11,komododragon,jellyfish,1,1,1,1
S11,bloodhound,beagle,1,1,1,1
S11,bear,elk,1,1,1,1
S11,cougar,puma,1,1,1,1
S11,kingcobra,anaconda,1,1,1,1
S11,squirrel,hedgehog,1,1,1,1
S11,bat,moth,1,1,1,1
S11,labradoodle,labrador,1,1,1,1
S11,snake,rattlesnake,1,1,1,1
S11,sparrow,cardinal,1,1,1,1
S11,elk,deer,1,1,1,1
S11,ape,gibbon,1,1,1,1
S11,poodle,walrus,1,1,1,1
S11,marineiguana,landiguana,1,1,1,1
S11,parrot,bird,1,1,1,1
S11,germanshepherd,dog,1,1,1,1
S11,baldeagle,eagle,1,1,1,1
S11,stingray,deer,1,1,1,1
S11,rabbit,bunny,1,1,1,1
S11,spidermonkey,rhesusmonkey,1,1,1,1
S11,salamander,amphibian,1,1,1,1
S11,goldfish,clownfish,1,1,1,1
S11,elephant,giraffe,1,1,1,1
S11,bat,lizard,1,1,1,1
S11,rattlesnake,gartersnake,1,1,1,1
S11,horse,donkey,1,1,1,1
S11,ladybug,butterfly,1,1,1,1
S11,crab,oyster,1,1,1,1
S11,rhinoceros,starfish,1,1,1,1
S11,magpie,hummingbird,1,1,1,1
S11,weasel,otter,1,1,1,1
S11,siberiantiger,tiger,1,1,1,1
S11,frog,butterfly,1,1,1,1
S11,sealion,cockerspaniel,1,1,1,1
S11,lion,snowleopard,1,1,1,1
S11,halibut,lobster,1,1,1,1
S11,tarantula,wolfspider,1,1,1,1
S11,tibetanterrier,cockerspaniel,1,1,1,1
S11,worm,gartersnake,1,1,1,1
S11,tarantula,spider,1,1,1,1
