idx,cf,ef,numitems,persev,clustersize,clusterswitch
233,0.06,0.17,15.06,0.54,2.33352519703,6.3
234,0.06,0.18,14.76,0.7,2.31468181818,5.92
235,0.06,0.19,14.8,0.58,2.50846825397,5.6
236,0.06,0.2,14.88,0.68,2.16993650794,6.24
237,0.06,0.21,14.3,0.54,2.18432389832,6.12
238,0.06,0.22,14.1,0.72,2.18249422799,5.92
239,0.06,0.23,14.5,0.62,2.15623015873,6.12
240,0.06,0.24,13.9,0.66,2.16194444444,6.02
241,0.06,0.25,14.0,0.56,2.0100952381,6.32
242,0.06,0.26,13.94,0.52,2.42878571429,5.3
243,0.06,0.27,13.94,0.56,2.2192987013,5.96
244,0.06,0.28,14.36,0.5,2.32673304473,5.82
245,0.06,0.29,13.56,0.66,2.27560606061,5.58
246,0.06,0.3,13.08,0.42,1.97947258297,6.12
247,0.06,0.31,13.72,0.7,2.20430952381,5.94
248,0.06,0.32,13.02,0.62,2.15145598846,5.66
249,0.06,0.33,13.38,0.46,2.18622582973,5.6
250,0.06,0.34,13.36,0.4,2.24887734488,5.52
251,0.06,0.35,13.02,0.64,2.28798412698,5.24
252,0.07,0.0,17.0,0.74,2.29827489177,6.78
253,0.07,0.01,16.92,0.72,2.26415889666,7.02
254,0.07,0.02,16.8,0.6,2.49247691198,6.46
255,0.07,0.03,16.64,0.56,2.25587373737,6.84
256,0.07,0.04,16.48,0.82,2.47211111111,6.36
257,0.07,0.05,16.36,0.7,2.20177056277,6.9
258,0.07,0.06,16.26,0.84,2.36116233766,6.66
259,0.07,0.07,16.32,0.98,2.45961111111,6.08
260,0.07,0.08,16.06,0.74,2.23947546898,6.56
261,0.07,0.09,15.8,0.82,2.25361832612,6.68
262,0.07,0.1,15.8,0.88,2.30032828283,6.74
263,0.07,0.11,15.62,0.66,2.37696969697,6.2
264,0.07,0.12,15.7,0.58,2.3116991342,6.32
265,0.07,0.13,15.64,0.9,2.32791197691,6.06
266,0.07,0.14,14.88,0.68,2.16975180375,6.34
267,0.07,0.15,15.18,0.64,2.42046825397,5.96
268,0.07,0.16,15.24,0.74,2.28767099567,6.14
269,0.07,0.17,15.08,0.78,2.15217604618,6.52
270,0.07,0.18,15.12,0.5,2.32950649351,6.42
271,0.07,0.19,14.82,0.92,2.10191269841,6.64
272,0.07,0.2,14.78,0.66,2.65199206349,5.26
273,0.07,0.21,14.44,0.7,2.19444372294,6.2
274,0.07,0.22,14.44,0.78,2.23548845599,5.88
275,0.07,0.23,14.18,0.56,2.08303174603,6.2
276,0.07,0.24,14.06,0.72,2.07009379509,6.16
277,0.07,0.25,14.06,0.68,2.14453030303,5.94
278,0.07,0.26,13.98,0.5,2.16141558442,6.02
279,0.07,0.27,13.64,0.52,2.15238383838,5.94
280,0.07,0.28,13.62,0.7,2.257,5.56
281,0.07,0.29,13.4,0.66,2.1289004329,5.72
282,0.07,0.3,13.4,0.46,2.45894877345,5.16
283,0.07,0.31,13.46,0.76,2.05695526696,5.9
284,0.07,0.32,12.84,0.8,1.82821645022,6.32
285,0.07,0.33,13.06,0.7,2.22344444444,5.4
