subj,node1,node2,uinvite_hierarchical,rw,fe,goni,chan,kenett
S100,tasmaniandevil,wolf,1,1,0,0,0,0
S100,tapir,porcupine,1,1,0,0,0,0
S100,parrot,wildcat,0,0,0,0,0,1
S100,panda,mosquito,0,1,0,0,0,0
S100,possum,bat,1,1,0,0,0,0
S100,wolverine,rabbit,0,1,0,0,0,0
S100,raven,lark,1,1,0,0,1,0
S100,butterfly,kangaroo,0,1,0,0,0,0
S100,platypus,hare,0,0,0,0,0,1
S100,chipmunk,beaver,0,1,0,1,0,0
S100,seagull,armadillo,0,0,0,0,0,1
S100,swordfish,pig,0,1,0,0,0,0
S100,grasshopper,toad,1,1,0,0,0,0
S100,shark,sealion,0,1,0,1,0,0
S100,anaconda,cobra,1,0,0,0,0,0
S100,seagull,moose,1,1,0,0,0,0
S100,bat,polarbear,0,0,0,0,0,1
S100,goby,deer,0,0,0,0,0,1
S100,brownbear,horse,1,1,1,0,0,0
S100,aardvark,whale,0,1,1,0,0,0
S100,goat,frog,0,1,0,0,0,0
S100,turtle,gecko,0,1,0,0,0,0
S100,goose,lion,0,1,0,0,0,0
S100,bat,deer,0,1,0,0,0,0
S100,monkey,capuchin,1,1,0,0,1,0
S100,horse,cow,1,1,1,1,1,0
S100,crow,eagle,0,0,0,1,0,0
S100,coyote,hippopotamus,0,1,0,0,0,0
S100,seagull,lynx,1,1,0,0,0,0
S100,mink,honeybadger,0,0,0,0,0,1
S100,turtle,raccoon,0,1,0,0,0,0
S100,echidna,earthworm,1,1,0,0,1,0
S100,cat,mouse,0,1,0,0,0,0
S100,walrus,cricket,0,0,0,0,0,1
S100,dog,buffalo,0,0,0,0,0,1
S100,dog,lion,0,1,0,0,1,0
S100,lion,alligator,0,1,0,0,1,0
S100,puma,fox,0,1,0,0,0,0
S100,giraffe,aardvark,0,1,0,0,0,0
S100,persian,lobster,0,0,0,0,0,1
S100,bonobo,ape,1,1,0,1,0,0
S100,hog,guineapig,0,1,0,0,0,0
S100,polarbear,walrus,0,1,0,0,0,0
S100,horse,duck,0,1,0,0,0,0
S100,sabertoothedtiger,wolf,0,0,0,0,0,1
S100,iguana,python,1,1,0,0,0,0
S100,fly,cat,0,1,0,0,0,0
S100,tick,cottonmouth,0,0,0,0,0,1
S100,jellyfish,manatee,1,1,0,0,0,0
S100,bird,polarbear,0,1,0,0,0,0
S100,komododragon,zebra,0,1,0,0,0,0
S100,rooster,elk,0,1,0,0,0,0
S100,badger,rooster,0,1,0,0,0,0
S100,tapir,gecko,0,0,0,0,0,1
S100,raven,assassinbug,0,0,0,0,0,1
S100,horse,fox,0,1,0,0,0,0
S100,flamingo,chinchilla,0,0,0,0,0,1
S100,fawn,rabbit,0,1,0,0,0,0
S100,redfox,clownfish,0,0,0,0,0,1
S100,blackbear,blowfish,0,0,0,0,0,1
S100,clam,fish,1,1,0,0,0,0
S100,snake,robin,0,1,0,0,0,0
S100,carp,mussel,0,1,0,0,0,0
S100,crocodile,otter,0,1,0,0,0,0
S100,canary,blowfish,0,0,0,0,0,1
S100,bass,mouse,1,1,0,0,0,0
S100,parrot,seagull,0,1,0,0,0,0
S100,crow,pigeon,1,1,0,1,1,0
S100,hippopotamus,sloth,0,1,0,0,0,0
S100,giraffe,ray,1,1,0,0,0,0
S100,goose,swan,1,1,0,1,1,0
S100,fish,crab,0,1,0,0,0,0
S100,sloth,rabbit,0,1,0,0,0,1
S100,mountainlion,puma,1,1,0,0,0,1
S100,oyster,puma,0,0,0,0,0,1
S100,cockroach,finch,0,0,0,0,0,1
S100,sealion,penguin,1,1,0,1,0,0
S100,grizzlybear,bat,0,1,0,0,0,0
S100,parrot,orca,0,0,0,0,0,1
S100,blackbear,grizzlybear,1,1,0,1,1,0
S100,honeybadger,macaque,0,0,0,0,0,1
S100,lion,wolf,0,1,0,0,1,0
S100,stinkbug,swordfish,0,0,0,0,0,1
S100,warthog,gorilla,0,0,0,0,0,1
S100,komododragon,goat,1,1,1,0,0,0
S100,viper,hammerheadshark,0,0,0,0,0,1
S100,cougar,lynx,1,1,0,1,0,0
S100,dolphin,possum,0,0,0,0,0,1
S100,kinkajou,chimpanzee,1,1,0,1,1,0
S100,goose,pigeon,0,1,0,1,0,0
S100,cassowary,jaguar,0,0,0,0,0,1
S100,duckling,camel,0,0,0,0,0,1
S100,labradorretriever,goldenretriever,1,1,0,0,1,0
S100,ferret,flamingo,0,1,0,0,0,0
S100,rhinoceros,penguin,0,1,0,0,0,0
S100,anaconda,caribou,0,0,0,0,0,1
S100,snake,cricket,1,1,0,0,0,0
S100,dog,cat,1,1,1,1,1,0
S100,sugarglider,wasp,0,0,0,0,0,1
S100,salamander,starfish,0,0,0,0,0,1
S100,cat,jackal,0,1,0,0,0,0
S100,coyote,turkey,0,1,0,0,0,0
S100,sparrow,chinchilla,1,1,0,0,0,0
S100,lizard,eel,0,1,0,0,0,0
S100,bird,lobster,0,0,0,0,0,1
S100,bobcat,cat,0,1,0,0,0,0
S100,hippopotamus,sealion,0,1,0,0,0,0
S100,goat,wallaby,0,1,0,0,0,0
S100,gopher,walrus,0,0,0,0,0,1
S100,ibis,caterpillar,0,0,0,0,0,1
S100,chameleon,spider,0,0,0,0,0,1
S100,octopus,penguin,0,1,0,0,0,0
S100,iguana,camel,0,1,0,0,0,0
S100,minnow,rattlesnake,0,0,0,0,0,1
S100,bull,bruin,1,1,0,0,1,0
S100,minnow,opossum,0,0,0,0,0,1
S100,lizard,bug,1,1,0,0,1,0
S100,kitten,lizard,1,1,0,0,1,0
S100,bull,wolf,0,1,0,0,0,0
S100,guineapig,hamster,1,1,0,1,1,0
S100,llama,snake,0,1,0,0,0,0
S100,dragon,lizard,1,1,0,0,0,0
S100,donkey,moose,0,1,0,0,0,0
S100,jellyfish,clownfish,1,1,0,0,0,0
S100,rhinoceros,bear,0,1,0,0,0,0
S100,mule,frog,0,1,0,0,0,0
S100,prairiedog,kangaroo,0,1,0,0,0,0
S100,eagle,chipmunk,0,1,0,0,0,0
S100,sheep,owl,0,1,1,0,0,0
S100,starfish,fish,1,1,0,1,1,0
S100,lamb,chicken,0,1,0,0,0,0
S100,manx,gopher,0,0,0,0,0,1
S100,giraffe,hyena,0,1,0,1,0,0
S100,cheetah,dodo,1,1,0,0,0,0
S100,warthog,conure,0,0,0,0,0,1
S100,bear,kangaroo,0,1,0,0,0,0
S100,dolphin,cardinal,1,1,0,0,0,0
S100,brownbear,whale,0,0,0,0,0,1
S100,mantis,adder,0,0,0,0,0,1
S100,crocodile,bluewhale,1,1,0,0,0,0
S100,canary,chipmunk,1,1,0,1,1,0
S100,bluejay,beaver,0,1,0,0,0,0
S100,dolphin,swordfish,0,0,0,0,0,1
S100,dingo,tiger,0,1,0,0,0,0
S100,iguana,kangaroo,0,1,0,0,0,0
S100,cat,fox,0,1,0,0,0,0
S100,ram,camel,0,0,0,0,0,1
S100,bobcat,jaguar,1,1,0,0,0,0
S100,hawk,bear,0,1,0,0,0,0
S100,crocodile,lion,0,1,0,0,0,0
S100,bear,alpaca,0,1,1,0,0,0
S100,emu,moose,0,1,0,0,0,0
S100,ant,ladybug,1,1,0,1,0,0
S100,goat,elk,0,1,0,0,0,0
S100,shark,koala,0,1,0,0,0,0
S100,goose,rooster,0,1,0,0,0,0
S100,horse,bat,0,1,0,0,0,0
S100,turtle,alligator,0,1,0,0,0,0
S100,orangutan,gorilla,1,1,0,1,1,0
S100,bird,tiger,0,1,0,0,0,0
S100,dormouse,eel,1,1,0,0,0,0
S100,ostrich,hamster,0,1,0,0,0,0
S100,bee,donkey,0,1,0,0,0,0
S100,sparrow,owl,1,1,0,1,0,0
S100,chameleon,worm,0,0,0,0,0,1
S100,nakedmolerat,bluebird,0,0,0,0,0,1
S100,scottishshetland,tapir,0,0,0,0,0,1
S100,antelope,rabbit,0,1,0,0,0,0
S100,narwhal,orca,0,1,0,1,1,0
S100,sealion,starfish,1,1,0,0,0,0
S100,seal,owl,0,1,0,0,0,0
S100,bear,penguin,0,1,0,0,0,0
S100,seahorse,mule,1,0,0,0,0,0
S100,anteater,koala,0,1,0,0,0,0
S100,cat,rabbit,0,1,0,0,0,0
S100,elephant,monkey,0,1,0,0,0,0
S100,hippopotamus,gazelle,0,1,0,0,0,0
S100,bengaltiger,bronco,1,1,0,0,0,0
S100,canary,parrot,1,1,0,1,0,0
S100,anaconda,adder,1,1,0,0,0,0
S100,sheep,orca,0,0,0,0,0,1
S100,elephant,parrot,0,1,0,0,0,0
S100,liger,mockingbird,0,0,0,0,0,1
S100,beaver,rabbit,0,1,0,0,0,0
S100,iguana,hippopotamus,0,1,0,0,0,0
S100,goat,goose,0,1,0,0,0,0
S100,cockroach,scorpion,1,1,0,1,1,0
S100,seahorse,viper,0,0,0,0,0,1
S100,seagull,frog,1,1,0,0,0,0
S100,fly,crane,1,1,0,0,1,0
S100,canary,monkey,0,1,0,0,0,0
S100,bee,nightingale,1,1,0,0,1,0
S100,porcupine,beaver,1,1,0,0,0,0
S100,swan,penguin,0,1,0,0,0,1
S100,xerus,pteordactyl,0,0,0,0,0,1
S100,pelican,rooster,0,0,0,0,0,1
S100,llama,baldeagle,0,0,0,0,0,1
S100,bird,owl,0,1,0,0,0,0
S100,hare,weasel,1,1,0,0,0,0
S100,dog,sparrow,0,1,0,0,0,0
S100,kingcobra,germanshepherd,0,0,0,0,0,1
S100,raccoon,owl,0,1,0,0,0,0
S100,minnow,wallaby,0,0,0,0,0,1
S100,groundhog,raccoon,0,1,0,0,0,0
S100,sparrow,pig,0,1,0,0,0,0
S100,tiger,fox,0,1,1,0,0,0
S100,fly,cockroach,1,1,0,0,0,0
S100,beluga,hammerheadshark,1,1,0,0,1,0
S100,earthworm,piranha,0,0,0,0,0,1
S100,raptor,robin,1,1,0,0,1,0
S100,peacock,crocodile,0,0,0,0,0,1
S100,dinosaur,lark,0,0,0,0,0,1
S100,turtle,lemur,0,1,0,0,0,0
S100,treefrog,eagle,0,0,0,1,0,0
S100,komododragon,gecko,0,1,0,0,0,0
S100,orangutan,buffalo,0,1,0,0,0,0
S100,quahog,platypus,1,1,0,0,1,0
S100,beetle,human,1,1,0,0,0,0
S100,shark,bluewhale,0,1,0,0,0,0
S100,shark,mantaray,0,1,0,0,0,0
S100,beaver,mole,0,1,0,1,0,0
S100,goose,tiger,0,1,1,0,0,0
S100,skunk,bear,0,1,0,0,0,0
S100,shark,marmoset,0,0,0,0,0,1
S100,quahog,blowfish,0,0,0,0,0,1
S100,giraffe,graywolf,1,1,0,0,1,0
S100,zebra,polarbear,0,1,0,0,0,0
S100,salamander,turtle,0,1,0,1,0,0
S100,zebra,yak,0,1,0,0,0,0
S100,jellyfish,stingray,1,1,0,0,0,0
S100,boaconstrictor,gorilla,0,0,0,0,0,1
S100,liger,lion,0,0,0,0,0,1
S100,zebra,lion,0,1,1,1,0,0
