subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,goniweight
S100,lion,rattlesnake,0,1,1,0,0,0,1,0,24.6666666667,60.00677553762452
S100,sparrow,alpaca,0,0,0,0,0,1,0,0,6.8,50.000536479518657
S100,crocodile,lion,0,1,0,0,0,0,0,0,14.2,50.0221744867712
S100,guineapig,reindeer,0,0,0,0,0,1,0,0,19.0,50.000804719277986
S100,pigeon,gerbil,0,1,0,0,0,0,1,0,21.1666666667,60.00345731245357
S100,peacock,tarantula,0,1,0,0,0,0,1,1,6.0,50.000298044177032
S100,spidermonkey,lemur,1,1,0,0,0,0,1,1,78.6,50.000228500535724
S100,tuna,donkey,0,1,0,0,0,0,1,0,7.6,50.000794784472085
S100,owl,finch,0,1,0,0,0,0,1,0,70.2,50.00152002530286
S100,gull,bluewhale,0,0,0,0,0,1,0,0,13.6,52.98044177032e-05
S100,chicken,falcon,0,1,0,0,0,0,1,0,62.3333333333,60.00163924297367
S100,xerus,flamingo,0,0,0,0,0,1,0,0,,00.000144054685565
S100,crocodile,otter,0,1,0,0,0,0,1,0,12.2,50.00339770361816
S100,koala,hyena,0,1,0,0,0,0,1,0,29.1666666667,60.00588140509343
S100,komododragon,stork,1,1,0,0,1,0,1,1,12.2,56.45762383569e-05
S100,eagle,owl,0,1,0,1,1,0,1,1,82.6666666667,60.00726234311367
S100,beetle,ant,1,1,0,1,1,0,1,1,75.4,50.000486805489152
S100,elephant,bat,0,1,0,0,1,0,1,0,23.1666666667,60.0126221708973
S100,elephant,camel,0,1,0,0,0,0,1,0,37.1666666667,60.00688482048943
S100,ferret,ewe,0,0,0,0,0,1,0,0,38.5,20.000675566801272
S100,tasmaniandevil,bass,0,0,0,0,0,1,0,0,12.1666666667,62.98044177032e-05
S100,puma,mosquito,0,0,0,0,0,1,0,0,6.83333333333,60.000556349130459
S100,iguana,hippopotamus,0,1,0,0,0,0,1,0,11.8,50.00536479518657
S100,reindeer,bandicoot,0,0,0,0,0,1,0,0,41.25,45.96088354064e-05
S100,peacock,swan,0,1,0,0,0,0,1,1,68.1666666667,60.000745110442579
S100,fish,rabbit,0,1,0,0,0,0,1,0,22.5,60.0123390289291
S100,panda,finch,0,0,0,0,0,0,0,1,13.4,50.0018776783153
S100,horse,ferret,0,1,0,0,0,0,0,0,26.2,50.0158758198299
S100,beaver,wolf,0,1,0,0,0,0,1,0,23.2,50.00879230322244
S100,ibis,adder,1,1,0,0,0,0,1,1,82,14.96740295053e-05
S100,jaguar,puma,0,1,0,1,0,0,1,0,77.4,50.00159950375007
S100,cardinal,eagle,0,1,0,0,0,0,1,1,76.1666666667,60.00170878661498
S100,woodchuck,mule,0,1,0,0,0,0,1,1,23.2,50.000357653012438
S100,stork,barracuda,0,0,0,0,0,1,0,0,22.5,69.93480590106e-06
S100,honeybadger,cicada,0,0,0,0,0,1,0,0,20.0,51.49022088516e-05
S100,goldfish,cockroach,0,0,0,0,0,1,0,0,7.6,59.93480590106e-05
S100,beluga,hammerheadshark,1,1,0,0,1,0,1,1,50.8,51.49022088516e-05
S100,robin,rooster,0,0,0,0,0,0,0,0,68.75,40.000894132531095
S100,opossum,fox,0,1,0,0,0,0,1,1,41.6666666667,60.00123191593173
S100,narwhal,honeybadger,0,1,0,0,1,0,1,1,25.75,40.000104315461961
S100,goat,humpbackwhale,0,0,0,0,0,1,0,0,8.0,50.000486805489152
S100,shark,skunk,0,1,0,0,0,0,1,0,21.3333333333,60.00644768902979
S100,ant,millipede,0,0,0,0,0,1,0,0,74.2,50.000208630923922
S100,hamster,gerbil,1,1,0,1,1,0,1,1,96.6,50.00720273427827
S100,coyote,rabbit,0,1,0,0,0,0,1,0,28.3333333333,60.0106252749112
S100,hippopotamus,whale,0,1,0,0,0,0,1,0,38.2,50.0175846064449
S100,mink,chinchilla,1,1,0,0,0,0,1,1,69.6,50.000357653012438
S100,hamster,duck,0,1,0,0,0,0,1,0,20.0,60.0104315461961
S100,seagull,crab,0,1,0,1,0,0,1,0,9.4,50.000601055757014
S100,clownfish,manatee,0,1,0,0,0,0,1,1,36.75,40.000243402744576
S100,tiger,duck,0,1,0,0,0,0,1,0,10.5,60.0235752944032
S100,sheep,bat,0,1,0,0,0,0,1,0,16.4,50.00721266908417
S100,donkey,guineapig,0,1,0,0,0,0,1,0,17.6666666667,60.00429183614926
S100,duck,owl,0,1,0,0,0,0,1,0,48.4,50.00709345141336
S100,lion,octopus,0,0,0,0,0,1,0,0,10.8333333333,60.013551075249
S100,labradorretriever,orca,0,0,0,0,0,1,0,0,19.8333333333,63.47718206537e-05
S100,bonobo,octopus,0,1,0,0,0,0,1,1,10.0,40.00065569718947
S100,beluga,redpanda,0,0,0,0,0,0,0,0,21.75,43.97392236042e-05
S100,pig,tabby,0,0,0,0,0,0,0,0,15.8,50.000357653012438
S100,walrus,hammerheadshark,0,0,0,0,0,1,0,0,26.4,50.000208630923922
S100,snake,meerkat,0,1,0,0,0,0,1,0,18.0,60.00352685609488
S100,snail,fish,0,1,0,0,0,0,1,0,39.6666666667,60.00178826506219
S100,wildebeest,yak,1,1,0,0,0,0,1,1,67.4,50.000139087282615
S100,minnow,blackbear,0,0,0,0,0,1,0,0,8.0,52.98044177032e-05
S100,peacock,polarbear,1,1,0,1,0,0,1,1,9.8,50.00149022088516
S100,puma,marmoset,0,0,0,0,0,1,0,0,42.6,50.00027817456523
S100,parrot,chimpanzee,0,1,0,0,0,0,1,0,6.83333333333,60.00402359638993
S100,lemur,hornet,0,0,0,0,0,1,0,0,7.6,50.000228500535724
S100,bass,toucan,0,0,0,0,0,0,0,0,18.8333333333,68.94132531095e-05
S100,elephant,buffalo,0,1,0,0,0,0,1,0,56.0,60.00726731051662
S100,horse,cow,0,1,1,1,1,0,1,1,49.0,60.03875567782
S100,raptor,hammerheadshark,0,0,0,0,0,1,0,0,29.5,62.98044177032e-05
S100,ibis,deer,1,1,0,0,0,0,1,1,24.6666666667,30.00153989491466
S100,oriole,raven,1,1,0,1,1,0,1,1,81.0,46.95436413074e-05
S100,turkey,fisher,0,0,0,0,0,1,0,0,11.2,50.00018876131212
S100,bull,rooster,0,1,0,0,0,0,1,0,14.1666666667,60.00208630923922
S100,bass,hummingbird,0,0,0,0,0,1,0,0,10.6,58.94132531095e-05
S100,ocelot,elephant,1,1,0,0,0,0,1,1,18.5,40.000764980054382
S100,boaconstrictor,ferret,0,0,0,0,0,1,0,0,18.4,50.000506675100954
S100,rat,deer,0,1,0,0,0,0,1,0,25.8,50.0224824657541
S100,eagle,flamingo,0,1,0,1,0,0,1,0,47.8,50.00619435147931
S100,cockroach,crab,0,0,0,0,0,1,0,0,27.4,50.000273207162279
S100,rhinoceros,cattle,1,1,0,0,1,0,1,1,54.1666666667,60.000218565729823
S100,llama,alpaca,0,1,0,1,1,0,1,1,93.1666666667,60.000506675100954
S100,rattlesnake,armadillo,1,1,0,0,0,0,1,1,24.3333333333,60.000437131459647
S100,rat,cat,0,1,0,1,0,0,1,0,32.6,50.0467780335851
S100,bear,bluewhale,0,0,0,0,0,1,0,0,24.2,50.00289102851721
S100,ewe,elk,1,1,0,1,0,0,1,1,30.4,50.000457001071449
S100,pigeon,swan,0,1,0,0,0,0,1,0,42.6666666667,60.00178826506219
S100,coyote,dingo,0,1,0,1,0,0,1,0,67.6,50.0027718108464
S100,sandshark,hammerheadshark,1,1,0,0,1,0,1,1,90.0,41.49022088516e-05
S100,macaw,owl,0,1,0,0,0,0,1,1,42.8333333333,60.00084445850159
S100,butterfly,dog,0,1,0,0,0,0,0,0,17.5,60.00858863970147
S100,whale,flamingo,0,1,0,0,0,0,1,0,6.6,50.00849922644836
S100,seagull,eagle,0,0,0,0,0,1,0,0,66.6666666667,60.0023495815956
S100,mouse,pig,0,1,0,0,0,1,1,0,21.3333333333,60.0278969349702
S100,cougar,lion,0,1,0,1,1,0,1,0,82.2,50.00923936948798
S100,sabertoothedtiger,rat,1,1,0,0,1,0,1,1,20.8,50.000362620415389
S100,hyena,leopard,0,1,0,0,0,0,1,0,50.3333333333,60.00508662062134
S100,panda,tiger,0,1,0,0,0,0,1,0,42.8,50.0235752944032
S100,dove,pigeon,1,1,0,1,1,0,1,1,81.6666666667,60.000834523695689
S100,puma,fox,0,1,0,0,0,0,1,0,67.8,50.00431170576106
S100,greatwhiteshark,hammerheadshark,1,1,0,1,1,0,1,1,93.0,52.98044177032e-05
S100,giraffe,goose,0,1,0,0,0,0,1,0,8.83333333333,60.000745110442579
S100,butterfly,squirrel,0,1,0,0,0,0,1,0,20.1666666667,60.00322881191784
S100,cat,rooster,0,1,0,0,0,0,1,0,21.8333333333,60.0128158996124
S100,condor,polarbear,0,1,0,0,0,0,1,1,11.2,50.000596088354064
S100,narwhal,serval,0,0,0,0,0,1,0,0,30.25,46.95436413074e-05
S100,zebra,conure,0,0,0,0,0,1,0,0,23,10.000417261847844
S100,turtle,eel,0,1,0,0,0,0,1,0,31.3333333333,60.00250357108707
S100,snake,dog,0,1,0,0,1,0,1,0,9.4,50.0469071860618
S100,turtle,lemur,0,1,0,0,0,0,1,0,12.3333333333,60.00411300964304
S100,jellyfish,seahorse,1,1,0,1,0,0,1,1,48.4,50.000536479518657
S100,mule,tick,0,0,0,0,0,1,0,0,17.6666666667,60.000178826506219
S100,kangaroo,gorilla,0,1,0,0,0,0,1,0,25.5,60.0114250267862
S100,anaconda,mockingbird,0,0,0,0,0,1,0,0,6.2,52.98044177032e-05
S100,kangaroo,rabbit,0,1,0,0,0,0,0,0,41.6,50.015766536965
S100,salamander,oyster,0,0,0,0,0,0,1,0,24.6666666667,66.45762383569e-05
S100,flamingo,lynx,0,1,0,0,0,0,1,0,24.1666666667,60.00259298434018
