subj,item1,item2,edge,
NA,horse,swan,1,
NA,horse,terrier,0,
NA,horse,shark,0,
NA,horse,russianblue,0,
NA,horse,llama,0,
NA,horse,wolf,0,
NA,horse,leopard,0,
NA,horse,snake,0,
NA,horse,rooster,0,
NA,horse,peacock,0,
NA,horse,monkey,0,
NA,horse,hyena,0,
NA,horse,mouse,0,
NA,horse,lovebird,0,
NA,horse,persian,0,
NA,horse,whale,0,
NA,horse,rhinoceros,0,
NA,horse,warthog,0,
NA,horse,humunukuapua,0,
NA,horse,robin,0,
NA,horse,snail,0,
NA,horse,tortoise,0,
NA,horse,turkey,0,
NA,horse,jaguar,1,
NA,horse,zebra,0,
NA,ant,hare,1,
NA,ant,lion,0,
NA,ant,parrot,0,
NA,ant,poodle,0,
NA,ant,hippopotamus,0,
NA,ant,sunconure,0,
NA,ant,pigeon,0,
NA,ant,pig,0,
NA,ant,bunny,0,
NA,ant,sparrow,0,
NA,ant,pufferfish,0,
NA,ant,slug,0,
NA,ant,pheasant,0,
NA,ant,chicken,0,
NA,ant,giraffe,0,
NA,ant,quail,0,
NA,ant,bee,0,
NA,ant,polarbear,0,
NA,ant,swan,0,
NA,ant,terrier,0,
NA,ant,frog,0,
NA,ant,bird,0,
NA,ant,shark,0,
NA,ant,horse,0,
NA,ant,carp,0,
NA,ant,dolphin,0,
NA,ant,russianblue,0,
NA,ant,llama,1,
NA,ant,goose,0,
NA,ant,wolf,0,
NA,ant,leopard,0,
NA,ant,antelope,0,
NA,ant,snake,0,
NA,ant,grizzlybear,0,
NA,ant,rooster,0,
NA,ant,peacock,0,
NA,ant,monkey,0,
NA,ant,hyena,0,
NA,ant,fox,0,
NA,ant,fish,0,
NA,ant,mouse,1,
NA,ant,dog,0,
NA,ant,lovebird,0,
NA,ant,persian,0,
NA,ant,whale,0,
NA,ant,rhinoceros,0,
NA,ant,elephant,0,
NA,ant,warthog,0,
NA,ant,cheetah,0,
NA,ant,humunukuapua,0,
NA,ant,guineapig,0,
NA,ant,robin,0,
NA,ant,beetle,0,
NA,ant,germanshepherd,0,
NA,ant,grasshopper,0,
NA,ant,snail,0,
NA,ant,tortoise,0,
NA,ant,turkey,0,
NA,ant,jaguar,0,
NA,ant,duck,0,
NA,ant,zebra,0,
NA,carp,hare,0,
NA,carp,lion,0,
NA,carp,parrot,0,
NA,carp,poodle,0,
NA,carp,hippopotamus,0,
NA,carp,sunconure,0,
NA,carp,pigeon,0,
NA,carp,pig,0,
NA,carp,sparrow,0,
NA,carp,pufferfish,0,
NA,carp,slug,0,
NA,carp,pheasant,0,
NA,carp,chicken,0,
NA,carp,giraffe,0,
NA,carp,quail,0,
NA,carp,polarbear,0,
NA,carp,swan,0,
NA,carp,terrier,0,
NA,carp,frog,0,
NA,carp,shark,0,
NA,carp,horse,0,
NA,carp,dolphin,0,
NA,carp,russianblue,0,
NA,carp,llama,0,
NA,carp,goose,0,
NA,carp,wolf,0,
NA,carp,leopard,0,
NA,carp,snake,0,
NA,carp,grizzlybear,0,
NA,carp,rooster,0,
NA,carp,peacock,0,
NA,carp,monkey,0,
NA,carp,hyena,0,
NA,carp,fox,0,
NA,carp,fish,0,
NA,carp,mouse,0,
NA,carp,dog,1,
NA,carp,lovebird,0,
NA,carp,persian,0,
NA,carp,whale,0,
NA,carp,rhinoceros,0,
NA,carp,elephant,0,
NA,carp,warthog,0,
NA,carp,cheetah,0,
NA,carp,humunukuapua,0,
NA,carp,guineapig,0,
NA,carp,robin,0,
NA,carp,germanshepherd,1,
NA,carp,grasshopper,0,
NA,carp,snail,0,
NA,carp,tortoise,0,
NA,carp,turkey,0,
NA,carp,jaguar,0,
NA,carp,duck,0,
NA,carp,zebra,0,
NA,dolphin,hare,0,
NA,dolphin,lion,0,
NA,dolphin,parrot,0,
NA,dolphin,poodle,0,
NA,dolphin,hippopotamus,0,
NA,dolphin,sunconure,0,
NA,dolphin,pigeon,0,
NA,dolphin,pig,0,
NA,dolphin,sparrow,0,
NA,dolphin,pufferfish,0,
NA,dolphin,slug,0,
NA,dolphin,pheasant,0,
NA,dolphin,giraffe,0,
NA,dolphin,quail,0,
NA,dolphin,polarbear,0,
NA,dolphin,swan,0,
NA,dolphin,terrier,0,
NA,dolphin,frog,0,
NA,dolphin,shark,1,
NA,dolphin,horse,0,
