subj,node1,node2,uinvite,rw
S108,jaguar,parrot,0,1
S108,hippopotamus,giraffe,0,1
S108,frog,snake,1,1
S108,frog,squirrel,1,1
S108,whale,fly,0,1
S108,dolphin,shark,1,0
S108,pig,turkey,1,1
S108,lion,spider,1,1
S108,opossum,bear,1,1
S108,crow,elephant,0,1
S108,swan,elephant,1,1
S108,pig,cow,1,1
S108,horse,parrot,1,1
S108,duck,turkey,0,1
S108,duck,chicken,1,1
S108,donkey,horse,1,0
S108,rhinoceros,elephant,0,1
S108,shark,jaguar,0,1
S108,pig,chicken,1,1
S108,snake,meerkat,1,1
S108,goose,swan,1,1
S108,ant,emu,1,1
S108,elephant,tiger,0,1
S108,rhinoceros,hippopotamus,1,1
S108,tiger,jaguar,1,1
S108,horse,penguin,0,1
S108,chicken,turkey,1,1
S108,shark,snake,1,1
S108,opossum,skunk,1,1
S108,raven,penguin,1,1
S108,mouse,snake,1,1
S108,emu,skunk,1,1
S108,elephant,lion,1,1
S108,monkey,gorilla,1,1
S108,dolphin,lion,1,1
S108,whale,lizard,0,1
S108,rat,spider,1,1
S108,horse,cow,1,1
S108,monkey,tiger,1,1
S108,tiger,parrot,1,0
S108,bear,giraffe,1,1
S108,rhinoceros,meerkat,1,1
S108,fish,spider,1,1
S108,opossum,spider,1,1
S108,penguin,emu,0,1
S108,penguin,parrot,1,1
S108,shark,fish,1,1
S108,rhinoceros,tiger,0,1
S108,rat,mouse,1,1
S108,pig,lizard,1,1
S108,whale,ant,1,0
S108,opossum,squirrel,1,1
S108,rhinoceros,lion,1,1
S108,shark,whale,1,1
S108,emu,gorilla,1,1
S108,donkey,emu,1,1
S108,opossum,lizard,1,1
S108,donkey,cow,0,1
S108,turkey,bear,0,1
S108,hippopotamus,skunk,1,1
S108,parrot,cat,1,1
S108,dog,cat,1,1
S108,fish,parrot,0,1
S108,dolphin,whale,1,1
S108,fish,cat,1,1
S108,lion,tiger,1,1
S108,snake,jaguar,1,0
S108,fly,ant,1,1
S108,crow,raven,1,1
S108,snake,lizard,1,1
S108,emu,lizard,0,1
S108,goose,chicken,1,1
S109,leopard,horse,1,1
S109,snake,orangutan,1,1
S109,zebra,elephant,1,1
S109,panda,tortoise,1,0
S109,camel,donkey,1,1
S109,polarbear,blackbear,1,1
S109,armadillo,brownbear,1,1
S109,ferret,deer,0,1
S109,dingo,wolf,1,1
S109,rat,mouse,1,1
S109,ferret,turtle,1,1
S109,alligator,penguin,1,1
S109,chimpanzee,gorilla,1,1
S109,fox,hawk,0,1
S109,panda,leopard,0,1
S109,cobra,flamingo,1,1
S109,rabbit,fish,1,1
S109,turtle,bluebird,1,1
S109,bear,bird,1,1
S109,bird,dog,1,0
S109,giraffe,tortoise,1,1
S109,donkey,horse,1,1
S109,rat,guineapig,1,1
S109,yak,snake,1,1
S109,armadillo,seal,1,1
S109,rabbit,dog,1,1
S109,cobra,snake,1,1
S109,robin,zebra,1,1
S109,mouse,guineapig,1,1
S109,giraffe,deer,0,1
S109,penguin,elephant,0,1
S109,snake,hyena,1,1
S109,bluebird,ostrich,1,1
S109,spidermonkey,monkey,1,1
S109,monkey,gorilla,1,1
S109,spidermonkey,snake,1,1
S109,zebra,gerbil,1,1
S109,polarbear,penguin,1,1
S109,polarbear,panda,1,1
S109,bear,lion,0,1
S109,rat,gorilla,1,1
S109,turtle,tortoise,1,1
S109,lion,elephant,1,0
S109,armadillo,anteater,1,1
S109,panda,lemur,0,1
S109,cobra,deer,1,0
S109,robin,ostrich,1,1
S109,crocodile,ferret,0,1
S109,tortoise,lemur,1,1
S109,tiger,kangaroo,0,1
S109,cat,hamster,1,1
S109,polarbear,seal,1,1
S109,anteater,eagle,1,1
S109,cat,dog,1,1
S109,chimpanzee,gerbil,1,1
S109,gerbil,hamster,1,1
S109,tiger,cheetah,1,0
S109,bear,tiger,1,1
S109,antelope,hyena,1,1
S109,owl,anteater,1,1
S109,penguin,rat,1,1
S109,mouse,bird,1,1
S109,cobra,zebra,1,0
S109,cheetah,leopard,1,1
S109,pelican,swan,1,1
S109,tiger,lion,1,1
S109,armadillo,fox,1,1
S109,robin,bluebird,1,1
S109,dingo,panda,1,1
S109,cat,guineapig,1,1
S109,bear,blackbear,1,1
S109,mouse,hamster,0,1
S109,pelican,flamingo,1,1
S109,deer,fox,1,1
S109,swan,duck,1,1
S109,flamingo,rhinoceros,1,1
S109,panda,cheetah,1,1
S109,camel,yak,1,1
S109,flamingo,ostrich,1,1
S109,lion,cheetah,1,1
S109,owl,flamingo,1,1
S109,dingo,elephant,1,1
S109,cobra,leopard,1,1
S109,giraffe,elephant,0,1
S109,crocodile,alligator,1,1
S109,polarbear,zebra,0,1
S109,brownbear,blackbear,1,1
S109,guineapig,hamster,1,1
S109,eagle,hawk,1,1
S109,deer,cheetah,1,1
S109,antelope,wolf,1,1
S109,tiger,elephant,1,1
S109,fish,hamster,0,1
S109,kangaroo,koalabear,1,1
S109,giraffe,zebra,1,1
S109,dingo,rhinoceros,1,1
S109,ferret,koalabear,1,1
S109,chimpanzee,orangutan,1,1
S110,moth,fly,1,1
S110,spider,gopher,1,1
S110,chipmunk,worm,0,1
S110,ant,wasp,1,1
S110,squirrel,lion,0,1
S110,tiger,alligator,1,1
S110,rhinoceros,elephant,1,1
S110,penguin,ostrich,1,1
S110,pig,cow,1,1
S110,spider,elephant,1,0
S110,moth,robin,1,1
S110,frog,fly,1,1
S110,duck,chicken,1,1
S110,sparrow,dolphin,1,1
S110,beetle,sugarglider,1,1
S110,robin,ostrich,1,1
S110,penguin,polarbear,1,1
S110,pig,chicken,1,0
S110,robin,bluebird,1,1
S110,shark,rhinoceros,0,1
S110,pig,squirrel,0,1
S110,ant,elephant,0,1
S110,elephant,penguin,0,1
S110,fish,worm,1,1
S110,spider,bee,1,1
S110,cricket,grasshopper,1,1
S110,monkey,gopher,1,1
S110,spider,ant,1,1
S110,monkey,sugarglider,1,1
S110,horse,dog,1,1
S110,squirrel,ostrich,0,1
S110,beetle,butterfly,1,1
S110,elephant,lion,1,1
S110,butterfly,grizzlybear,1,1
S110,chipmunk,squirrel,1,1
S110,grizzlybear,brownbear,1,1
S110,elephant,dog,1,1
S110,polarbear,brownbear,1,1
S110,monkey,dolphin,0,1
S110,gorilla,monkey,1,1
S110,horse,cow,1,1
S110,beetle,ant,1,1
S110,pig,chipmunk,0,1
S110,tiger,crow,0,1
S110,dog,cat,1,1
S110,polarbear,tiger,1,1
S110,squirrel,gopher,1,1
S110,duck,horse,1,1
S110,shark,fish,1,1
S110,turtle,gorilla,1,1
S110,cricket,fly,1,1
S110,donkey,cow,0,1
S110,panther,rhinoceros,1,1
S110,bee,wasp,1,1
S110,horse,donkey,1,0
S110,ostrich,cat,1,1
S110,beetle,worm,0,1
S110,shark,crocodile,1,1
S110,sparrow,crow,1,1
S110,pig,gopher,1,1
S110,crocodile,alligator,1,1
S110,rhinoceros,tiger,1,1
S110,gopher,donkey,1,1
S110,spider,worm,1,1
S110,crow,bluebird,1,1
S110,turtle,frog,1,1
S110,panther,worm,1,1
S110,shark,dolphin,1,1
S110,squirrel,worm,1,0
S110,tiger,lion,1,1
S110,penguin,worm,1,1
S110,gopher,lion,1,0
S110,elephant,ostrich,0,1
S110,robin,crow,1,0
S110,horse,cat,0,1
S110,beetle,fly,1,1
S110,turtle,shark,1,1
S111,whale,ostrich,1,1
S111,chicken,ostrich,1,1
S111,shark,panda,1,1
S111,lamb,sheep,1,1
S111,lion,tiger,1,1
S111,deer,sheep,1,1
S111,wolf,weasel,0,1
S111,bull,ox,1,1
S111,whale,mouse,0,1
S111,cheetah,panther,1,1
S111,moose,ox,0,1
S111,parakeet,parrot,0,1
S111,pig,cow,1,1
S111,rat,rabbit,0,1
S111,lion,bear,1,1
S111,chimpanzee,gorilla,1,0
S111,panda,koala,1,1
S111,snake,gorilla,1,1
S111,lion,wolf,0,1
S111,bear,cow,1,1
S111,rat,moose,0,1
S111,pig,chicken,1,1
S111,rat,kangaroo,1,1
S111,sheep,rabbit,1,1
S111,parakeet,ostrich,1,1
S111,rabbit,ox,0,1
S111,koala,polarbear,1,1
S111,parakeet,polarbear,1,1
S111,pigeon,deer,1,1
S111,sheep,moose,1,1
S111,elephant,lion,1,0
S111,pig,goat,1,1
S111,sheep,ox,1,0
S111,snake,raccoon,1,1
S111,chimpanzee,weasel,1,1
S111,lamb,ox,1,1
S111,bear,wolf,1,1
S111,bear,tiger,1,1
S111,sheep,bull,1,1
S111,lamb,goat,0,1
S111,pigeon,parakeet,1,1
S111,porcupine,rabbit,1,1
S111,polarbear,ostrich,0,1
S111,dog,cat,1,1
S111,duck,goose,1,1
S111,duck,penguin,1,1
S111,monkey,gorilla,1,1
S111,panther,weasel,1,1
S111,rat,dog,1,1
S111,camel,lion,1,1
S111,shark,hare,1,1
S111,monkey,chimpanzee,1,1
