id,game,category,item,RT,RTstart,shortlist
1,16,supermarket items,wine,2029,50530,0
1,16,supermarket items,candy,15678,66208,0
1,16,supermarket items,shampoo,1820,68028,0
1,16,supermarket items,conditioner,3905,71933,0
1,16,supermarket items,soap,2381,74314,0
1,16,supermarket items,dishsoap,3865,78179,0
1,16,supermarket items,plasticbag,5751,83930,0
1,16,supermarket items,potato,5209,89139,0
1,16,supermarket items,tomato,1964,91103,0
1,16,supermarket items,berry,2294,93397,0
1,16,supermarket items,cherry,2026,95423,0
1,16,supermarket items,appl,2433,97856,0
1,16,supermarket items,pineapple,4519,102375,0
1,16,supermarket items,kiwi,1793,104168,0
1,16,supermarket items,avocado,3869,108037,0
1,16,supermarket items,humu,2512,110549,0
1,16,supermarket items,guacamole,4671,115220,0
1,16,supermarket items,rice,2748,117968,0
1,17,animals,crab,2889,2889,0
1,17,animals,lobster,2234,5123,0
1,17,animals,scorpion,8356,13479,0
1,17,animals,flamingo,9267,22746,0
1,17,animals,ostrich,2660,25406,0
1,17,animals,kangaroo,2853,28259,0
1,17,animals,koala,2088,30347,0
1,17,animals,jellyfish,5370,35717,0
1,17,animals,elephant,5607,41324,0
1,17,animals,tiger,3786,45110,0
1,17,animals,butterfly,3524,48634,0
1,17,animals,fox,1654,50288,0
1,17,animals,wolf,2773,53061,0
1,17,animals,dog,817,53878,0
1,17,animals,cat,863,54741,0
1,17,animals,lion,5382,60123,0
1,17,animals,panda,5748,65871,0
1,17,animals,pig,3039,68910,0
1,17,animals,rhino,3578,72488,0
1,17,animals,boar,6049,78537,0
1,17,animals,meerkat,6171,84708,0
1,17,animals,chimpanzee,7715,92423,0
1,17,animals,orangutan,2729,95152,0
1,17,animals,zebra,2244,97396,0
1,17,animals,gazelle,3043,100439,0
1,17,animals,deer,2111,102550,0
1,17,animals,hippo,5540,108090,0
1,17,animals,whale,4409,112499,0
1,17,animals,dolphin,2466,114965,0
1,17,animals,duck,1154,116119,0
1,17,animals,rat,2556,118675,0
2,0,animals,lion,4601,4601,0
2,0,animals,tiger,1211,5812,0
2,0,animals,bear,1079,6891,0
2,0,animals,dog,5310,12201,0
2,0,animals,cat,807,13008,0
2,0,animals,monkey,3075,16083,0
2,0,animals,sealion,3877,19960,0
2,0,animals,zebra,6179,26139,0
2,0,animals,giraffe,5968,32107,0
2,0,animals,panda,1699,33806,0
2,0,animals,penguin,8498,42304,0
2,0,animals,buffalo,7337,49641,0
2,0,animals,bird,12478,62119,0
2,0,animals,turtle,8214,70333,0
2,0,animals,horse,15940,86273,0
2,0,animals,chimpanzee,24252,110525,0
2,0,animals,skunk,5939,116464,0
2,1,supermarket items,milk,6919,6919,0
2,1,supermarket items,egg,2316,9235,0
2,1,supermarket items,bacon,2165,11400,0
2,1,supermarket items,cheese,1508,12908,0
2,1,supermarket items,yogurt,1606,14514,0
2,1,supermarket items,banana,2924,17438,0
2,1,supermarket items,tomato,6904,24342,0
2,1,supermarket items,salmon,6692,31034,0
2,1,supermarket items,cake,850,31884,0
2,1,supermarket items,cupcake,3001,34885,0
2,1,supermarket items,cookie,6795,41680,0
2,1,supermarket items,soda,10135,51815,0
2,1,supermarket items,icecream,2874,54689,0
2,1,supermarket items,plant,7780,62469,0
2,1,supermarket items,cloth,2879,65348,0
2,1,supermarket items,poptart,12468,77816,0
2,1,supermarket items,sugar,6549,84365,0
2,1,supermarket items,salt,2665,87030,0
2,1,supermarket items,esperagu,15509,102539,0
2,1,supermarket items,bagel,3758,106297,0
2,1,supermarket items,loafofbread,9370,115667,0
2,1,supermarket items,hotdog,1780,117447,0
2,1,supermarket items,hamburger,1790,119237,0
2,2,animals,coyote,10956,10956,0
2,2,animals,hyena,4471,15427,0
2,2,animals,chicken,9409,24836,0
2,2,animals,whale,11698,36534,0
2,2,animals,seagull,27035,63569,0
2,2,animals,geese,22899,86468,0
2,2,animals,duck,3820,90288,0
2,2,animals,flamingo,4615,94903,0
2,2,animals,hedgehog,7746,102649,0
2,2,animals,squirrel,6831,109480,0
2,3,supermarket items,hotdog,7953,7953,0
2,3,supermarket items,ketchup,2463,10416,0
2,3,supermarket items,hamburger,2131,12547,0
2,3,supermarket items,salt,7330,19877,0
2,3,supermarket items,loafofbread,5656,25533,0
2,3,supermarket items,cupcake,952,26485,0
2,3,supermarket items,cake,600,27085,0
2,3,supermarket items,poptart,6097,33182,0
2,3,supermarket items,waffl,2632,35814,0
2,3,supermarket items,spic,4920,40734,0
2,3,supermarket items,bacon,10038,50772,0
2,3,supermarket items,applesauce,3410,54182,0
2,3,supermarket items,cinnamon,4186,58368,0
2,3,supermarket items,eggnog,4648,63016,0
2,3,supermarket items,chocolatemilk,6050,69066,0
2,3,supermarket items,cookiecrispcereal,10368,79434,0
2,3,supermarket items,cinnamontoastcrunch,4063,83497,0
2,3,supermarket items,salmon,5601,89098,0
2,3,supermarket items,banana,15769,104867,0
2,3,supermarket items,tomato,4642,109509,0
2,3,supermarket items,esperagu,4907,114416,0
2,3,supermarket items,edemame,3186,117602,0
2,4,animals,coyote,4952,4952,0
2,4,animals,hyenea,1227,6179,0
2,4,animals,whale,3790,9969,0
2,4,animals,monkey,1469,11438,0
2,4,animals,chimpanzee,1695,13133,0
2,4,animals,dog,1948,15081,0
2,4,animals,cat,641,15722,0
2,4,animals,giraffe,4925,20647,0
2,4,animals,lion,868,21515,0
2,4,animals,tiger,639,22154,0
2,4,animals,bear,729,22883,0
2,4,animals,skunk,8053,30936,0
2,4,animals,squirrel,1185,32121,0
2,4,animals,tortoise,7172,39293,0
2,4,animals,hare,7532,46825,0
2,4,animals,seagull,10850,57675,0
2,4,animals,fox,13482,71157,0
2,4,animals,chipmunk,7312,78469,0
2,4,animals,hedgehog,2961,81430,0
2,4,animals,crab,12523,93953,0
2,4,animals,plankton,3380,97333,0
2,4,animals,lobster,19879,117212,0
2,5,supermarket items,egg,7593,7593,0
2,5,supermarket items,milk,1803,9396,0
2,5,supermarket items,eggnog,1805,11201,0
2,5,supermarket items,cinnamontoastcrunchcereal,6370,17571,0
2,5,supermarket items,raisinbrand,3875,21446,0
2,5,supermarket items,proteinbar,6825,28271,0
2,5,supermarket items,banana,4101,32372,0
2,5,supermarket items,tomato,2419,34791,0
2,5,supermarket items,raspberry,6601,41392,0
2,5,supermarket items,plant,3076,44468,0
2,5,supermarket items,esperagu,8965,53433,0
2,5,supermarket items,edemame,1948,55381,0
2,5,supermarket items,salmon,2698,58079,0
2,5,supermarket items,cod,1045,59124,0
2,5,supermarket items,beef,3008,62132,0
2,5,supermarket items,hotdog,3039,65171,0
2,5,supermarket items,sugar,11672,76843,0
2,5,supermarket items,salt,825,77668,0
2,5,supermarket items,hotchocolatepowder,7473,85141,0
2,5,supermarket items,vanillaextract,6002,91143,0
2,5,supermarket items,icedtea,6660,97803,0
2,5,supermarket items,icecream,12100,109903,0
2,5,supermarket items,waffl,7258,117161,0
2,6,animals,bear,6364,6364,0
2,6,animals,hyena,2190,8554,0
2,6,animals,giraffe,2682,11236,0
2,6,animals,lion,1669,12905,0
2,6,animals,tiger,1850,14755,0
2,6,animals,geese,4823,19578,0
2,6,animals,seagull,1335,20913,0
2,6,animals,lobster,6503,27416,0
2,6,animals,crab,2027,29443,0
2,6,animals,alpaca,6346,35789,0
2,6,animals,monkey,12016,47805,0
