method,simnum,listnum,hit,miss,fa,cr,cost,startseed
kenett,1,43,79,246,215,4410,461.0,150
fe,1,43,60,265,60,4565,325.0,150
rw,1,44,324,1,1483,3142,1484.0,150
goni,1,44,222,103,106,4519,209.0,150
chan,1,44,83,242,16,4609,258.0,150
kenett,1,44,84,241,210,4415,451.0,150
fe,1,44,61,264,62,4563,326.0,150
rw,1,45,324,1,1496,3129,1497.0,150
goni,1,45,229,96,105,4520,201.0,150
chan,1,45,83,242,16,4609,258.0,150
kenett,1,45,86,239,208,4417,447.0,150
fe,1,45,61,264,65,4560,329.0,150
rw,1,46,324,1,1522,3103,1523.0,150
goni,1,46,228,97,101,4524,198.0,150
chan,1,46,83,242,16,4609,258.0,150
kenett,1,46,84,241,210,4415,451.0,150
fe,1,46,62,263,66,4559,329.0,150
rw,1,47,324,1,1547,3078,1548.0,150
goni,1,47,233,92,100,4525,192.0,150
chan,1,47,82,243,17,4608,260.0,150
kenett,1,47,83,242,211,4414,453.0,150
fe,1,47,65,260,66,4559,326.0,150
rw,1,48,324,1,1562,3063,1563.0,150
goni,1,48,243,82,101,4524,183.0,150
chan,1,48,80,245,19,4606,264.0,150
kenett,1,48,83,242,211,4414,453.0,150
fe,1,48,65,260,68,4557,328.0,150
rw,1,49,324,1,1590,3035,1591.0,150
goni,1,49,241,84,105,4520,189.0,150
chan,1,49,82,243,17,4608,260.0,150
kenett,1,49,89,236,205,4420,441.0,150
fe,1,49,65,260,71,4554,331.0,150
rw,1,50,324,1,1607,3018,1608.0,150
goni,1,50,242,83,113,4512,196.0,150
chan,1,50,80,245,19,4606,264.0,150
kenett,1,50,95,230,199,4426,429.0,150
fe,1,50,66,259,72,4553,331.0,150
rw,2,1,48,277,48,4577,325.0,300
goni,2,1,4,321,5,4620,326.0,300
chan,2,1,38,287,41,4584,328.0,300
kenett,2,1,14,311,175,4450,486.0,300
fe,2,1,0,325,3,4622,328.0,300
rw,2,2,87,238,94,4531,332.0,300
goni,2,2,12,313,10,4615,323.0,300
chan,2,2,49,276,58,4567,334.0,300
kenett,2,2,15,310,243,4382,553.0,300
fe,2,2,2,323,4,4621,327.0,300
rw,2,3,110,215,161,4464,376.0,300
goni,2,3,23,302,17,4608,319.0,300
chan,2,3,49,276,79,4546,355.0,300
kenett,2,3,22,303,263,4362,566.0,300
fe,2,3,3,322,6,4619,328.0,300
rw,2,4,137,188,215,4410,403.0,300
goni,2,4,24,301,17,4608,318.0,300
chan,2,4,48,277,90,4535,367.0,300
kenett,2,4,21,304,270,4355,574.0,300
fe,2,4,5,320,6,4619,326.0,300
rw,2,5,167,158,263,4362,421.0,300
goni,2,5,34,291,27,4598,318.0,300
chan,2,5,44,281,86,4539,367.0,300
kenett,2,5,28,297,263,4362,560.0,300
fe,2,5,7,318,7,4618,325.0,300
rw,2,6,189,136,306,4319,442.0,300
goni,2,6,38,287,25,4600,312.0,300
chan,2,6,43,282,91,4534,373.0,300
kenett,2,6,42,283,252,4373,535.0,300
fe,2,6,9,316,8,4617,324.0,300
rw,2,7,199,126,360,4265,486.0,300
goni,2,7,45,280,30,4595,310.0,300
chan,2,7,47,278,71,4554,349.0,300
kenett,2,7,46,279,248,4377,527.0,300
fe,2,7,11,314,9,4616,323.0,300
rw,2,8,212,113,399,4226,512.0,300
goni,2,8,53,272,30,4595,302.0,300
chan,2,8,51,274,61,4564,335.0,300
kenett,2,8,51,274,243,4382,517.0,300
fe,2,8,12,313,11,4614,324.0,300
rw,2,9,226,99,450,4175,549.0,300
goni,2,9,62,263,28,4597,291.0,300
chan,2,9,51,274,59,4566,333.0,300
kenett,2,9,44,281,250,4375,531.0,300
fe,2,9,14,311,12,4613,323.0,300
rw,2,10,240,85,491,4134,576.0,300
goni,2,10,65,260,38,4587,298.0,300
chan,2,10,53,272,52,4573,324.0,300
kenett,2,10,58,267,236,4389,503.0,300
fe,2,10,16,309,13,4612,322.0,300
rw,2,11,251,74,535,4090,609.0,300
goni,2,11,68,257,33,4592,290.0,300
chan,2,11,50,275,53,4572,328.0,300
kenett,2,11,50,275,244,4381,519.0,300
fe,2,11,18,307,14,4611,321.0,300
rw,2,12,263,62,572,4053,634.0,300
goni,2,12,77,248,38,4587,286.0,300
chan,2,12,52,273,48,4577,321.0,300
kenett,2,12,50,275,244,4381,519.0,300
fe,2,12,19,306,15,4610,321.0,300
rw,2,13,269,56,614,4011,670.0,300
goni,2,13,87,238,38,4587,276.0,300
chan,2,13,50,275,50,4575,325.0,300
kenett,2,13,53,272,241,4384,513.0,300
fe,2,13,19,306,18,4607,324.0,300
rw,2,14,272,53,650,3975,703.0,300
goni,2,14,96,229,39,4586,268.0,300
chan,2,14,53,272,46,4579,318.0,300
kenett,2,14,52,273,242,4383,515.0,300
fe,2,14,19,306,20,4605,326.0,300
rw,2,15,285,40,678,3947,718.0,300
goni,2,15,102,223,47,4578,270.0,300
chan,2,15,52,273,47,4578,320.0,300
kenett,2,15,52,273,242,4383,515.0,300
fe,2,15,21,304,21,4604,325.0,300
rw,2,16,289,36,715,3910,751.0,300
goni,2,16,107,218,45,4580,263.0,300
chan,2,16,56,269,43,4582,312.0,300
kenett,2,16,61,264,233,4392,497.0,300
fe,2,16,22,303,22,4603,325.0,300
rw,2,17,292,33,752,3873,785.0,300
goni,2,17,116,209,49,4576,258.0,300
chan,2,17,56,269,43,4582,312.0,300
kenett,2,17,56,269,238,4387,507.0,300
fe,2,17,23,302,24,4601,326.0,300
rw,2,18,297,28,779,3846,807.0,300
goni,2,18,124,201,53,4572,254.0,300
chan,2,18,54,271,45,4580,316.0,300
kenett,2,18,56,269,238,4387,507.0,300
fe,2,18,25,300,25,4600,325.0,300
rw,2,19,303,22,815,3810,837.0,300
goni,2,19,130,195,51,4574,246.0,300
chan,2,19,60,265,39,4586,304.0,300
kenett,2,19,61,264,233,4392,497.0,300
fe,2,19,27,298,26,4599,324.0,300
rw,2,20,307,18,850,3775,868.0,300
goni,2,20,133,192,54,4571,246.0,300
chan,2,20,59,266,40,4585,306.0,300
kenett,2,20,59,266,235,4390,501.0,300
fe,2,20,27,298,29,4596,327.0,300
rw,2,21,307,18,884,3741,902.0,300
goni,2,21,138,187,59,4566,246.0,300
chan,2,21,62,263,37,4588,300.0,300
kenett,2,21,65,260,229,4396,489.0,300
fe,2,21,30,295,29,4596,324.0,300
rw,2,22,312,13,914,3711,927.0,300
goni,2,22,146,179,55,4570,234.0,300
chan,2,22,64,261,35,4590,296.0,300
kenett,2,22,67,258,227,4398,485.0,300
fe,2,22,31,294,31,4594,325.0,300
rw,2,23,317,8,948,3677,956.0,300
goni,2,23,150,175,56,4569,231.0,300
chan,2,23,66,259,33,4592,292.0,300
kenett,2,23,72,253,222,4403,475.0,300
fe,2,23,32,293,32,4593,325.0,300
rw,2,24,318,7,977,3648,984.0,300
goni,2,24,158,167,56,4569,223.0,300
chan,2,24,65,260,34,4591,294.0,300
kenett,2,24,68,257,226,4399,483.0,300
fe,2,24,33,292,34,4591,326.0,300
