subj,method,item1,item2,edge
S101,uinvite_flat,elephant,rat,0
S101,uinvite_flat,panda,rat,0
S101,uinvite_flat,bear,rat,0
S101,uinvite_flat,lion,rat,0
S101,uinvite_flat,rat,tiger,0
S101,uinvite_flat,raccoon,rat,0
S101,uinvite_flat,ferret,rat,0
S101,uinvite_flat,possum,rat,0
S101,uinvite_flat,duck,rat,0
S101,uinvite_flat,kangaroo,rat,0
S101,uinvite_flat,eel,rat,0
S101,uinvite_flat,rat,whale,0
S101,uinvite_flat,rat,shark,0
S101,uinvite_flat,mouse,rat,1
S101,uinvite_flat,cat,zebra,0
S101,uinvite_flat,dog,zebra,0
S101,uinvite_flat,rabbit,zebra,0
S101,uinvite_flat,turtle,zebra,0
S101,uinvite_flat,bird,zebra,0
S101,uinvite_flat,giraffe,zebra,0
S101,uinvite_flat,antelope,zebra,0
S101,uinvite_flat,buffalo,zebra,0
S101,uinvite_flat,deer,zebra,0
S101,uinvite_flat,cow,zebra,0
S101,uinvite_flat,pig,zebra,0
S101,uinvite_flat,hamster,zebra,0
S101,uinvite_flat,gerbil,zebra,0
S101,uinvite_flat,parrot,zebra,0
S101,uinvite_flat,parakeet,zebra,0
S101,uinvite_flat,snake,zebra,0
S101,uinvite_flat,snail,zebra,0
S101,uinvite_flat,alligator,zebra,0
S101,uinvite_flat,crocodile,zebra,0
S101,uinvite_flat,guineapig,zebra,0
S101,uinvite_flat,rhinoceros,zebra,1
S101,uinvite_flat,elephant,zebra,0
S101,uinvite_flat,panda,zebra,0
S101,uinvite_flat,bear,zebra,0
S101,uinvite_flat,lion,zebra,0
S101,uinvite_flat,tiger,zebra,0
S101,uinvite_flat,raccoon,zebra,0
S101,uinvite_flat,ferret,zebra,0
S101,uinvite_flat,possum,zebra,0
S101,uinvite_flat,duck,zebra,0
S101,uinvite_flat,kangaroo,zebra,1
S101,uinvite_flat,eel,zebra,0
S101,uinvite_flat,whale,zebra,0
S101,uinvite_flat,shark,zebra,0
S101,uinvite_flat,mouse,zebra,0
S101,uinvite_flat,rat,zebra,1
S101,uinvite_flat,cat,chicken,0
S101,uinvite_flat,chicken,dog,0
S101,uinvite_flat,chicken,rabbit,0
S101,uinvite_flat,chicken,turtle,0
