max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,34,5,0.7,34,18,9,12,0:07:09.584798,0:00:56.749582,2fbf4wy8d2ptpmwhf6qeerexuii9cb3iceophgemnytg,1m7nl8k6ae6bxgj5cfloiqisyxgda1iqv4879zgz651g,0,27,3,6,69,21,9,3,72,24,6,12,63,-45.901791632,-60.236478962,-64.6791783378
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,35,5,0.7,35,15,9,12,0:05:02.985361,0:00:51.766458,ekfli2m2vbhmvudqs5f8o1azcy1ft5xw44avqe94ems,jpp7pen3sia4tmmcvb0dfu227bwvx4lc0n7od66mo,0,24,6,3,72,20,10,2,73,23,7,8,67,-46.4573345889,-54.424750265,-58.0607429378
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,36,5,0.7,36,19,18,16,0:06:19.740985,0:01:12.344371,6xt7bvgt2ls7cerl6y17nweqal0dsli3356yosfs46,taooxlhg8gsmjrov8uz91y4eyfdhuz5vzxnfthr0r2e,0,23,7,11,64,22,8,8,67,24,6,13,62,-49.5277037831,-65.8204168937,-68.1593547477
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,37,5,0.7,37,15,11,12,0:06:37.860308,0:00:59.737852,1uz0tpxdovkwusbm6kz4um702zi3rma9iralup17qw3o,1uz0tpx6bd7c7ms5ev2wazovzjr52vrxkj4fz330lm9w,0,25,5,6,69,25,5,7,68,26,4,11,64,-50.8503074464,-61.5854610184,-64.0492634852
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,38,5,0.7,38,22,18,20,0:07:10.640993,0:01:34.194151,2g85gf5jd9rzup6u5nx0ewg4qiztymyhbagboimk7hfs,t3r6qj8glkpiw9nlzctadpcj924ztp1wunxok618zrc,1,22,8,10,65,14,16,4,71,21,9,13,62,-48.0982190187,-55.9540571838,-64.2341463339
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,39,5,0.7,39,17,15,12,0:07:16.899791,0:00:39.538898,2278zcpcicmokyzr9c4rarlgr9thytp5gwz63xose28,2278zcpcicl6wg48kmqbkxcvkdw9bz2us935g04k66s,0,24,6,9,66,23,7,5,70,25,5,12,63,-49.5746197806,-62.7412238639,-65.8538133274
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,40,5,0.7,40,14,11,13,0:06:47.892474,0:00:54.973396,1276czxc0v722araileho6zo17wcy3pw9z0emyzve9s6,93gbskri2lwmfs82kcst7d3i7tiqnft7l17srb6o2di,0,24,6,5,70,21,9,4,71,25,5,9,66,-47.4972862828,-60.0191449215,-63.3154788045
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,41,5,0.7,41,21,13,19,0:08:16.307784,0:01:04.178611,euvfcd6di13x83igrhsfqans43agwiquxnn0pz6ifb6,emfjdageizm9z2opmayvmhdfwrs6i05rmc0rww653pe,0,24,6,7,68,19,11,8,67,22,8,13,62,-42.714693021,-60.9033339165,-63.5067627252
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,42,5,0.7,42,24,23,22,0:03:16.789044,0:00:50.258354,2h5oet4ekjecdqgw1da4lvhzartto9pl36x646ed4mwy,2h5oet4cq5sy8yztzx9973zirpc31367dbcvkt0p1sle,0,20,10,13,62,18,12,10,65,20,10,14,61,-50.0115734953,-61.8072442117,-63.9466361989
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,43,5,0.7,43,22,17,16,0:06:17.680097,0:00:42.361449,t840uahhxo6fcos6qdpk0x9niy0ggdn5ivrxn4s9rp6,t840uahhxo4y6dxtm65gdiwi8lmhu1gb6xo2cwz4zog,0,21,9,8,67,19,11,5,70,20,10,12,63,-47.1890531162,-57.027606059,-59.6890080436
