subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,panda,panther,1,0,0,0
S101,parrot,ferret,1,0,0,0
S101,peacock,panda,1,0,0,0
S101,pigeon,fox,1,0,0,0
S101,platypus,horse,1,0,0,0
S101,polarbear,mouse,1,0,0,0
S101,rabbit,penguin,1,0,0,0
S101,rat,bat,1,0,0,0
S101,redpanda,pig,1,0,0,0
S101,scorpion,wolf,1,0,0,0
S101,seal,mouse,1,0,0,0
S101,seal,wolf,1,0,0,0
S101,shark,lion,1,0,0,0
S101,shark,lizard,1,0,0,0
S101,sheep,mouse,1,0,0,0
S101,skunk,mouse,1,0,0,0
S101,snake,guineapig,1,0,0,0
S101,sparrow,pig,1,0,0,0
S101,spider,emu,1,0,0,0
S101,spider,sugarglider,1,0,0,0
S101,squirrel,penguin,1,0,0,0
S101,tasmaniandevil,panther,1,0,0,0
S101,turtle,dungbeetle,1,0,0,0
S101,turtle,mouse,1,0,0,0
S101,worm,gopher,1,0,0,0
S101,ant,weasel,1,0,0,1
S101,cheetah,chicken,1,0,0,1
S101,donkey,bear,1,0,0,1
S101,elephant,buffalo,1,0,0,1
S101,hawk,monkey,1,0,0,1
S101,monkey,leopard,1,0,0,1
S101,opossum,polarbear,1,0,0,1
S101,otter,clownfish,1,0,0,1
S101,pigeon,polarbear,1,0,0,1
S101,python,cougar,1,0,0,1
S101,sheep,bear,1,0,0,1
S101,skunk,cougar,1,0,0,1
S101,turtle,flamingo,1,0,0,1
S101,zebra,sloth,1,0,0,1
S101,armadillo,blackbear,1,0,1,0
S101,dolphin,stingray,1,0,1,0
S101,hedgehog,fox,1,0,1,0
S101,otter,stingray,1,0,1,0
S101,rattlesnake,toad,1,0,1,0
S101,ape,chipmunk,1,0,1,1
S101,beetle,cricket,1,0,1,1
S101,groundhog,pig,1,0,1,1
S101,piranha,ocelot,1,0,1,1
S101,bear,bird,1,1,0,0
S101,bear,polarbear,1,1,0,0
S101,bear,squirrel,1,1,0,0
S101,beetle,bee,1,1,0,0
S101,bird,deer,1,1,0,0
S101,bird,human,1,1,0,0
S101,bird,lion,1,1,0,0
S101,bison,cow,1,1,0,0
S101,bunny,whale,1,1,0,0
S101,cat,lion,1,1,0,0
S101,cat,sloth,1,1,0,0
S101,cat,whale,1,1,0,0
S101,cheetah,human,1,1,0,0
S101,cheetah,lynx,1,1,0,0
S101,cheetah,panda,1,1,0,0
S101,cheetah,whale,1,1,0,0
S101,chipmunk,moose,1,1,0,0
S101,chipmunk,rat,1,1,0,0
S101,cow,parakeet,1,1,0,0
S101,crab,whale,1,1,0,0
S101,crocodile,giraffe,1,1,0,0
S101,crocodile,lizard,1,1,0,0
S101,dolphin,lion,1,1,0,0
S101,donkey,abex,1,1,0,0
S101,donkey,buffalo,1,1,0,0
S101,donkey,chicken,1,1,0,0
S101,donkey,lion,1,1,0,0
S101,duck,lizard,1,1,0,0
S101,eagle,gorilla,1,1,0,0
S101,elephant,cougar,1,1,0,0
S101,elephant,crow,1,1,0,0
S101,elephant,jaguar,1,1,0,0
S101,elephant,leopard,1,1,0,0
S101,elephant,monkey,1,1,0,0
S101,elephant,pig,1,1,0,0
S101,elephant,turtle,1,1,0,0
