subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5
S100,echidna,zebra,0,0,0,0,0,1,0,0
S100,crow,chicken,0,1,0,0,0,0,1,0
S100,cat,leopard,0,0,0,0,0,1,0,0
S100,bronco,crane,0,0,0,0,0,1,0,0
S100,iguana,bluejay,0,1,0,0,0,0,1,1
S100,redfox,crane,0,0,0,0,0,1,0,0
S100,boaconstrictor,snake,0,1,0,0,0,0,1,1
S100,lion,gerbil,0,1,0,0,0,0,0,0
S100,rooster,mosquito,0,1,0,0,0,0,1,0
S100,rooster,owl,0,1,0,0,0,0,1,1
S100,falcon,rattlesnake,0,0,0,0,0,1,0,0
S100,turtle,wren,0,0,0,0,0,1,0,0
S100,warthog,meerkat,1,1,0,0,1,0,1,1
S100,hippopotamus,tapir,0,1,0,0,0,0,1,0
S100,axolotl,penguin,1,1,0,0,0,0,1,1
S100,dog,bat,0,1,0,0,0,0,1,0
S100,butterfly,fox,0,1,0,0,0,0,1,0
S100,polarbear,pufferfish,1,1,0,0,0,0,1,1
S100,dolphin,worm,0,1,0,0,0,0,1,0
S100,polarbear,penguin,0,1,0,1,0,0,1,1
S100,crow,hawk,0,1,0,1,0,0,1,1
S100,macaw,chicken,1,1,0,0,0,0,1,1
S100,iguana,salamander,1,1,0,1,1,0,1,1
S100,redfox,fox,1,1,0,0,1,0,1,1
S100,horse,owl,0,1,0,0,0,0,1,0
S100,cat,rooster,0,1,0,0,0,0,1,0
S100,panda,finch,0,0,0,0,0,0,0,1
S100,sandshark,stingray,1,1,0,0,1,0,1,1
S100,ibex,cottonmouth,0,0,0,0,0,1,0,0
S100,panda,chimpanzee,0,1,0,1,0,0,1,0
S100,whaleshark,conure,0,0,0,0,0,1,0,0
S100,dog,fish,0,1,0,0,0,0,1,0
S100,salmon,crab,0,1,0,0,0,0,1,1
S100,robin,ox,0,0,0,0,0,1,0,0
S100,bonobo,gecko,1,1,0,0,0,0,1,1
S100,gazelle,tapir,0,0,0,0,0,1,0,0
S100,narwhal,bluewhale,0,1,0,1,0,0,1,1
S100,steer,pig,0,1,0,0,0,0,1,1
S100,oyster,manatee,0,0,0,0,0,1,0,0
S100,beetle,mole,1,1,0,0,0,0,1,1
S100,iguana,adder,0,0,0,0,0,1,0,0
S100,gull,shrimp,0,0,0,0,0,1,0,0
S100,crocodile,hippopotamus,0,1,0,1,0,0,1,0
S100,vulture,robin,0,0,0,0,0,1,0,0
S100,honeybadger,parakeet,1,1,0,0,0,0,1,1
S100,dinosaur,deer,1,1,0,0,0,0,1,1
S100,blackbear,lion,0,1,0,0,0,0,1,1
S100,macaw,macaque,0,0,0,0,0,1,0,0
S100,ostrich,frog,0,1,0,0,0,0,1,0
S100,chicken,moose,0,1,0,0,0,0,1,0
S100,anteater,oxen,0,0,0,0,0,1,0,0
S100,ferret,honeybadger,0,0,0,0,0,1,0,0
S100,walrus,penguin,0,1,0,1,0,0,1,0
S100,fish,rabbit,0,1,0,0,0,0,1,0
S100,pigeon,eagle,0,1,0,0,0,0,1,0
S100,panther,vulture,1,1,0,0,0,0,1,1
S100,conure,eel,0,0,0,0,0,1,0,0
S100,waterbear,bullfrog,0,0,0,0,0,1,0,0
S100,mouse,snail,0,1,0,0,0,0,1,0
S100,manx,lark,0,0,0,0,0,1,0,0
S100,zebra,penguin,0,1,1,0,0,0,1,0
S100,giraffe,yak,0,1,0,0,0,0,1,0
S100,oyster,manx,0,0,0,0,0,1,0,0
S100,baboon,manx,0,0,0,0,0,1,0,0
S100,human,panther,1,1,0,0,0,0,1,1
S100,jellyfish,narwhal,0,0,0,0,0,1,0,0
S100,seahorse,whale,0,1,0,0,0,0,1,0
S100,mantaray,clownfish,1,1,0,0,0,0,1,1
S100,pigeon,pig,0,1,0,0,0,0,1,0
S100,monitor,wren,0,0,0,0,0,1,0,0
S100,ostrich,baldeagle,1,1,0,0,1,0,1,1
S100,jackrabbit,macaw,0,0,0,0,0,1,0,0
S100,anteater,starfish,0,0,0,0,0,1,0,0
S100,bear,panther,0,1,0,0,0,0,1,0
S100,mouse,worm,0,1,0,0,0,0,1,0
S100,pelican,cuttlefish,0,1,0,0,0,0,1,1
S100,seagull,gazelle,0,0,0,0,0,1,0,0
S100,macaw,toucan,1,1,0,0,0,0,1,1
S100,chameleon,alligator,0,1,0,0,0,0,1,0
S100,carp,mouse,0,0,0,0,0,1,0,0
S100,horse,swallow,0,1,0,0,0,0,1,1
S100,dog,elk,0,1,0,0,0,0,1,0
S100,cheetah,hornet,1,1,0,0,0,0,1,1
S100,possum,chipmunk,0,1,0,0,0,0,1,1
S100,tiger,ape,0,1,0,0,0,0,0,0
S100,carp,fish,1,1,0,0,0,0,1,1
S100,chipmunk,moose,0,1,0,0,0,0,1,0
S100,pigeon,swallow,0,1,0,1,0,0,1,1
S100,peccary,hen,0,0,0,0,0,1,0,0
S100,grasshopper,owl,0,0,0,0,0,1,0,0
S100,flea,carpetbeetle,1,1,0,0,1,0,1,1
S100,macaw,owl,0,1,0,0,0,0,1,1
S100,lizard,fish,0,1,0,0,0,0,1,0
S100,horse,bird,0,1,0,0,0,0,1,0
S100,bear,leopard,0,1,0,0,0,0,1,0
S100,adder,mockingbird,0,0,0,0,0,1,0,0
S100,hedgehog,flea,0,0,0,0,0,1,0,0
S100,cockatoo,gull,1,1,0,0,1,0,1,0
S100,turtle,seahorse,0,0,0,0,0,1,0,0
S100,xerus,alligator,0,0,0,0,0,1,0,0
S100,polarbear,manatee,1,1,0,0,0,0,1,1
S100,goat,mosquito,0,1,0,0,0,0,1,0
S100,cockatoo,macaw,1,1,0,1,1,0,1,1
S100,sparrow,alpaca,0,0,0,0,0,1,0,0
S100,narwhal,koi,0,0,0,0,0,1,0,0
S100,sheep,ram,1,1,0,1,0,0,1,1
S100,dog,lynx,0,1,0,0,0,0,1,0
S100,monitor,cod,0,0,0,0,0,1,0,0
S100,sugarglider,gopher,1,1,0,0,1,0,1,1
S100,seahorse,eel,0,1,0,1,0,0,1,0
S100,lemur,pufferfish,1,1,0,0,0,0,1,1
S100,skunk,bat,0,1,0,0,0,0,1,0
S100,mountainlion,chinchilla,0,0,0,0,0,1,0,0
S100,bat,tick,1,1,0,0,0,0,1,1
S100,nakedmolerat,capybara,1,1,0,0,1,0,1,1
S100,hippopotamus,marmot,0,0,0,0,0,1,0,0
S100,monkey,penguin,0,1,0,0,0,0,1,0
S100,ferret,turkey,0,1,0,0,0,0,1,0
S100,dingo,lion,0,1,0,0,0,0,1,0
S100,shark,gecko,0,1,0,0,0,0,1,0
