filename,cutoff,hit,fa,cost
densitymodel,0.35,210,124,307
densitymodel,0.4,199,123,317
densitymodel,0.45,156,68,305
densitymodel,0.5,152,68,309
densitymodel,0.55,113,30,310
densitymodel,0.6,102,30,321
densitymodel,0.65,90,28,331
densitymodel,0.7,71,9,331
densitymodel,0.75,69,9,333
densitymodel,0.8,52,1,342
densitymodel,0.85,24,0,369
densitymodel,0.9,1,0,392
densitymodel,0.95,0,0,393
densitymodel,1.0,0,0,393
dynamic,0.0,385,10485,10493
dynamic,0.05,385,10485,10493
dynamic,0.1,382,10457,10468
dynamic,0.15,351,8617,8659
dynamic,0.2,334,7139,7198
dynamic,0.25,300,4824,4917
dynamic,0.3,251,2372,2514
dynamic,0.35,211,124,306
dynamic,0.4,201,123,315
dynamic,0.45,156,69,306
dynamic,0.5,156,69,306
dynamic,0.55,116,35,312
dynamic,0.6,105,35,323
dynamic,0.65,94,33,332
dynamic,0.7,73,10,330
dynamic,0.75,71,10,332
dynamic,0.8,55,1,339
dynamic,0.85,28,0,365
dynamic,0.9,1,0,392
dynamic,0.95,0,0,393
dynamic,1.0,0,0,393
dynamic_a2,0.0,385,10485,10493
dynamic_a2,0.05,385,10485,10493
dynamic_a2,0.1,376,10346,10363
dynamic_a2,0.15,340,7152,7205
dynamic_a2,0.2,314,4852,4931
dynamic_a2,0.25,275,2419,2537
dynamic_a2,0.3,222,132,303
dynamic_a2,0.35,183,76,286
dynamic_a2,0.4,158,70,305
dynamic_a2,0.45,117,26,302
dynamic_a2,0.5,102,26,317
dynamic_a2,0.55,59,1,335
dynamic_a2,0.6,39,1,355
dynamic_a2,0.65,23,0,370
dynamic_a2,0.7,14,0,379
dynamic_a2,0.75,8,0,385
dynamic_a2,0.8,1,0,392
dynamic_a2,0.85,0,0,393
dynamic_a2,0.9,0,0,393
dynamic_a2,0.95,0,0,393
dynamic_a2,1.0,0,0,393
dynamic_b03,0.0,385,10485,10493
dynamic_b03,0.05,307,239,325
dynamic_b03,0.1,306,239,326
dynamic_b03,0.15,267,203,329
dynamic_b03,0.2,246,168,315
dynamic_b03,0.25,219,130,304
dynamic_b03,0.3,181,79,291
