subj,item1,item2,bb5,bb6,bb7,bb8,bb9,zibb5,zibb6,zibb7,zibb8,zibb9
S100,shark,bass,0,0,0,0,0,1,0,0,0,0
S100,orangutan,chimpanzee,0,0,0,0,0,1,0,0,0,0
S100,bluejay,condor,0,0,0,0,0,1,0,0,0,0
S100,hawk,pufferfish,1,1,0,0,0,1,1,0,0,0
S100,camel,alpaca,1,1,1,0,0,1,1,1,0,0
S100,crocodile,alligator,1,1,1,1,0,1,1,1,1,1
S100,platypus,guineapig,0,0,0,0,0,1,0,0,0,0
S100,otter,ermine,0,0,0,0,0,1,0,0,0,0
S100,panther,vulture,1,1,0,0,0,1,1,0,0,0
S100,minnow,parrot,1,1,0,0,0,1,1,0,0,0
S100,capybara,wombat,0,0,0,0,0,1,0,0,0,0
S100,hyena,jackal,1,1,1,0,0,1,1,1,0,0
S100,weasel,fish,1,1,0,0,0,1,1,0,0,0
S100,goose,mule,0,0,0,0,0,1,0,0,0,0
S100,hummingbird,armadillo,0,0,0,0,0,1,0,0,0,0
S100,human,panther,1,1,0,0,0,1,1,0,0,0
S100,giraffe,zebra,0,0,0,0,0,1,0,0,0,0
S100,mantaray,clownfish,1,1,0,0,0,1,1,0,0,0
S100,goat,walrus,0,0,0,0,0,1,0,0,0,0
S100,lamb,sheep,1,0,0,0,0,1,1,1,0,0
S100,komododragon,rattlesnake,0,0,0,0,0,1,0,0,0,0
S100,pheasant,parrot,1,1,0,0,0,0,0,0,0,0
S100,rhinoceros,hippopotamus,1,1,1,1,1,1,1,1,1,1
S100,ostrich,baldeagle,1,1,0,0,0,1,1,0,0,0
S100,jellyfish,stingray,0,0,0,0,0,1,0,0,0,0
S100,cockroach,centipede,0,0,0,0,0,1,0,0,0,0
S100,sealion,seal,1,1,1,1,0,1,1,1,1,0
S100,redfox,fox,1,1,0,0,0,1,1,0,0,0
S100,chihuahua,penguin,0,0,0,0,0,1,0,0,0,0
S100,cardinal,oriole,1,1,0,0,0,1,1,0,0,0
S100,aardvark,armadillo,1,1,1,0,0,1,1,1,0,0
S100,koi,ape,1,1,0,0,0,1,1,0,0,0
S100,pelican,cuttlefish,0,0,0,0,0,1,1,1,0,0
S100,boar,human,1,1,0,0,0,0,0,0,0,0
S100,anteater,aardvark,1,1,1,1,0,1,1,1,1,0
S100,terrier,stingray,1,1,0,0,0,1,1,0,0,0
S100,greatwhiteshark,hammerheadshark,1,1,0,0,0,1,1,0,0,0
S100,cheetah,hornet,1,1,0,0,0,1,1,0,0,0
S100,possum,chipmunk,0,0,0,0,0,1,0,0,0,0
S100,carp,fish,1,1,0,0,0,1,1,0,0,0
S100,xerus,yak,1,1,0,0,0,1,1,0,0,0
S100,guineapig,lobster,1,1,0,0,0,1,1,1,0,0
S100,clownfish,manatee,0,0,0,0,0,1,0,0,0,0
S100,honeybadger,bull,0,0,0,0,0,1,0,0,0,0
S100,echidna,ostrich,1,1,0,0,0,1,1,0,0,0
S100,chameleon,donkey,0,0,0,0,0,1,0,0,0,0
S100,flea,carpetbeetle,1,1,0,0,0,1,1,0,0,0
S100,macaw,owl,0,0,0,0,0,1,0,0,0,0
S100,panther,lynx,0,0,0,0,0,1,0,0,0,0
S100,bobcat,lynx,1,0,0,0,0,1,1,0,0,0
S100,crow,tuna,1,1,0,0,0,1,1,0,0,0
S100,chameleon,salamander,0,0,0,0,0,1,0,0,0,0
S100,cockatoo,gull,1,1,0,0,0,1,1,0,0,0
S100,crow,magpie,1,1,1,0,0,1,1,1,0,0
S100,beetle,groundhog,1,1,1,0,0,1,1,1,0,0
S100,polarbear,manatee,1,1,0,0,0,1,1,0,0,0
S100,dolphin,wasp,0,0,0,0,0,1,0,0,0,0
S100,flamingo,wombat,1,1,0,0,0,1,1,0,0,0
S100,cockatoo,macaw,1,1,0,0,0,1,1,0,0,0
S100,dolphin,chihuahua,0,0,0,0,0,1,0,0,0,0
S100,sheep,ram,1,0,0,0,0,1,1,1,0,0
S100,whaleshark,octopus,1,1,0,0,0,1,1,0,0,0
S100,peacock,polarbear,0,0,0,0,0,1,1,1,0,0
S100,sugarglider,gopher,1,1,0,0,0,1,1,0,0,0
S100,mink,bird,0,0,0,0,0,1,1,0,0,0
S100,bluewhale,ape,0,0,0,0,0,1,0,0,0,0
S100,lemur,pufferfish,1,1,0,0,0,1,1,0,0,0
S100,lobster,shrimp,1,1,1,1,0,1,1,1,1,0
S100,bat,tick,1,1,0,0,0,1,1,0,0,0
S100,nakedmolerat,capybara,1,1,0,0,0,1,1,0,0,0
S100,brownbear,walrus,1,1,0,0,0,1,1,0,0,0
S100,chimpanzee,gorilla,1,1,1,1,1,1,1,1,1,1
S100,crow,woodpecker,1,1,0,0,0,1,1,0,0,0
S100,anaconda,wolverine,0,0,0,0,0,1,1,0,0,0
S100,bee,mosquito,0,0,0,0,0,1,0,0,0,0
S100,sloth,parakeet,1,1,1,0,0,0,0,0,0,0
S100,emu,flamingo,1,0,0,0,0,0,0,0,0,0
S100,ray,eel,1,1,0,0,0,1,1,0,0,0
S100,mule,bandicoot,1,1,0,0,0,1,1,0,0,0
S100,narwhal,walrus,1,0,0,0,0,1,1,1,0,0
S100,spider,bug,1,1,0,0,0,1,1,0,0,0
S100,macaque,alligator,1,1,0,0,0,1,1,0,0,0
S100,wren,finch,1,1,0,0,0,1,1,0,0,0
S100,seacucumber,alligator,1,1,0,0,0,1,1,0,0,0
S100,bluejay,chipmunk,1,0,0,0,0,1,1,0,0,0
S100,rooster,hen,0,0,0,0,0,1,0,0,0,0
S100,mantis,millipede,1,1,0,0,0,1,1,0,0,0
S100,anaconda,narwhal,1,1,0,0,0,0,0,0,0,0
S100,shark,starfish,1,1,1,1,0,1,1,1,1,0
S100,python,cobra,1,1,1,0,0,1,1,1,0,0
S100,tasmaniandevil,wolf,1,1,0,0,0,1,1,0,0,0
S100,echidna,marmoset,1,1,0,0,0,1,1,0,0,0
S100,sloth,chimpanzee,0,0,0,0,0,1,0,0,0,0
S100,beaver,raccoon,0,0,0,0,0,1,1,1,1,0
S100,leopard,panther,0,0,0,0,0,1,1,0,0,0
S100,bee,aardvark,1,1,0,0,0,0,0,0,0,0
S100,komododragon,dove,1,1,0,0,0,1,1,0,0,0
S100,possum,bat,1,1,1,0,0,1,1,1,0,0
S100,narwhal,bluewhale,0,0,0,0,0,1,0,0,0,0
S100,echidna,platypus,1,1,0,0,0,1,1,0,0,0
S100,dingo,dodo,1,1,0,0,0,1,1,0,0,0
S100,bull,worm,0,0,0,0,0,1,0,0,0,0
S100,labradorretriever,poodle,1,1,0,0,0,1,1,0,0,0
S100,fawn,mink,1,1,0,0,0,0,0,0,0,0
S100,wallaby,octopus,1,1,0,0,0,0,0,0,0,0
S100,human,fish,1,1,0,0,0,0,0,0,0,0
S100,llama,moose,0,0,0,0,0,1,0,0,0,0
S100,nutria,wolf,0,0,0,0,0,1,1,1,0,0
S100,poodle,maltese,1,1,0,0,0,1,1,0,0,0
S100,woodpecker,hamster,0,0,0,0,0,1,0,0,0,0
S100,kinkajou,parakeet,1,1,0,0,0,1,1,0,0,0
S100,lemur,starfish,0,0,0,0,0,1,0,0,0,0
S100,zebra,horse,0,0,0,0,0,1,0,0,0,0
S100,wildebeest,penguin,0,0,0,0,0,1,0,0,0,0
S100,anaconda,cobra,1,1,0,0,0,0,0,0,0,0
S100,badger,fisher,1,1,0,0,0,1,1,0,0,0
S100,mongoose,wolf,0,0,0,0,0,1,0,0,0,0
S100,jackrabbit,zebra,1,1,0,0,0,1,1,0,0,0
S100,raccoon,serval,1,1,0,0,0,1,1,0,0,0
S100,brownbear,horse,1,1,1,0,0,1,1,1,0,0
S100,boaconstrictor,anteater,0,0,0,0,0,1,0,0,0,0
S100,chipmunk,squirrel,1,1,1,1,0,1,1,1,1,1
S100,echidna,kangaroo,1,1,0,0,0,1,1,0,0,0
S100,steer,ferret,0,0,0,0,0,1,1,0,0,0
S100,cattle,raccoon,1,1,0,0,0,1,1,0,0,0
S100,magpie,sparrow,0,0,0,0,0,1,0,0,0,0
S100,monkey,capuchin,1,1,0,0,0,1,1,0,0,0
S100,shrimp,crab,0,0,0,0,0,1,1,1,1,0
S100,beetle,mole,1,1,0,0,0,1,1,0,0,0
S100,hamster,chinchilla,1,1,0,0,0,1,1,1,0,0
S100,cottonmouth,quail,1,1,0,0,0,1,1,0,0,0
S100,seagull,lynx,0,0,0,0,0,1,0,0,0,0
S100,otter,beaver,0,0,0,0,0,1,1,0,0,0
S100,echidna,earthworm,1,1,0,0,0,1,1,0,0,0
S100,butterfly,puppy,1,1,0,0,0,1,1,0,0,0
S100,goby,whale,1,1,0,0,0,1,1,0,0,0
S100,bengaltiger,polarbear,0,0,0,0,0,1,0,0,0,0
S100,chameleon,ferret,1,0,0,0,0,1,1,0,0,0
S100,cougar,leopard,0,0,0,0,0,1,1,0,0,0
S100,iguana,nightingale,0,0,0,0,0,1,1,0,0,0
S100,kitten,puppy,1,1,0,0,0,1,1,0,0,0
S100,goat,alpaca,0,0,0,0,0,1,0,0,0,0
S100,bonobo,ape,1,1,0,0,0,1,1,0,0,0
S100,eagle,opossum,0,0,0,0,0,1,0,0,0,0
S100,reindeer,finch,1,1,0,0,0,1,1,0,0,0
S100,iguana,python,1,1,0,0,0,1,1,0,0,0
S100,python,sloth,1,1,0,0,0,1,1,0,0,0
S100,jellyfish,manatee,0,0,0,0,0,1,0,0,0,0
S100,boaconstrictor,snake,0,0,0,0,0,1,0,0,0,0
S100,crocodile,firefly,0,0,0,0,0,1,0,0,0,0
S100,macaw,chicken,1,1,0,0,0,1,1,0,0,0
S100,honeybadger,parakeet,1,1,0,0,0,1,1,0,0,0
S100,pony,mink,0,0,0,0,0,1,1,0,0,0
S100,dolphin,catfish,1,1,0,0,0,1,1,0,0,0
S100,pika,bandicoot,1,1,0,0,0,1,1,0,0,0
S100,waterbear,lizard,0,0,0,0,0,1,1,0,0,0
S100,pony,mule,0,0,0,0,0,1,1,1,0,0
S100,hyena,vulture,0,0,0,0,0,1,0,0,0,0
S100,dolphin,mantaray,1,1,1,0,0,1,1,1,0,0
S100,flamingo,stingray,1,1,0,0,0,1,1,0,0,0
S100,cockatoo,groundhog,0,0,0,0,0,1,0,0,0,0
S100,carpetbeetle,assassinbug,1,1,0,0,0,1,1,0,0,0
