id,listnum,category,item,RT,RTstart,group
A101,8,animals,snail,8600,163579,Experiment1
A101,8,animals,slug,3082,166661,Experiment1
A101,8,animals,dog,1783,168444,Experiment1
A101,8,animals,cat,854,169298,Experiment1
A101,8,animals,bird,1264,170562,Experiment1
A101,8,animals,fish,1483,172045,Experiment1
A102,0,animals,bear,38811,38811,Experiment1
A102,0,animals,cat,2463,41274,Experiment1
A102,0,animals,dog,1549,42823,Experiment1
A102,0,animals,bird,1789,44612,Experiment1
A102,0,animals,skunk,2183,46795,Experiment1
A102,0,animals,tiger,2148,48943,Experiment1
A102,0,animals,lion,2230,51173,Experiment1
A102,0,animals,zebra,2907,54080,Experiment1
A102,0,animals,ostrich,3313,57393,Experiment1
A102,0,animals,giraffe,4575,61968,Experiment1
A102,0,animals,llama,14608,76576,Experiment1
A102,0,animals,turtle,18797,95373,Experiment1
A102,0,animals,elephant,8790,104163,Experiment1
A102,0,animals,monkey,7790,111953,Experiment1
A102,0,animals,horse,9559,121512,Experiment1
A102,0,animals,donkey,2802,124314,Experiment1
A102,0,animals,cheetah,27971,152285,Experiment1
A102,0,animals,fish,17178,169463,Experiment1
A102,1,vegetables,corn,4339,4339,Experiment1
A102,1,vegetables,beet,2937,7276,Experiment1
A102,1,vegetables,spinach,4219,11495,Experiment1
A102,1,vegetables,lettuce,2595,14090,Experiment1
A102,1,vegetables,greenbean,7426,21516,Experiment1
A102,1,vegetables,pea,2216,23732,Experiment1
A102,1,vegetables,squash,3868,27600,Experiment1
A102,1,vegetables,tomato,4305,31905,Experiment1
A102,1,vegetables,potato,4754,36659,Experiment1
A102,1,vegetables,cucumber,5463,42122,Experiment1
A102,1,vegetables,kale,20790,62912,Experiment1
A102,1,vegetables,broccoli,11020,73932,Experiment1
A102,1,vegetables,cauliflower,3287,77219,Experiment1
A102,1,vegetables,carrot,13712,90931,Experiment1
A102,1,vegetables,cabbage,5623,96554,Experiment1
A102,1,vegetables,zucchini,8423,104977,Experiment1
A102,1,vegetables,brusselsprout,13614,118591,Experiment1
A102,2,fruits,pear,3682,3682,Experiment1
A102,2,fruits,apple,2692,6374,Experiment1
A102,2,fruits,orange,2239,8613,Experiment1
A102,2,fruits,tangerine,2505,11118,Experiment1
A102,2,fruits,banana,10318,21436,Experiment1
A102,2,fruits,starfruit,8855,30291,Experiment1
A102,2,fruits,pomegranate,9301,39592,Experiment1
A102,2,fruits,lime,9610,49202,Experiment1
A102,2,fruits,lemon,1807,51009,Experiment1
A102,2,fruits,grape,12660,63669,Experiment1
A102,2,fruits,kiwi,21463,85132,Experiment1
A102,2,fruits,coconut,18781,103913,Experiment1
A102,2,fruits,strawberry,11735,115648,Experiment1
A102,2,fruits,blueberry,4082,119730,Experiment1
A102,2,fruits,watermelon,36431,156161,Experiment1
A102,2,fruits,cantaloupe,3334,159495,Experiment1
A102,2,fruits,honeydew,6642,166137,Experiment1
A102,3,animals,bear,5178,5178,Experiment1
A102,3,animals,fox,2299,7477,Experiment1
A102,3,animals,wolf,2386,9863,Experiment1
A102,3,animals,tiger,2105,11968,Experiment1
A102,3,animals,lion,3459,15427,Experiment1
A102,3,animals,elephant,3409,18836,Experiment1
A102,3,animals,horse,2544,21380,Experiment1
A102,3,animals,cow,1923,23303,Experiment1
A102,3,animals,donkey,4529,27832,Experiment1
A102,3,animals,monkey,5123,32955,Experiment1
A102,3,animals,cat,7334,40289,Experiment1
A102,3,animals,dog,1087,41376,Experiment1
A102,3,animals,llama,6401,47777,Experiment1
A102,3,animals,giraffe,7719,55496,Experiment1
A102,3,animals,owl,22645,78141,Experiment1
A102,3,animals,chicken,5555,83696,Experiment1
A102,3,animals,turkey,3936,87632,Experiment1
