#word,val
bullshit,69.35
arrived,38.22
study,49.04
danger,43.67
sooner,37.02
view,38.53
total,37.65
tea,58.63
split,38.31
wet,39.22
desk,43.9
bright,44.41
killer,62.86
main,42.73
shirt,46.37
Agent,102.65
driver,47.37
realized,35.96
ours,35.31
dancing,54.39
eh,51.35
faster,43.78
prepared,35.78
familiar,34.51
camera,57
account,44.71
cat,66.33
escape,44.27
meaning,37.33
Christmas,122.43
guest,39.94
hero,49.84
hurts,37.39
condition,37.96
Chief,77.9
animal,45.49
insane,38.69
sending,35.1
cook,45.57
ordered,36.96
color,39.43
lonely,41.67
serve,37.94
subject,36.96
opening,38.43
flight,59.69
pair,37.25
aware,35.65
downstairs,38.92
draw,40.41
Saturday,47.51
wash,40.73
blind,45.82
cards,48.02
sea,59.84
States,54.1
ideas,38.96
lines,38.43
expected,33.25
cream,48.71
recognize,34.31
truly,35.88
health,40.27
church,69.67
screw,37.49
fantastic,39.78
introduce,34.73
stayed,32.71
Unfortunately,32.39
incredible,37.8
Friday,47.63
Nope,34.96
regular,33.86
add,33.06
Mommy,70.92
responsibility,35.41
sometime,33.31
purpose,35.08
matters,33.53
checking,32.47
flowers,47.59
master,87.25
ticket,45.57
opened,33.84
block,40.53
cars,45.63
followed,34.1
falling,36.02
heat,40.08
code,53.12
prefer,32.92
believed,35.06
sudden,33.47
guns,60.63
assume,33.47
teacher,55.73
cheap,36.24
signed,36.06
Frank,159.39
runs,32.1
stars,46.14
y,85.2
planned,31.84
shower,41.12
suspect,44.2
shake,39.63
weight,36.27
butt,38.57
forgotten,34.73
showing,31.12
beach,56.63
Gee,46.31
Brown,60.12
nearly,33.75
Subtitles,28.14
mood,34.04
finger,36.67
E,72.59
meat,43.65
nights,33.86
ate,33.76
exciting,34.82
hook,38
picking,32.51
dogs,53.02
pocket,35.71
covered,31.61
file,44.04
lies,36.92
ears,33.43
movies,46
terrific,41.92
among,33.9
asshole,61.61
selling,37.63
coat,42.08
brothers,47.06
confused,32.41
pieces,34.96
lift,34.14
bedroom,36.71
reasons,32.45
buying,32.92
milk,42.53
scare,33.57
slept,35.49
speed,41.25
center,45.78
knife,46.8
gentleman,41.86
mentioned,30.51
whom,35.2
dig,46.22
noise,34.88
numbers,39.61
saving,30.12
Shh,55.1
restaurant,46.53
someday,33.84
fingers,33.25
com,34.31
Yo,81.9
strike,45.57
ends,30.65
throat,36.02
Aw,40.76
indeed,40.49
strength,36.92
fancy,34.84
sky,44.8
weapon,46.65
rush,31.41
crowd,37.37
enemy,48.51
someplace,31.59
drinks,34.2
mister,45.61
finds,29.25
Sunday,43.25
depends,28.57
blew,31.57
computer,59.04
throwing,29.18
magic,52.69
witness,51.39
faith,46.33
stomach,33.82
powerful,35.12
naked,39.25
barely,29.06
heading,33.47
ended,29.63
clearly,29.98
drugs,48.31
arrested,34.92
river,55.47
soft,32.02
Ow,56.92
records,40.51
pregnant,52.02
jealous,38.27
outta,62.45
kinda,42.41
remain,33.22
fixed,32.29
growing,29.94
St,50.24
obvious,29.57
screaming,38.14
legal,35.71
pool,46.98
freak,36.75
cake,45.06
operation,43.94
understood,32.14
bird,45.45
singing,44.73
spread,31.29
prepare,33.55
crack,32.84
headed,30.78
market,36.24
shape,30.24
issue,34.14
queen,54.69
spare,30.84
waited,29.12
example,29.94
ruin,28.53
brilliant,35.8
harm,31.78
liar,35.14
weak,31.51
doors,34.41
thoughts,33.39
language,35.1
program,42.63
chest,40.98
damage,33.06
stage,45.57
victim,47.73
chances,28.86
travel,33.37
genius,34.76
release,36.29
harder,30.27
professional,32.27
devil,41.33
suck,34.88
positive,31.63
character,38.16
Joe,128.08
moon,49.96
kicked,30.57
repeat,33.02
George,146.55
ship,98.88
tickets,43.35
touched,29.51
romantic,35.18
warning,31.96
including,27.55
United,50.27
wherever,29.41
yourselves,29
changes,29.04
laid,29.94
race,61.9
dealing,28.24
details,29.04
roof,35.65
goodness,32.45
safety,32.33
page,37.49
pulling,27.14
R,70.18
sugar,37.76
borrow,29.31
hired,33
loss,29.12
tall,32.33
filled,27.18
balls,40.16
grew,29.27
student,43.04
animals,39.08
U,49.14
handsome,33.02
mission,47.06
social,33.39
murdered,38.57
discovered,28.76
national,38.16
cheese,39.04
battle,42.25
trade,35.2
screwed,29.78
band,53.41
burning,30.61
ls,97.39
carrying,28.45
lesson,32.24
tongue,31.16
bless,35.06
eggs,38.65
Angel,78.27
nor,35.98
brave,31.71
invite,29.59
proof,34.39
jerk,33.14
mail,36.84
belongs,27.9
ha,122.75
member,28.78
sat,28.61
Tom,109.57
survive,30.14
towards,27.43
expensive,27.94
fake,36.33
decent,28.1
ear,32
male,33.94
style,30.08
property,33.29
toast,33.47
bodies,33.22
doctors,36.37
drove,28.86
la,68.98
pleased,28.53
unbelievable,29.41
answers,29.94
mostly,26.08
nurse,44.98
fan,35.14
training,35.14
load,29.22
neighborhood,36.69
particular,27.9
began,32.51
buried,34.08
camp,51.22
drug,45.22
failed,28.76
tiny,32.22
speech,38.04
smells,27.27
changing,26.25
video,41.27
honestly,27.25
Michael,198.33
received,28.16
shock,28.78
criminal,34.47
destroyed,30.84
recently,26.04
faces,26.73
n,55.1
pray,36.22
schedule,29.76
forced,26.45
Doc,80.82
Mike,111.9
deliver,28.35
focus,29.39
square,31.76
stolen,34.31
watched,26.53
available,25.94
concern,26.12
moves,27.84
parts,29.43
permission,31.12
rent,34.55
enter,29.73
streets,31.59
oil,41.08
appointment,30.57
lips,31.18
riding,32
pig,39.14
badly,26.2
complicated,27.16
lower,27.78
manager,39.96
Mary,88.08
tied,26.75
justice,37.45
tear,27
woke,26.35
exist,28.96
offered,26.14
points,32.2
spending,24.78
meal,28.86
original,28.24
shopping,30
dump,28.82
bridge,45.71
fortune,29.76
hated,28.22
wise,28.47
avoid,24.29
fellas,38.69
slip,25.88
cousin,48.84
grown,25
likely,25.76
burned,28.39
caused,25.84
raised,25.73
research,33.1
female,31.61
process,27.98
crew,47.53
bell,39.33
Monday,33.29
letters,37.45
ln,73.59
anytime,24.47
ashamed,27.37
player,37.76
tip,27.63
weather,34.24
dick,53
puts,24
brains,27.47
curious,26.22
regret,27.14
spring,31.31
insurance,38.33
paint,36.8
society,32.92
warn,25.35
signal,37.76
higher,27.84
J,78.94
passing,25.98
period,27.78
physical,27.18
nonsense,28.47
rights,29.61
based,26.61
client,53.24
command,43.63
yellow,33.8
reached,24.73
attitude,26.08
awake,26.71
science,37.25
thousands,27.65
film,65.25
wanting,24.53
amount,24.75
boring,27.41
base,35.37
San,49.86
disappeared,28.8
connection,27.18
glasses,33.12
rise,27.43
lab,39.61
unit,36.18
bleeding,29.73
bullet,38.24
post,32.43
dating,33.12
dozen,24.14
success,27.25
charges,29.53
grateful,26.57
medicine,34.2
season,31.47
switch,28.12
breathing,27.78
jobs,27.61
stood,25.78
babies,33.41
energy,32.9
midnight,28.37
bath,31.12
surely,27.59
grade,29.27
plays,29.82
eventually,24.43
license,32.06
pounds,31.27
traffic,28.51
babe,35.57
bags,28.55
celebrate,24.86
disgusting,26.61
healthy,24.75
hung,28.16
Detective,61.12
Freeze,32.16
hates,25.75
treated,23.9
staff,32
talks,23.84
below,28.04
friendly,26.04
stranger,27
telephone,32.37
dies,24.9
project,37.39
airport,38.04
knocked,24.73
model,32.06
wide,23.8
desperate,25.69
ruined,25.53
aside,23.76
direction,24.08
vacation,32.8
fought,26.71
assistant,32.22
gay,59.08
gosh,29.9
score,30.43
shoulder,26.2
Charlie,111.14
Ms,50.96
becomes,24.14
drag,26.45
trees,30.69
proper,25.27
jacket,33.41
closing,26.14
cases,28.16
event,26.37
weapons,40.49
Bob,91.49
firm,35.27
theory,28.61
becoming,22.88
cab,35.8
extremely,23.73
funeral,33.2
Nah,28.1
trial,49.37
setting,21.55
slowly,25.08
military,41.24
practically,22.84
appear,23.37
carefully,23.57
clever,27.27
basically,26.02
hire,25.53
distance,25.61
easily,22.57
wasting,22.25
Aunt,55.2
Chinese,44.43
freedom,33.1
remembered,22.47
toilet,28.9
considered,23.18
led,24.02
pure,24.92
shots,28.37
David,101.88
James,65.84
suicide,34.25
birth,27.55
exact,22.63
Sam,123.16
rooms,26
charming,28.12
knees,25.88
loving,25
monster,38.86
target,37.96
chase,32.8
stealing,24.8
younger,24.65
punch,29.69
rate,24.92
smoking,26.16
de,42.37
rat,32.61
fourth,26.45
California,38.67
fail,24.59
circumstances,22.94
stone,40.63
wound,26.53
knowledge,25.53
pride,27.67
official,24
television,33.9
bomb,53.65
tour,30.8
hitting,23.53
returned,24.76
kinds,21.98
direct,24.04
pathetic,24.2
unusual,23.73
attorney,40.39
effect,23.9
fella,33.43
staring,23.45
parking,27.04
statement,29.24
bust,27.57
disappointed,22.04
Paul,94.14
section,27.33
embarrassing,22.84
plate,25.65
create,25.27
access,31.67
joy,28.55
steps,24.69
pissed,25.49
County,33.76
hill,37.55
scary,26.2
committed,24.02
advantage,22.06
reality,30.25
odd,24.04
quarter,26.02
community,29.14
loser,27.08
winner,31.22
sale,25.39
separate,21.71
Van,51.78
flat,26.22
sexual,33.2
sexy,29.98
sucks,24.47
sharp,23.78
request,25.57
