subj,node1,node2,rw,fe,goni,chan,kenett
S100,donkey,chicken,1,0,0,0,0
S100,parrot,wildcat,0,0,0,0,1
S100,panda,mosquito,1,0,0,0,0
S100,possum,bat,1,0,0,0,0
S100,wolverine,rabbit,1,0,0,0,0
S100,bobcat,bear,1,0,0,0,0
S100,butterfly,kangaroo,1,0,0,0,0
S100,platypus,hare,0,0,0,0,1
S100,chipmunk,beaver,1,0,1,0,0
S100,seagull,armadillo,0,0,0,0,1
S100,swordfish,pig,1,0,0,0,0
S100,grasshopper,toad,1,0,0,0,0
S100,shark,sealion,1,0,1,0,0
S100,seagull,moose,1,0,0,0,0
S100,bat,polarbear,0,0,0,0,1
S100,goby,deer,0,0,0,0,1
S100,brownbear,horse,1,1,0,0,0
S100,aardvark,whale,1,1,0,0,0
S100,goat,frog,1,0,0,0,0
S100,stinkbug,ladybug,1,0,0,1,0
S100,goose,lion,1,0,0,0,0
S100,nightingale,owl,1,0,0,1,0
S100,monkey,capuchin,1,0,0,1,0
S100,horse,cow,1,1,1,1,0
S100,crow,eagle,0,0,1,0,0
S100,coyote,hippopotamus,1,0,0,0,0
S100,chicken,bull,1,0,1,0,0
S100,mink,honeybadger,0,0,0,0,1
S100,turtle,raccoon,1,0,0,0,0
S100,echidna,earthworm,1,0,0,1,0
S100,cat,mouse,1,0,0,0,0
S100,walrus,cricket,0,0,0,0,1
S100,dog,buffalo,0,0,0,0,1
S100,dog,lion,1,0,0,1,0
S100,puma,fox,1,0,0,0,0
S100,giraffe,aardvark,1,0,0,0,0
S100,persian,lobster,0,0,0,0,1
S100,bonobo,ape,1,0,1,0,0
S100,hog,guineapig,1,0,0,0,0
S100,polarbear,walrus,1,0,0,0,0
S100,horse,duck,1,0,0,0,0
S100,sabertoothedtiger,wolf,0,0,0,0,1
S100,iguana,python,1,0,0,0,0
S100,hippopotamus,ferret,1,0,0,0,0
S100,tick,cottonmouth,0,0,0,0,1
S100,jellyfish,manatee,1,0,0,0,0
