subj,node1,node2,u-invite,rw
S11,dolphon,killerwhale,1,1
S11,spiritbear,blackbear,1,1
S11,terrier,yorkie,1,1
S11,bug,inchworm,1,1
S11,tibetanterrier,goldenretreiver,1,1
S11,greathornedowl,elfowl,1,1
S11,rhesusmonkey,bonobo,1,1
S11,pandabear,polarbear,1,1
S11,human,gorilla,1,1
S11,orangutan,chimp,1,1
S11,crabg,oyster,1,1
S11,human,bottlenoseddolphin,1,1
S11,turtoise,shark,1,1
S11,gibbon,monkey,1,1
S11,iguana,gecko,1,1
S11,rottweiler,yorkie,1,1
S11,bluewhale,spermhale,1,1
S11,stingray,deer,1,1
S11,labradoodle,goldendoodle,1,1
S11,cat,tabbycat,1,1
S11,alligator,salamander,1,1
S11,squid,octopu,1,1
S11,poodle,sheepdog,1,1
S11,tortoise,turtle,1,1
S11,aardvark,anteater,1,1
S11,tibetanterrier,yorkie,1,1
S11,crab,giantsquid,1,1
S11,seal,walrus,1,1
S11,monkey,gorilla,1,1
S11,baldeagle,polarbear,1,1
S11,human,giraffe,1,1
S11,halibut,tubna,1,1
S11,bear,elk,1,1
S11,cougar,puma,1,1
S11,alligator,croc,1,1
S11,beagle,bloodhound,1,1
S11,ligedr,tadpole,1,1
S11,dolphin,giraffe,1,1
S11,kingcobra,anaconda,1,1
S11,bat,moth,1,1
S11,labradoodle,labrador,1,1
S11,yorkie,husky,1,1
S11,snake,rattlesnake,1,1
S11,ape,gibbon,1,1
S11,poodle,walrus,1,1
S11,marineiguana,landiguana,1,1
S11,goldeneagle,red-tailedhawk,1,1
S11,germanshepherd,dog,1,1
S11,baldeagle,eagle,1,1
S11,rabbit,bunny,1,1
S11,salamander,amphibian,1,1
S11,orangutan,ate,1,1
S11,elephant,giraffe,1,1
S11,poodle,yorkie,1,1
S11,bat,lizard,1,1
S11,goldeneagle,eagle,1,1
S11,horse,donkey,1,1
S11,ladybug,butterfly,1,1
S11,chimpanzeee,gorilla,1,1
S11,weasel,otter,1,1
S11,siberiantiger,tiger,1,1
S11,frog,butterfly,1,1
S11,greathornedowl,owl,1,1
