subj,node1,node2,u-invite,rw
S99,cat,lion,1,1
S99,emu,penguin,1,1
S99,otter,orangutan,1,1
S99,leopard,wolf,1,1
S99,scorpion,lobster,1,1
S99,polarbear,sunshinebear,1,1
S99,snake,eel,1,1
S99,falcon,jay,1,1
S99,cow,pig,1,1
S99,lion,owl,1,1
S99,mole,buffalo,1,1
S99,rat,cat,1,1
S99,starfish,seasponge,1,1
S99,porcupine,lizard,1,1
S99,hyena,barracuda,1,1
S99,shark,seal,1,1
S99,chipmunk,bird,1,1
S99,dog,mouse,1,1
S99,gazelle,hyena,1,1
S99,ram,ewe,1,1
S99,prayingmantiss,bee,1,1
S99,mouse,chinchilla,1,1
S99,wasp,scorpion,1,1
S99,monkey,otter,1,1
S99,brownbear,blackbear,1,1
S99,bluefootedbooby,toucan,1,1
S99,parrot,cat,1,1
S99,giraffe,vulture,1,1
S99,coyote,pig,1,1
S99,giraffe,fox,1,1
S99,robin,swallow,1,1
S99,tiger,fox,1,1
S99,caterpillar,butterfly,1,1
S99,yak,moose,1,1
S99,opossum,octopus,1,1
S99,dolphin,orca,1,1
S99,tiger,chimpanzee,1,1
S99,grasshopper,cicada,1,1
S99,pony,turtle,1,1
S99,chicken,rooster,1,1
S99,giraffe,hippopotamus,1,1
S99,eagle,dog,1,1
S99,hamster,hound,1,1
S99,lice,mite,1,1
S99,dolphin,elephant,1,1
S99,lizard,mouse,1,1
S99,polarbear,baldeagle,1,1
S99,dog,mongoose,1,1
S99,dog,raccoon,1,1
S99,stingray,mantaray,1,1
S99,tortoise,lobster,1,1
S99,zebra,lemur,1,1
S99,snake,ant,1,1
S99,llama,aardvark,1,1
S99,rottweiler,yorkie,1,1
S99,mountainlion,wolf,1,1
S99,whale,octopus,1,1
S99,pelican,cockatoo,1,1
S99,dog,bird,1,1
S99,panther,ocelot,1,1
S99,eagle,raven,1,1
S99,moth,raccoon,1,1
S99,iguana,icefish,1,1
S99,sparrow,seagull,1,1
S99,dolphin,shark,1,1
S99,dog,seagull,1,1
S99,worm,maggot,1,1
S99,bat,bumblebee,1,1
S99,reindeer,belugawhale,1,1
S99,katydid,prayingmantiss,1,1
S99,bottlenoseddolphin,human,1,1
S99,squid,leopard,1,1
S99,bee,hummingbird,1,1
S99,turkey,raven,1,1
S99,crow,parakeet,1,1
S99,antelope,frog,1,1
S99,elephant,gazelle,1,1
S99,goldendoodle,puddle,1,1
S99,quail,jaguar,1,1
S99,bloodhound,beagle,1,1
S99,cougar,puma,1,1
S99,dolphin,giraffe,1,1
S99,salmon,fox,1,1
S99,jaguar,chimpanzee,1,1
S99,crow,seal,1,1
S99,macaw,crab,1,1
S99,crow,raven,1,1
S99,squirrel,ox,1,1
S99,scorpion,hornet,1,1
S99,parrot,fish,1,1
S99,snake,guineapig,1,1
S99,whaleshark,killerwhale,1,1
S99,poodle,walrus,1,1
S99,polarbear,bunny,1,1
S99,hyena,lion,1,1
S99,monkey,ape,1,1
S99,rabbit,butterfly,1,1
S99,platypus,rat,1,1
S99,cow,crab,1,1
S99,spidermonkey,rhesusmonkey,1,1
S99,fish,human,1,1
S99,elephant,giraffe,1,1
S99,rat,gopher,1,1
S99,dog,duck,1,1
S99,mouse,meerkat,1,1
S99,fish,lemur,1,1
S99,clam,lobster,1,1
S99,rattlesnake,gartersnake,1,1
S99,pony,dog,1,1
S99,mouse,lobster,1,1
S99,rat,mouse,1,1
S99,seal,whale,1,1
S99,horse,donkey,1,1
S99,alligator,armadillo,1,1
S99,manatee,slug,1,1
S99,giraffe,penguin,1,1
S99,rat,bat,1,1
S99,komododragon,crab,1,1
S99,hippopotamus,squirrel,1,1
S99,groundhog,human,1,1
S99,rabbit,squirrel,1,1
S99,porcupine,fox,1,1
S99,squirrel,chimpanzee,1,1
S99,bear,owl,1,1
S99,leopard,waterstrider,1,1
S99,hippopotamus,donkey,1,1
S99,sealion,cockerspaniel,1,1
S99,spider,hornet,1,1
S99,panda,mouse,1,1
S99,leopard,fox,1,1
S99,panda,porcupine,1,1
S99,hippopotamus,lemming,1,1
S99,grizzlybear,jaguar,1,1
S99,hummingbird,pig,1,1
S99,sheep,fox,1,1
S99,snake,tiger,1,1
S99,tasmaniandevil,mountainlion,1,1
S99,mountainlion,cougar,1,1
S99,prayingmantis,shrimp,1,1
S99,elephant,tiger,1,1
S99,peacock,quail,1,1
S99,elk,fox,1,1
S99,rhinoceros,alligator,1,1
S99,spider,ant,1,1
S99,panther,penguin,1,1
S99,elephant,deer,1,1
S99,molerat,kangaroo,1,1
S99,shark,bottlenoseddolphin,1,1
S99,seal,leech,1,1
S99,horse,alligator,1,1
S99,opossum,lice,1,1
S99,pig,fly,1,1
S99,mule,cow,1,1
S99,moose,ocelot,1,1
S99,eagle,panda,1,1
S99,cougar,jaguar,1,1
