method,simnum,listnum,hit,miss,fa,cr,cost
fe,0,27,73,320,4,12323,324.0
rw,0,28,387,6,869,11458,875.0
goni,0,28,344,49,191,12136,240.0
chan,0,28,145,248,23,12304,271.0
kenett,0,28,243,150,231,12096,381.0
fe,0,28,74,319,4,12323,323.0
rw,0,29,387,6,896,11431,902.0
goni,0,29,350,43,196,12131,239.0
chan,0,29,147,246,15,12312,261.0
kenett,0,29,245,148,229,12098,377.0
fe,0,29,77,316,4,12323,320.0
rw,0,30,388,5,927,11400,932.0
goni,0,30,352,41,205,12122,246.0
chan,0,30,148,245,16,12311,261.0
kenett,0,30,254,139,220,12107,359.0
fe,0,30,80,313,4,12323,317.0
rw,0,31,388,5,955,11372,960.0
goni,0,31,354,39,209,12118,248.0
chan,0,31,148,245,14,12313,259.0
kenett,0,31,262,131,212,12115,343.0
fe,0,31,81,312,5,12322,317.0
rw,0,32,388,5,984,11343,989.0
goni,0,32,356,37,214,12113,251.0
chan,0,32,147,246,13,12314,259.0
kenett,0,32,259,134,215,12112,349.0
fe,0,32,83,310,5,12322,315.0
rw,0,33,388,5,1014,11313,1019.0
goni,0,33,362,31,218,12109,249.0
chan,0,33,148,245,17,12310,262.0
kenett,0,33,258,135,216,12111,351.0
fe,0,33,85,308,5,12322,313.0
rw,0,34,388,5,1038,11289,1043.0
goni,0,34,361,32,219,12108,251.0
chan,0,34,150,243,16,12311,259.0
kenett,0,34,247,146,227,12100,373.0
fe,0,34,88,305,5,12322,310.0
rw,0,35,389,4,1065,11262,1069.0
goni,0,35,363,30,224,12103,254.0
chan,0,35,151,242,11,12316,253.0
kenett,0,35,255,138,219,12108,357.0
fe,0,35,90,303,5,12322,308.0
rw,0,36,390,3,1088,11239,1091.0
goni,0,36,366,27,229,12098,256.0
chan,0,36,148,245,18,12309,263.0
kenett,0,36,265,128,209,12118,337.0
fe,0,36,91,302,5,12322,307.0
rw,0,37,390,3,1117,11210,1120.0
goni,0,37,372,21,232,12095,253.0
chan,0,37,152,241,14,12313,255.0
kenett,0,37,259,134,215,12112,349.0
fe,0,37,93,300,5,12322,305.0
rw,0,38,390,3,1144,11183,1147.0
goni,0,38,372,21,236,12091,257.0
chan,0,38,151,242,10,12317,252.0
kenett,0,38,268,125,206,12121,331.0
fe,0,38,94,299,7,12320,306.0
rw,0,39,390,3,1169,11158,1172.0
goni,0,39,375,18,243,12084,261.0
chan,0,39,150,243,10,12317,253.0
kenett,0,39,264,129,210,12117,339.0
fe,0,39,96,297,8,12319,305.0
rw,0,40,390,3,1201,11126,1204.0
goni,0,40,376,17,248,12079,265.0
chan,0,40,151,242,8,12319,250.0
kenett,0,40,273,120,201,12126,321.0
fe,0,40,98,295,9,12318,304.0
rw,0,41,390,3,1231,11096,1234.0
goni,0,41,375,18,254,12073,272.0
chan,0,41,153,240,8,12319,248.0
kenett,0,41,265,128,209,12118,337.0
fe,0,41,100,293,9,12318,302.0
