# Animal scheme file for Italian
# First version
# Created by Sabia Costantini, 2023
# Schema "animali" in Italiano
# Prima versione
# Creato da Sabia Costantini, 2023"
# Additional information regarding this scheme is available at https://github.com/costantini-sabia/Italian_SNAFU_Scheme
Pesce,maccarello
Pesce,manta
Pesce,marlin
Pesce,merluzzo
Pesce,missiniforme
Pesce,muggine
Pesce,murena
Pesce,ombrina
Pesce,osmero
Pesce,persico
Pesce,persicotrota
Pesce,pesce
Pesce,pesceangelo
Pesce,pescediacquadolce
Pesce,pescediacquasalata
Pesce,pescefarfallaquattr'occhi
Pesce,pescegatto
Pesce,pesceleone
Pesce,pesceluna
Pesce,pescepagliaccio
Pesce,pescepalla
Pesce,pescepappagallo
Pesce,pescepietra
Pesce,pescerosso
Pesce,pescespada
Pesce,pescevolante
Pesce,pescezebrato
Pesce,piranha
Pesce,platessa
Pesce,poeciliareticolata
Pesce,ranapescatrice
Pesce,salmone
Pesce,salmonerosa
Pesce,sanguinerola
Pesce,sardina
Pesce,sogliola
Pesce,spigola
Pesce,spinarello
Pesce,squalo
Pesce,squalobalena
Pesce,squaloazzurro
Pesce,squalobianco
Pesce,squaloleuca
Pesce,squalomako
Pesce,squalomartello
Pesce,squalonutrice
Pesce,squalotigre
Pesce,storione
Pesce,tonno
Pesce,tonnopinnagialla
Pesce,trota
Primate,aluatta
Primate,babbuino
Primate,bonobo
Primate,essereumano
Primate,galagone
Primate,gibbone
Primate,gorilla
Primate,indri
Primate,lori
Primate,lorislento
Primate,macaco
Primate,mandrillo
Primate,orangotango
Primate,primate
Primate,scimmia
Primate,scimmiacappuccina
Primate,scimpanze
Primate,tarsio
Primate,titi
RettileAnfibio,alligatore
RettileAnfibio,anaconda
RettileAnfibio,anfibio
RettileAnfibio,biscia
RettileAnfibio,boa
RettileAnfibio,caimano
RettileAnfibio,camaleonte
RettileAnfibio,cobra
RettileAnfibio,cobrareale
RettileAnfibio,coccodrillo
RettileAnfibio,crotaloceraste
RettileAnfibio,crotalomuto
RettileAnfibio,diavolospinoso
RettileAnfibio,dragodikomodo
RettileAnfibio,gaviale
RettileAnfibio,geco
RettileAnfibio,goanna
RettileAnfibio,iguana
RettileAnfibio,lucertola
RettileAnfibio,lucertolaperlinata
RettileAnfibio,mambanero
RettileAnfibio,mocassinoacquatico
RettileAnfibio,pitone
RettileAnfibio,pogona
RettileAnfibio,raganella
RettileAnfibio,rana
RettileAnfibio,ranadidarwin
RettileAnfibio,ranatoro
RettileAnfibio,rettile
RettileAnfibio,rospo
RettileAnfibio,rospocorneo
RettileAnfibio,salamandra
RettileAnfibio,scincodallalinguablu
RettileAnfibio,serpente
RettileAnfibio,serpentevolante
RettileAnfibio,serpenteasonagli
RettileAnfibio,serpentecorallo
RettileAnfibio,serpentetoro
RettileAnfibio,taipan
RettileAnfibio,tartaruga
RettileAnfibio,testuggine
RettileAnfibio,tritone
RettileAnfibio,varano
RettileAnfibio,vipera
Roditore,canedellaprateria
Roditore,istrice
Roditore,arvicola
Roditore,capibara
Roditore,castoro
Roditore,cincilla
Roditore,criceto
Roditore,degu
Roditore,gerbillo
Roditore,gerboa
Roditore,ghiro
Roditore,lemming
Roditore,marmotta
Roditore,nutria
Roditore,porcellinodindia
Roditore,porcospino
Roditore,ratto
Roditore,rattomercante
Roditore,roditore
Roditore,scoiattologrigio
Roditore,scoiattoloneromeridionale
Roditore,scoiattolorosso
Roditore,scoiattolovolante
Roditore,topo
Roditore,topomuschiato
Roditore,xerorosso
Uccello,airone
Uccello,aironebiancomaggiore
Uccello,aironecenerino
Uccello,aironerosso
Uccello,albanella
Uccello,albanellaminore
Uccello,albanellareale
Uccello,albatro
Uccello,alcatorda
Uccello,allocco
Uccello,alloccodegliurali
Uccello,allodola
Uccello,alzavola
Uccello,anatra
Uccello,anatramarmorizzata
Uccello,anatroccolo
Uccello,aninga
Uccello,aquila
Uccello,aquilacalva
Uccello,aquiladibonelli
Uccello,aquilareale
Uccello,aquilotto
Uccello,arascarlatta
Uccello,assiolo
Uccello,astore
Uccello,averla
Uccello,averlacapirossa
Uccello,averlacenerina
Uccello,averlapiccola
Uccello,avocetta
Uccello,avocettacomune
Uccello,avvoltoio
Uccello,avvoltoiobarbuto
Uccello,barbagianni
Uccello,basettino
Uccello,beccaccia
Uccello,beccacciadimare
Uccello,beccaccino
Uccello,beccafico
Uccello,beccapesci
Uccello,beccofrusone
Uccello,berta
Uccello,bertamaggiore
Uccello,bertaminoremediterranea
Uccello,bigia
Uccello,cacatua
Uccello,calandra
Uccello,calandrella
Uccello,calopsitta
Uccello,canapiglia
Uccello,canapino
Uccello,canarino
Uccello,capovaccaio
Uccello,cappellaccia
Uccello,cardellino
Uccello,cardellinodamerica
Uccello,cardinalerosso
Uccello,casarca
Uccello,casuario
Uccello,cavaliereditalia
Uccello,chiurlomaggiore
Uccello,chukar
Uccello,cianciallegra
Uccello,cicogna
Uccello,cicognabianca
Uccello,cicognanera
Uccello,cigno
Uccello,cignonero
Uccello,cignoreale
Uccello,cincia
Uccello,cinciabigia
Uccello,cinciadalciuffo
Uccello,cinciamora
Uccello,cinciarella
Uccello,ciuffolotto
Uccello,civetta
Uccello,civettacapogrosso
Uccello,civettadellenevi
Uccello,civettanana
Uccello,codirosso
Uccello,codone
Uccello,colibri
Uccello,colinodellavirginia
Uccello,colomba
Uccello,colombella
Uccello,colombo
Uccello,condor
Uccello,conurodelsole
Uccello,cormorano
Uccello,cornacchia
Uccello,cornacchiagrigia
Uccello,corvo
Uccello,corvoimperiale
Uccello,corvomaggiore
Uccello,corvonero
Uccello,coturnice
Uccello,cuculo
Uccello,cuculodalciuffo
Uccello,culbianco
Uccello,dodo
Uccello,doliconice
