animal1,animal2,similarity,uinvite,priming,rw,windowgraph
bunny,whale,25,1,1,1,1
ant,grizzlybear,11,0,0,0,0
bluejay,hamster,53,1,1,1,1
goose,duck,92,1,1,1,1
sheep,cow,78,0,0,1,0
monkey,gopher,39,1,1,1,1
seagull,seal,53,0,0,1,0
snake,parrot,24,0,0,0,0
swallow,eagle,66,1,1,1,1
seagull,parrot,59,0,0,1,0
ostrich,elephant,31,0,0,1,0
fly,beetle,97,1,1,1,1
fox,alligator,33,1,1,1,1
hyena,wolf,94,1,1,1,1
cat,panther,100,0,0,1,0
polarbear,sheep,21,0,0,0,0
dolphin,chipmunk,36,0,0,0,0
skunk,moose,44,1,1,1,1
crow,duck,76,0,0,1,0
seal,coyote,30,0,0,1,0
butterfly,beetle,55,0,0,1,0
wasp,cow,6,0,0,0,0
cat,elk,54,0,0,0,0
gorilla,alligator,26,0,0,0,0
bobcat,eagle,53,0,0,0,0
bear,fox,58,0,0,1,0
cat,penguin,50,1,1,0,0
pig,warthog,85,0,0,1,0
horse,rooster,54,0,0,0,0
kangaroo,boar,53,0,0,0,0
rooster,chicken,98,1,1,1,1
panda,elephant,45,0,0,0,0
bird,dog,44,1,1,1,1
goose,turkey,94,0,0,0,0
bear,squirrel,41,0,0,1,0
horse,buffalo,56,1,1,1,1
llama,mouse,54,1,1,0,0
rhinoceros,giraffe,22,0,0,1,0
tiger,moth,13,0,0,0,0
chimpanzee,weasel,52,1,1,1,1
rabbit,hedgehog,86,1,0,1,1
swallow,dove,98,1,1,1,1
horse,bird,33,0,0,0,0
bear,human,50,1,1,1,1
walrus,panda,37,1,1,1,1
tiger,platypus,45,1,0,0,0
chipmunk,rat,80,0,0,1,0
cow,snake,43,0,0,1,0
turtle,wolf,17,0,0,1,0
sheep,platypus,34,0,0,1,0
orangutan,chimpanzee,99,1,1,1,1
sloth,duck,56,0,0,0,0
jaguar,dog,64,1,1,0,0
moth,robin,52,1,1,1,1
wolverine,killerwhale,10,0,0,0,0
hyena,bunny,44,0,0,0,0
chameleon,tadpole,71,0,0,0,0
dolphin,eagle,44,0,0,1,0
giraffe,hyena,57,1,1,1,1
beaver,donkey,53,0,0,0,0
gopher,dog,82,0,1,0,0
fly,cat,24,0,0,0,0
wolf,snake,29,0,0,0,0
panda,rat,51,1,1,0,1
turtle,rat,10,0,0,0,0
penguin,monkey,28,1,1,0,1
cat,swan,38,1,0,0,0
gopher,prairiedog,98,1,1,0,1
gorilla,bluebird,43,0,0,0,0
otter,zebra,57,0,0,0,0
donkey,goose,44,1,1,1,1
starfish,porcupine,39,1,1,1,1
cheetah,tiger,93,0,0,1,0
dolphin,pigeon,21,0,0,0,0
bat,horse,46,0,0,1,0
walrus,salmon,34,0,0,0,0
snake,elephant,41,0,0,0,0
panther,lion,95,0,0,1,0
puma,cougar,98,0,0,1,0
rabbit,possum,61,0,0,1,0
elephant,penguin,39,0,0,0,0
camel,rhinoceros,55,0,0,1,0
alligator,frog,57,0,0,0,0
