id,cond,game,category,item,firstkey,RT,RTstart,shortlist
S001,c,4,supermarket items,salatdressing,9913,27584,93164,0
S001,c,4,supermarket items,peas,7098,8868,102032,0
S001,c,4,supermarket items,mango,974,1666,103698,0
S001,c,4,supermarket items,icecubes,11352,12438,116136,0
S001,c,5,animals,dog,1851,3415,3415,0
S001,c,5,animals,cat,288,937,4352,0
S001,c,5,animals,mouse,559,1122,5474,0
S001,c,5,animals,giraffe,1876,5156,10630,0
S001,c,5,animals,hamster,4405,6828,17458,0
S001,c,5,animals,mouse,942,1443,18901,0
S001,c,5,animals,duck,4144,4702,23603,0
S001,c,5,animals,rabbit,233,968,24571,0
S001,c,5,animals,bunny,357,1022,25593,0
S001,c,5,animals,hare,459,903,26496,0
S001,c,5,animals,chicken,1583,2344,28840,0
S001,c,5,animals,tiger,4106,4643,33483,0
S001,c,5,animals,lion,264,950,34433,0
S001,c,5,animals,whale,258,832,35265,0
S001,c,5,animals,dolphin,494,3706,38971,0
S001,c,5,animals,seaanemone,6508,8408,47379,0
S001,c,5,animals,shark,3978,4566,51945,0
S001,c,5,animals,ray,7525,9275,61220,0
S001,c,5,animals,mantaray,612,2652,63872,0
S001,c,5,animals,fly,12125,13347,77219,0
S001,c,5,animals,moscito,377,2462,79681,0
S001,c,5,animals,gecco,929,1697,81378,0
S001,c,5,animals,tiger,1892,2609,83987,0
S001,c,5,animals,panther,987,2743,86730,0
S001,c,5,animals,cockroach,5651,11399,98129,0
S001,c,5,animals,spider,1991,3022,101151,0
S001,c,5,animals,elephant,746,1811,102962,0
S001,c,5,animals,kangaroo,1857,2970,105932,0
S001,c,5,animals,jellyfish,1611,3768,109700,0
S001,c,5,animals,mammut,3490,4229,113929,0
S001,c,5,animals,dinsaur,910,2117,116046,0
S001,c,6,supermarket items,toiletpaper,2981,4916,4916,0
S001,c,6,supermarket items,tomato,494,1657,6573,0
S001,c,6,supermarket items,cuucmber,329,1535,8108,0
S001,c,6,supermarket items,salat,1988,2755,10863,0
S001,c,6,supermarket items,lemon,4287,5053,15916,0
S001,c,6,supermarket items,orange,2802,3663,19579,0
S001,c,6,supermarket items,apple,4547,5185,24764,0
S001,c,6,supermarket items,banana,423,4093,28857,0
S001,c,6,supermarket items,cherry,2908,3962,32819,0
S001,c,6,supermarket items,strawberry,647,2896,35715,0
S001,c,6,supermarket items,blueberry,225,1528,37243,0
S001,c,6,supermarket items,raspberry,349,3349,40592,0
S001,c,6,supermarket items,fish,12601,13104,53696,0
S001,c,6,supermarket items,meat,234,832,54528,0
S001,c,6,supermarket items,salami,177,1804,56332,0
S001,c,6,supermarket items,sausage,152,3956,60288,0
S001,c,6,supermarket items,bacon,483,1655,61943,0
S001,c,6,supermarket items,prosciutto,373,3302,65245,0
S001,c,6,supermarket items,milk,2136,2773,68018,0
S001,c,6,supermarket items,flour,459,1097,69115,0
S001,c,6,supermarket items,pesto,921,1723,70838,0
S001,c,6,supermarket items,spaghetti,1163,3820,74658,0
S001,c,6,supermarket items,pasto,1917,3909,78567,0
S001,c,6,supermarket items,linguine,346,1652,80219,0
S001,c,6,supermarket items,penne,13859,14505,94724,0
S001,c,6,supermarket items,rice,919,2599,97323,0
S001,c,6,supermarket items,vinegar,756,1728,99051,0
S001,c,6,supermarket items,salt,886,1532,100583,0
S001,c,6,supermarket items,pepper,331,3118,103701,0
S001,c,6,supermarket items,oil,1163,1669,105370,0
S001,c,6,supermarket items,dressing,678,1885,107255,0
S001,c,6,supermarket items,chocolate,718,1854,109109,0
S001,c,6,supermarket items,nutella,249,1080,110189,0
S001,c,6,supermarket items,jelly,1127,3056,113245,0
S001,c,6,supermarket items,marmelade,372,2181,115426,0
S001,c,6,supermarket items,peanutbutter,1693,3310,118736,0
S002,a,0,animals,dog,2428,3964,3964,0
S002,a,0,animals,cat,491,894,4858,0
S002,a,0,animals,giraffe,1495,3284,8142,0
S002,a,0,animals,elephant,1208,2511,10653,0
S002,a,0,animals,panda,1388,2110,12763,0
S002,a,0,animals,tiger,2898,3462,16225,0
S002,a,0,animals,lion,429,1220,17445,0
S002,a,0,animals,deer,1349,2003,19448,0
S002,a,0,animals,gazelle,732,2452,21900,0
S002,a,0,animals,rabbit,3039,4188,26088,0
S002,a,0,animals,skunk,592,1512,27600,0
S002,a,0,animals,squirrel,906,2749,30349,0
S002,a,0,animals,chipmunk,1877,3206,33555,0
S002,a,0,animals,rat,1869,2453,36008,0
S002,a,0,animals,eagle,2384,4516,40524,0
S002,a,0,animals,robin,1635,2387,42911,0
S002,a,0,animals,penguin,3570,4894,47805,0
S002,a,0,animals,bluejay,5524,7401,55206,0
S002,a,0,animals,seal,1597,2203,57409,0
S002,a,0,animals,whale,1700,6066,63475,0
S002,a,0,animals,quail,890,2366,65841,0
S002,a,0,animals,sealion,2248,4085,69926,0
S002,a,0,animals,seahorse,676,2785,72711,0
S002,a,0,animals,trout,2183,4408,77119,0
S002,a,0,animals,salmon,255,1168,78287,0
S002,a,0,animals,shark,1480,2316,80603,0
S002,a,0,animals,dolphin,590,3261,83864,0
S002,a,0,animals,manatee,3310,4933,88797,0
S002,a,0,animals,seal,2807,4330,93127,0
S002,a,0,animals,duck,4318,4940,98067,0
S002,a,0,animals,chicken,1391,2237,100304,0
S002,a,0,animals,hamster,3635,5397,105701,0
S002,a,0,animals,chinchilla,1982,4243,109944,0
S002,a,0,animals,iguana,3231,4256,114200,0
S002,a,0,animals,parakeet,2526,4939,119139,0
S002,a,1,supermarket items,oranges,3469,4870,4870,0
