word,freq,aoa_mean,aoa_sd
aerobics,1.55,11,3.05
aerodynamic,0.43,13.4,3.98
aerodynamics,0.31,11.5,3.03
aeronaut,#N/A,12.92,3.92
aeronautical,0.24,14.35,3.39
aeronautics,0.18,12.35,3.2
aerosol,0.27,9.47,3.81
aerospace,1.08,12.06,2.7
aesthete,0.12,14.9,4.61
aesthetic,0.67,15.74,3.45
aesthetics,0.29,15.06,3.62
afar,1.16,8.21,2.34
afeard,0.22,10.86,4.3
affability,0.08,14.07,3.77
affable,0.12,13.4,2.8
affair,29.45,10.94,3.08
affaire,0.02,11.45,3.3
affect,11.14,9.6,2.56
affectation,0.14,13.82,3.89
affection,8.45,8.53,2.97
affectionate,2.25,8.5,2.35
affective,0.08,11.74,3.51
affectless,0.02,13.6,4.12
affiant,0.02,14,2.05
affidavit,1.96,15.69,3.57
affiliate,0.29,12,3.46
affiliation,0.49,12.28,3.58
affinity,0.57,12.22,2.96
affirm,0.33,12.24,2.22
affirmation,0.53,12.56,3.29
affirmative,4.73,10.67,3.69
affix,0.12,11.94,3.1
afflict,0.08,11.5,2.66
affliction,1.18,11.32,2.54
afflictive,0.02,14.4,3.44
affluence,0.14,13.88,3.62
affluent,0.29,13.16,3.27
afford,44.43,7.47,2.17
affordability,0.02,10.89,3.46
affordable,0.65,8.15,3.5
affray,#N/A,13,4.06
affright,0.04,12.77,2.86
affront,0.59,12.44,2.48
afghan,0.57,9.11,4.3
aficionado,0.22,13.86,2.51
afire,0.49,11.87,3.48
aflame,0.33,11.22,3.3
afloat,1.67,9.33,3.22
afoot,1.02,11.48,4.74
aforementioned,0.47,14.58,4.6
aforesaid,0.08,14.44,3.28
aforethought,0.06,13.72,3.74
afoul,0.22,11.81,3.89
afraid,247.67,4.42,1.71
afro,1.12,9.58,2.83
aft,3.53,13.88,3.72
after,682.59,6,1.43
afterbirth,0.1,14.06,2.57
afterburner,0.04,10.69,2.73
aftercare,0.1,11.62,4.53
afterdeck,0.04,15.86,3.53
aftereffect,0.06,12.06,2.38
afterglow,0.31,12.53,4.81
afterimage,0.04,13.67,4.21
afterlife,1.59,8.11,2.51
aftermarket,0.04,14.2,4.47
aftermath,1.04,12.05,2.57
afternoon,91.49,4.65,1.93
afterschool,0.1,6.89,3.45
aftershave,1.08,10.42,2.85
aftershock,0.24,10.33,3.24
aftertaste,0.22,10,2.7
afterthought,0.25,12.78,3.49
afterwards,14,7.71,2.85
afterworld,0.02,10.41,2.62
again,792.71,5.78,1.31
against,201.73,7.97,1.67
agate,0.04,13,3.51
agave,0.04,14.57,4.85
age,79.2,4.38,1.36
ageism,0.24,17.07,3.69
ageist,0.08,15.79,1.72
ageless,0.29,10.3,4.07
agency,19.43,10.58,3.39
agenda,7.31,9.95,3.19
agent,102.65,9.55,2.84
ageratum,0.02,13.29,6.05
agglomerate,#N/A,15.67,3.61
agglutinate,0.02,14.89,5.11
aggrandize,0.02,14.83,4.24
aggrandizement,0.02,14.75,4.71
aggravate,0.73,8.32,2.58
aggravated,1.25,8.61,2.18
aggravation,1.16,9.11,2.56
aggregate,0.2,13.67,4.56
aggregation,0.04,14.56,3.15
aggress,0.04,12.13,3.25
aggression,2.8,9.3,1.98
aggressive,7.94,8.32,2.45
aggressiveness,0.39,11.06,3.13
aggressor,0.57,11.47,3.49
aggrieved,0.2,12.38,3.01
aghast,0.14,12,3.45
agile,0.39,11.94,3.98
agility,0.45,10.06,3.15
aging,2.57,7.35,2.58
agitate,0.43,10.17,2.79
agitated,2.51,10.12,4.44
agitation,0.49,11.5,2.87
agitator,0.22,11.84,2.95
agitprop,0.02,16.6,3.05
agleam,#N/A,14.71,5.28
aglitter,#N/A,13.67,3.89
aglow,0.47,10.06,4.19
agnate,0.1,16.5,4.51
agnostic,0.37,13.8,3.41
ago,286.12,7.12,2.28
agog,0.12,14.73,2.57
agonist,0.02,15.06,4.39
agonize,0.1,11.58,2.41
agonizing,0.71,10.89,3.31
agony,3.75,9.22,2.65
agora,0.02,13.73,3.93
agoraphobia,0.14,14.44,4.42
agoraphobic,0.18,14.64,2.24
agrarian,0.16,14.83,3.04
agree,64.67,7.68,2.36
agreeable,1.59,8.41,2.09
agreement,17.49,8.16,2.77
agribusiness,0.14,18.07,4.14
agricultural,0.94,10.11,2.26
agriculturalist,0.04,12.78,3.14
agriculture,1.1,10.32,2.08
ague,0.04,15.2,5.94
ahead,198.33,5.45,1.6
ahoy,3.71,7.61,2.85
aid,13.9,7.33,2.2
aide,2.02,7.83,3.31
aider,0.02,12.92,3.15
aids,1.06,8.89,2.51
aigrette,#N/A,15,NA
aikido,0.08,14.08,3.17
ail,0.22,9.71,2.37
aileron,0.02,14.71,3.73
ailing,0.51,10.63,2.19
ailment,0.51,10.37,3.77
aim,14.86,6.72,2.11
aimer,0.06,9.85,1.91
aimless,0.27,10.32,3.58
air,139.02,3.94,1.55
airbag,0.39,12.26,3.48
airbase,0.1,10.35,3.34
airboat,0.08,10.75,3.65
airborne,4.22,9.85,2.32
airbrush,0.18,12.06,3.98
aircraft,9.45,7.61,3.33
aircraftsman,0.02,11.67,4.12
aircrew,0.06,10.15,3.22
airdrome,0.04,15.11,3.92
airdrop,0.04,9.18,3.71
airfare,0.24,10.26,3.05
airfield,2.31,8.6,2.62
airflow,0.14,12.42,3.56
airfoil,0.02,14.64,2.91
airforce,#N/A,6.83,2.81
airhead,0.53,10.17,3.75
airiness,0.02,11.35,3.44
airless,0.1,10,3.04
airlift,0.27,12.06,4.22
airline,6.49,8.74,3.45
airliner,0.57,9.89,2.98
airlock,0.82,11.61,5.14
airmail,0.33,12,2.83
airman,0.59,10.58,2.88
airmattress,#N/A,9.37,2.81
airmobile,0.02,12.69,3.2
airplane,10.92,3.94,1.55
airplay,0.22,12.93,3.06
airport,38.04,6.84,3.08
airship,0.59,10.8,3.21
airsick,0.31,11.47,2.86
airsickness,0.04,10.17,3.17
airspace,1.61,11.5,3.42
airspeed,0.47,10.9,3.92
airstream,0.16,12.22,3.49
airstrike,0.14,12.78,2.76
airstrip,1.12,8.16,2.67
airtight,1.12,9.84,1.64
airtime,0.25,11.78,3.21
airwave,0.02,11.35,3.08
airway,1.63,11.16,3.47
airworthy,0.02,13.31,4.22
airy,0.31,10.28,3.21
aisle,7.43,5.95,1.54
ajar,0.45,9.67,3.12
aka,1.02,10.94,4.01
akimbo,0.08,14.09,2.63
akin,0.27,12.67,4.42
alabaster,0.67,13.67,1.4
alacrity,0.1,15.25,3.45
alarm,29.84,6.39,2.68
alarmclock,#N/A,5.8,1.56
alarming,1.14,9.78,2.24
