id,listnum,category,item,RT,RTstart,shortlist
S103,0,fruits,blueberry,2693,16826,0
S103,0,fruits,raspberry,2011,18837,0
S103,0,fruits,kiwi,3687,22524,0
S103,0,fruits,melon,5317,27841,0
S103,0,fruits,mango,1372,29213,0
S103,0,fruits,pear,1126,30339,0
S103,0,fruits,peach,4527,34866,0
S103,0,fruits,plum,4960,39826,0
S103,0,fruits,blackberry,2748,42574,0
S103,0,fruits,blueberry,5098,47672,0
S103,0,fruits,cantaloupe,8170,55842,0
S103,0,fruits,lemon,4923,60765,0
S103,0,fruits,lime,1398,62163,0
S103,0,fruits,starfruit,13049,75212,0
S103,0,fruits,grapefruit,6617,81829,0
S103,0,fruits,grape,1316,83145,0
S103,0,fruits,apricot,20840,103985,0
S103,0,fruits,raisin,8408,112393,0
S103,0,fruits,pomegranate,29716,142109,0
S103,0,fruits,watermelon,17801,159910,0
S103,1,vegetables,corn,3617,3617,0
S103,1,vegetables,potato,13005,16622,0
S103,1,vegetables,lettuce,7329,23951,0
S103,1,vegetables,asparagus,6648,30599,0
S103,1,vegetables,broccolini,8957,39556,0
S103,1,vegetables,broccoli,5534,45090,0
S103,1,vegetables,cauliflower,5190,50280,0
S103,1,vegetables,pea,5692,55972,0
S103,1,vegetables,pumpkin,25065,81037,0
S103,1,vegetables,kale,7579,88616,0
S103,1,vegetables,carrot,10771,99387,0
S103,1,vegetables,cucumber,3534,102921,0
S103,1,vegetables,zucchini,3971,106892,0
S103,1,vegetables,rutabaga,13829,120721,0
S103,1,vegetables,beet,12138,132859,0
S103,1,vegetables,radish,1260,134119,0
S103,1,vegetables,swisschard,10273,144392,0
S103,1,vegetables,bokchoy,2863,147255,0
S103,1,vegetables,onion,11833,159088,0
S103,1,vegetables,garlic,1883,160971,0
S103,2,animals,dog,2792,2792,0
S103,2,animals,sloth,955,3747,0
S103,2,animals,cat,819,4566,0
S103,2,animals,human,3198,7764,0
S103,2,animals,cheetah,9056,16820,0
S103,2,animals,tiger,1480,18300,0
S103,2,animals,gorilla,1306,19606,0
S103,2,animals,zebra,5451,25057,0
S103,2,animals,lion,2283,27340,0
S103,2,animals,turtle,1974,29314,0
S103,2,animals,slowloris,4383,33697,0
S103,2,animals,rabbit,5479,39176,0
S103,2,animals,capybara,22256,61432,0
S103,2,animals,alpaca,2694,64126,0
S103,2,animals,llama,6385,70511,0
S103,2,animals,redpanda,2484,72995,0
S103,2,animals,panda,1183,74178,0
S103,2,animals,donkey,4800,78978,0
S103,2,animals,mule,6198,85176,0
S103,2,animals,giraffe,4404,89580,0
S103,2,animals,goat,1847,91427,0
S103,2,animals,rat,1637,93064,0
S103,2,animals,mouse,1870,94934,0
S103,2,animals,gerbil,1734,96668,0
S103,2,animals,hamster,2802,99470,0
S103,2,animals,ferret,1423,100893,0
S103,2,animals,weasel,2377,103270,0
S103,2,animals,mink,1037,104307,0
S103,2,animals,wolf,1102,105409,0
S103,2,animals,snake,5690,111099,0
S103,2,animals,goldfish,3687,114786,0
S103,2,animals,piranha,3161,117947,0
S103,2,animals,mantis,15329,133276,0
S103,2,animals,ocelot,3321,136597,0
S103,2,animals,octopus,6678,143275,0
S103,2,animals,raven,2632,145907,0
S103,2,animals,crow,4603,150510,0
S103,2,animals,cranefly,4769,155279,0
S103,2,animals,crane,3523,158802,0
S103,2,animals,eagle,2446,161248,0
S103,2,animals,parrot,1151,162399,0
S103,2,animals,hawk,2514,164913,0
S103,2,animals,tick,4626,169539,0
S103,2,animals,snail,893,170432,0
S103,2,animals,penguin,4978,175410,0
S103,3,vegetables,kale,4212,4212,0
S103,3,vegetables,lettuce,6161,10373,0
S103,3,vegetables,corn,4251,14624,0
S103,3,vegetables,babycorn,5571,20195,0
S103,3,vegetables,cabbage,10534,30729,0
S103,3,vegetables,spinach,2402,33131,0
S103,3,vegetables,bokchoy,4449,37580,0
S103,3,vegetables,cucumber,4680,42260,0
S103,3,vegetables,broccolini,6817,49077,0
S103,3,vegetables,broccoli,3414,52491,0
S103,3,vegetables,carrot,1085,53576,0
S103,3,vegetables,cauliflower,5454,59030,0
S103,3,vegetables,potato,5994,65024,0
S103,3,vegetables,pea,4936,69960,0
S103,3,vegetables,chard,1127,71087,0
S103,3,vegetables,radish,5094,76181,0
S103,3,vegetables,onion,2113,78294,0
S103,3,vegetables,garlic,1219,79513,0
S103,3,vegetables,shallot,1808,81321,0
S103,3,vegetables,pearlonion,5259,86580,0
S103,3,vegetables,greenonion,1937,88517,0
S103,3,vegetables,chive,1404,89921,0
S103,3,vegetables,bellpepper,8213,98134,0
S103,3,vegetables,jalapenopepper,8729,106863,0
S103,3,vegetables,zucchini,5430,112293,0
S103,3,vegetables,pumpkin,5309,117602,0
S103,3,vegetables,squash,1528,119130,0
S103,3,vegetables,snappea,59670,178800,0
S103,4,fruits,strawberry,4750,4750,0
S103,4,fruits,pineapple,2449,7199,0
S103,4,fruits,apricot,5016,12215,0
S103,4,fruits,blueberry,3269,15484,0
S103,4,fruits,raspberry,3335,18819,0
S103,4,fruits,blackberry,1845,20664,0
S103,4,fruits,salmonberry,5915,26579,0
S103,4,fruits,pear,5019,31598,0
S103,4,fruits,peach,1728,33326,0
S103,4,fruits,lemon,7823,41149,0
S103,4,fruits,lime,1065,42214,0
S103,4,fruits,orange,1197,43411,0
S103,4,fruits,tomato,2009,45420,0
S103,4,fruits,mango,7396,52816,0
S103,4,fruits,banana,11506,64322,0
S103,4,fruits,mandarin,7454,71776,0
S103,4,fruits,starfruit,7152,78928,0
S103,4,fruits,passionfruit,4932,83860,0
S103,4,fruits,pomegranate,2615,86475,0
S103,4,fruits,marionberry,3239,89714,0
S103,4,fruits,fig,4104,93818,0
S103,4,fruits,date,3024,96842,0
S103,4,fruits,plum,8731,105573,0
S103,4,fruits,cantaloupe,6810,112383,0
S103,4,fruits,watermelon,3516,115899,0
S103,4,fruits,honeydew,4945,120844,0
S103,4,fruits,apple,3980,124824,0
S103,4,fruits,grape,17736,142560,0
S103,4,fruits,grapefruit,3231,145791,0
S103,4,fruits,kiwi,1567,147358,0
S103,4,fruits,durian,23164,170522,0
S103,4,fruits,cherry,5354,175876,0
S103,5,animals,cat,2415,2415,0
S103,5,animals,dog,612,3027,0
S103,5,animals,mouse,1315,4342,0
S103,5,animals,rat,645,4987,0
S103,5,animals,koala,5289,10276,0
S103,5,animals,sloth,1133,11409,0
S103,5,animals,slowloris,1804,13213,0
S103,5,animals,deer,1325,14538,0
S103,5,animals,squirrel,1920,16458,0
S103,5,animals,chipmunk,2849,19307,0
S103,5,animals,moose,2209,21516,0
S103,5,animals,hawk,756,22272,0
S103,5,animals,eagle,1555,23827,0
S103,5,animals,bluejay,1751,25578,0
S103,5,animals,hamster,2987,28565,0
S103,5,animals,gerbil,4577,33142,0
S103,5,animals,zebra,3032,36174,0
S103,5,animals,giraffe,3777,39951,0
S103,5,animals,hippopotamus,1237,41188,0
S103,5,animals,lion,1115,42303,0
S103,5,animals,redpanda,2095,44398,0
S103,5,animals,panda,970,45368,0
S103,5,animals,bat,1143,46511,0
S103,5,animals,bee,15633,62144,0
S103,5,animals,cheetah,1676,63820,0
S103,5,animals,leopard,1914,65734,0
S103,5,animals,ocelot,1721,67455,0
S103,5,animals,snake,1076,68531,0
S103,5,animals,wolf,805,69336,0
S103,5,animals,bear,1958,71294,0
S103,5,animals,monkey,6071,77365,0
S103,5,animals,orangutan,6139,83504,0
S103,5,animals,gorilla,2975,86479,0
S103,5,animals,chimpanzee,4329,90808,0
S103,5,animals,horse,3889,94697,0
S103,5,animals,seacow,6103,100800,0
S103,5,animals,kangaroo,1984,102784,0
S103,5,animals,yellowjacket,5928,108712,0
S103,5,animals,hyena,11378,120090,0
S103,5,animals,sugarglider,11736,131826,0
S103,5,animals,blackheadedgull,4975,136801,0
S103,5,animals,seagull,1993,138794,0
S103,5,animals,sealion,2130,140924,0
S103,5,animals,seal,2602,143526,0
S103,5,animals,mantis,5047,148573,0
S103,5,animals,rhinoceros,6507,155080,0
S103,5,animals,antelope,1605,156685,0
S103,5,animals,pig,3485,160170,0
S103,5,animals,boar,4763,164933,0
S103,5,animals,human,5103,170036,0
S103,5,animals,marmoset,6408,176444,0
S103,5,animals,lemur,1777,178221,0
S103,6,vegetables,kale,3834,3834,0
S103,6,vegetables,potato,3438,7272,0
S103,6,vegetables,onion,2506,9778,0
S103,6,vegetables,garlic,1104,10882,0
S103,6,vegetables,chard,2322,13204,0
S103,6,vegetables,cabbage,1532,14736,0
S103,6,vegetables,spinach,1616,16352,0
S103,6,vegetables,broccoli,4891,21243,0
S103,6,vegetables,cauliflower,3157,24400,0
S103,6,vegetables,cucumber,2565,26965,0
S103,6,vegetables,bellpepper,2063,29028,0
S103,6,vegetables,corn,8068,37096,0
S103,6,vegetables,pea,1836,38932,0
S103,6,vegetables,jalapeno,10173,49105,0
S103,6,vegetables,brusselsprout,3339,52444,0
S103,6,vegetables,eggplant,1797,54241,0
S103,6,vegetables,pumpkin,3644,57885,0
S103,6,vegetables,squash,1911,59796,0
S103,6,vegetables,broccolini,4943,64739,0
S103,6,vegetables,asparagus,5175,69914,0
S103,6,vegetables,seaweed,24769,94683,0
S103,6,vegetables,rutabaga,10557,105240,0
S103,6,vegetables,greenbean,10688,115928,0
S103,6,vegetables,lettuce,19336,135264,0
S103,6,vegetables,radish,5629,140893,0
S103,6,vegetables,carrot,11117,152010,0
S103,6,vegetables,wheat,27499,179509,0
S103,7,animals,cat,2219,2219,0
S103,7,animals,dog,603,2822,0
S103,7,animals,human,1222,4044,0
S103,7,animals,bear,988,5032,0
S103,7,animals,rat,1136,6168,0
S103,7,animals,pig,739,6907,0
S103,7,animals,cow,1188,8095,0
S103,7,animals,seacow,1283,9378,0
S103,7,animals,chicken,3681,13059,0
