word,aoa_mean,aoa_sd
hallucinatory,14.44,2.59
hallucinogen,13.58,3.86
hallucinogenic,14.42,3.39
hallway,5.38,2.36
halo,6.39,2.64
halocline,14.17,4.71
halogen,13.47,2.97
haloperidol,17.57,2.15
halothane,14,3.74
halt,8.11,2.88
halter,10.55,3.73
halve,7.53,2.7
halyard,16,1
ham,4.1,1.48
hamburger,5.21,1.93
hamlet,11.35,2.84
hammer,5.42,2.09
hammerhead,10.15,3.1
hammerlock,11.93,3.12
hammock,7.11,2.05
hammy,10.7,3.06
hamper,6.8,3.27
hamster,4.37,1.67
hamstring,9.74,3.23
hand,2.74,1.24
handbag,7.95,2.68
handball,8.69,4.47
handbill,12.21,3.49
handbook,8.89,3.32
handbrake,8.05,2.39
handcar,10.11,2.32
handcart,7.31,1.85
handclap,5.06,2.84
handclasp,10.78,2.78
handcraft,11.89,3.46
handcuff,6.28,1.99
handedness,11.38,3.65
handful,6.42,2.59
handgrenade,10.74,3.59
handgun,7.59,2.59
handheld,10.4,3.07
handhold,9.26,3.12
handicap,8,2.17
handicapped,7.37,1.67
handicapper,11.19,3.41
handicapping,12.61,5.53
handicraft,9.78,3.35
handiwork,10.79,2.64
handkerchief,7.22,2.71
handle,6.3,2.75
handlebar,6.26,2.31
handler,10.37,3.65
handmade,7.79,3.01
handmaid,13.06,3.77
handmaiden,9.93,2.81
handoff,8.82,3.83
handout,7.74,2.54
handover,10.94,3.93
handpick,9.19,3.33
handprint,5.11,2.56
handrail,7,2.2
handsaw,8.56,3.45
handset,11.53,4.14
handshake,6,1.91
handshaking,6.67,2.35
handsome,6.5,1.99
handsomeness,9.32,3.13
handspike,14.12,3.04
handspring,9.75,3.19
handstand,6.71,2.9
handwork,9.22,3
handwoven,11.11,3.13
handwriting,5.4,1.39
handwritten,6.4,1.67
handy,7.35,2.43
handyman,7.78,2.71
hang,6.68,2.21
hangar,10,3.05
hangdog,11.5,3.89
hanger,6.78,2.92
hangglider,9.5,2.87
hangman,8.33,1.78
hangnail,10.84,3.7
hangout,9.42,3.96
hangover,13.39,3.03
hangup,7.83,4.25
hank,10.53,6.04
hanker,12.24,4.12
hankering,11.38,3.65
hanky,8.71,3.44
hansom,9.91,4.48
haphazard,11.06,2.59
hapless,15.56,3.92
happen,5.26,1.37
happenstance,14.06,3.7
happily,5.56,2.68
happiness,6.17,2.33
happy,2.72,1.6
harangue,16,3.53
harass,10.84,3.44
harasser,9.84,2.41
harassment,10.35,2.92
harbinger,16.07,2.27
harbor,8.28,2.61
harbormaster,12,3.59
hard,4.39,2.15
hardback,10.5,4.08
hardball,10.4,2.98
hardboiled,7.06,2.75
hardcopy,11.61,4.31
hardcore,12.85,3.45
hardcover,8.36,2.98
harden,8.72,3.12
hardened,6.94,2.1
hardhat,8.25,4.36
hardheaded,8.42,3.89
hardhearted,10.17,4.16
hardihood,14.43,1.9
hardliner,14.47,2.92
hardly,7.54,2.25
hardness,8.16,3.59
hardscrabble,13.06,3.42
hardship,10.33,3.65
hardtack,11,3.54
hardtop,8.53,4.62
hardware,8.63,2.36
hardwood,9.84,3.5
hardworking,6.56,3.01
hardy,9.17,2.73
hare,6.78,2.05
harebrain,11.19,3.54
harebrained,12.67,4.24
harelip,15,3.42
harem,11,2.89
hark,10.47,4.96
harlequin,12.86,4.4
harlot,12.69,2.96
harm,5,1.41
harmer,10.25,4.33
harmful,7.63,2.5
harmless,7.7,2.92
harmonic,11.89,2.61
harmonica,7.32,2.19
harmonics,12.4,4.44
harmonious,10.38,2.84
harmonium,15.39,2.85
harmonize,11.68,2.91
harmonizer,12.06,4.86
harmony,8.79,2.46
harness,7.83,3.19
harp,7.55,3.59
harpist,12.11,3.2
harpoon,11.21,3.97
harpooner,11.81,2.86
harpsichord,12,2.77
harpy,11.2,2.74
harrowing,14,2.95
harrumph,10.46,3.02
harsh,10.38,3.17
harshness,9.47,2.59
hart,9.62,4.04
harvest,7.4,2.33
harvester,9.53,2.84
hash,12.74,4.43
hashish,14.85,2.58
hasp,13.2,3.39
hassle,8.65,3.86
hassock,12.86,4.45
haste,9,3.29
hasten,12.16,2.09
hastiness,11.5,3.4
hasty,10.28,1.84
hat,3.33,1.14
hatband,9.61,3.05
hatbox,10.16,4.35
hatch,7,3.03
hatchback,12,4
hatcheck,13.64,3.73
hatchery,12,2.9
hatchet,8.2,2.04
hatchling,8.32,3.76
hatchway,12.29,3.36
hate,5.53,2.06
hateful,6.42,2.24
hatefulness,8.56,3.11
hater,10.71,4.27
hatful,8.82,3.84
hatless,8.29,3.22
hatpin,10.92,4.44
hatred,8.72,3.71
hatter,9.08,2.81
hauberk,14.67,2.52
haughty,12.79,3.7
haul,7.58,2.5
haulage,10.6,2.88
hauler,9.75,3.36
haunch,12.57,4.3
haunt,7.95,3.05
hausfrau,17,2.24
have,3.72,1.96
haven,9.13,2.88
haversack,13.2,2.94
havoc,10.5,3.79
haw,11.86,4.52
hawk,6.74,1.75
hawser,16,2.83
hawthorn,10.36,2.53
hay,5.32,1.92
hayfield,9.12,3.97
hayloft,7.57,3.11
haymaker,11.06,2.93
hayride,7.32,3.37
hayseed,11.87,4.36
haystack,6.32,2.43
haywire,10.68,2.06
hazard,7.61,2.52
hazardous,8,2.28
haze,11.62,3.02
hazel,7.12,2.21
hazelnut,9.45,1.93
hazmat,13.31,5.44
hazy,8.72,1.93
he,3.81,1.41
head,3.42,1.02
headache,6.71,2.85
headachy,9.39,3.87
headband,6.33,2.2
headboard,9.86,3.85
headcheese,13.57,4.29
headcount,8.16,2.71
headdress,9.06,3.42
header,11.47,3.44
headgear,10.78,3.77
headhunter,12.18,4.39
headland,9.5,1.6
headless,8.72,2.89
headlight,6.79,2.62
headline,8.11,2.59
headliner,10.9,3.77
headlock,10,4.84
headman,10.59,3.3
headmaster,10.26,3.69
headmastership,11.5,3.63
headmistress,11,3.35
headphone,10.16,4.63
headphones,7.74,3.81
headpiece,10,2.69
headpin,9.8,2.98
headquarter,8.63,2.19
headquarters,8.72,2.11
headrest,7.68,3.11
headroom,9.79,3.72
heads,5.74,4.5
headsail,13.11,2.57
headset,9.05,3.86
headshrinker,11.56,4.29
headsman,10.83,4.42
headstall,15.17,3.71
headstand,7.15,2.16
headstock,10.75,3.89
headstone,9.44,3.13
headstrong,11.11,3.45
headwaiter,11.84,4.34
headwater,13.62,4.98
headwaters,13,3.93
headway,11.06,3.29
headwear,8.4,2.96
headwind,13.14,3.23
headwork,12.53,3.64
heady,12.24,3.72
heal,7.47,2.27
healer,9.61,3.96
healing,7.7,2.54
health,7.56,4.03
healthcare,12.5,3.24
healthful,10.11,3.05
healthy,7.61,3.78
heap,7.79,3.17
hear,3.8,1.64
hearer,10.19,4.05
hearing,6.05,2.28
hearken,12.72,3.21
hearsay,12.76,2.54
hearse,9.89,2.83
heart,5.17,2.23
heartache,9.72,1.9
heartbeat,7.22,2.69
heartbreak,10.32,2.89
heartbreaker,9.11,3.46
heartbreaking,8.56,2.66
heartbroken,9,1.75
heartburn,10.47,3.47
hearted,10,4.33
heartedness,10.76,2.59
heartening,10.95,2.99
heartfelt,9.79,2.84
hearth,10.05,3.25
heartland,10.47,3.85
heartless,9.5,2.86
heartlessness,11.56,3.78
heartrending,13,3.51
heartsick,10.68,3.79
heartstring,10.67,3.22
heartthrob,10.22,2.65
heartwarming,8.72,2.82
heartworm,10.95,3.15
hearty,9.94,2.86
heat,5.33,2.03
heater,6.1,2.02
heath,10.48,3.99
heathen,9.67,3.18
heathenism,14.61,4.23
heather,9.97,3.89
heating,7.63,3.22
heatstroke,9.89,2.96
heave,9.05,3.03
heaven,4.22,1.4
heavenly,6.22,2.1
heaver,10.86,2.51
heaviness,6.11,1.29
heavy,4.05,1.27
heavyset,8.16,2.69
heavyweight,8.7,1.95
heck,7,3.04
heckle,12.17,4.02
heckler,12.47,3.89
hectare,14.11,4.51
hectic,9.95,3.7
hedge,8.9,3.84
hedgehog,8.63,2.71
hedger,12.67,4.47
hedgerow,9.91,3.48
hedonism,16.27,3.45
hedonist,16.47,5.61
hedonistic,15.76,3.6
heed,11.05,3.33
heedful,12.73,4.88
heedless,13.61,4.13
heel,7.85,2.72
heeler,11,3.88
heft,12.88,3.6
hefty,10.83,3.42
hegemonic,16.33,4.41
hegemony,15.92,3.64
heifer,10.07,4.13
height,5.42,1.43
heighten,11.17,3.09
heightened,10.17,2.53
heinous,11.24,2.8
heinousness,13.27,4.32
heir,9.56,2.91
heiress,12.71,3.58
heirloom,9.67,3.61
heist,10.61,2.06
helical,12.3,2.87
helicopter,5.26,1.94
heliotrope,15.27,2.66
helipad,10.94,3.21
heliport,12.27,4.27
helium,9.86,3.32
helix,11.69,3.42
hell,5.11,1.88
hellebore,15,2.62
hellfire,11.38,3.81
hellgrammite,14.5,4.95
hellhole,12.37,4.15
hellhound,12.11,4.42
hellion,12.88,4.72
hellish,10.05,3.91
hello,3.76,1.99
helm,10.9,3.58
helmet,5.71,2.74
helmsman,12.47,5.05
helot,17.33,6.81
help,3.65,1.79
helper,4.8,3.14
helpful,5.44,2.5
helpfulness,7.24,2.6
helpless,8.32,3
helplessness,9.67,1.88
helpline,11.32,4.46
helpmate,13.59,4.93
hem,8.37,2.5
hematite,14,5.58
hematological,16.5,3.58
hematologist,14.56,3.84
hematology,15.81,3.04
hematoma,14.78,4.68
hemisphere,9.85,3.75
hemistich,13.33,4.18
hemline,9.88,2.09
hemlock,12.2,3.59
hemodynamic,14,3.16
hemoglobin,13.45,3.55
hemolysis,17.75,1.26
hemophilia,13.33,4.95
hemorrhage,12.52,3.56
hemorrhagic,15.64,3.04
hemorrhoid,13.88,3.43
hemostat,14.57,2.5
hemp,12.94,3.35
hemstitch,13,4.02
hen,6.39,2.81
hence,11.09,3.6
henchman,10.32,2.93
hencoop,8.62,2.92
henhouse,8.47,2.99
henna,13.19,3.62
hennaed,14.67,2.08
henpeck,11.24,3.61
hep,12.62,5.1
heparin,17.7,5.06
hepatic,15.6,2.8
hepatitis,14.24,2.36
hepcat,15.71,1.98
her,5.09,2.45
herald,10,4.11
heraldry,13.57,3.98
herb,9.05,2.97
herbaceous,15,4.18
herbage,14.25,4.99
herbal,11.28,3.36
herbalist,15.78,4.67
herbarium,15.6,2.55
herbicidal,12.88,3.18
herbivore,11.94,3.42
herbivorous,11.47,3.17
herbless,12.38,4.29
herbs,8.92,2.79
herculean,13.06,2.82
herd,7.74,3.38
herdsman,9.61,4.03
here,3.74,1.94
hereditary,11.42,2.57
heredity,11.05,2.41
heresy,12.86,2.91
heretic,14.83,3.59
heretical,14.35,2.74
hereupon,12.2,3.69
heritage,9.79,2.25
herm,12.71,1.38
hermaphrodite,15.42,3.47
hermaphroditic,14.88,1.27
hermeneutical,17.25,1.5
hermetic,14.73,2.9
hermit,8.47,2.55
hermitage,12.76,4.22
hernia,12.29,3.56
herniated,15.11,5.3
herniation,15.91,3.08
hero,6.47,2.99
heroic,8.2,3.33
heroin,10.88,2.5
heroine,10.68,4.16
heroism,9.55,3.39
heron,10.35,4.06
herpes,11.37,2.77
herpetological,14.46,4.45
herpetologist,16.5,3.06
herpetology,15.22,4.58
herring,10.2,2.88
herringbone,12.75,4.23
hers,4.39,1.48
herself,6.9,2.06
hertz,12.95,4.2
hesitance,11.59,3.02
hesitancy,12.12,3.12
hesitant,11.22,3.51
hesitate,8.3,2.83
hesitation,9.6,2.66
hessian,13.3,2.41
het,12,3.32
hetero,13.14,4
heterodoxy,15.5,2.78
heterogeneous,13.76,2.75
heterosexual,12.22,2.84
heterosexuality,13.58,4.53
hew,12.69,4.17
hewn,12.82,4.71
hex,12.42,4.02
hexagon,7.95,2.5
hexagonal,10.39,3.09
heyday,10.59,3.32
hiatus,14.59,2.27
hibachi,14.21,3.85
hibernate,8.37,3.09
hibernation,7.74,2.08
hibiscus,13.88,4.37
hiccough,10.2,4.87
hiccup,5.35,2.42
hick,8.94,3.04
hickey,11.58,2.22
hickory,9.39,3.24
hidalgo,14.44,3.88
hide,4.47,2.14
hideaway,8.44,2.5
hidebound,11.25,2.38
hideous,9.53,2.44
hideousness,11.32,3.27
hideout,6.86,2.2
hie,11,4.24
hierarch,13.86,3.35
hierarchical,12.47,3.48
hierarchy,11.11,2.47
hieratic,16.5,3.5
hieroglyph,9.53,1.74
hieroglyphic,12,4.3
hieroglyphics,10.53,3.32
hierophant,17.75,2.06
high,4.58,2.24
highball,10.44,2.73
highborn,14.38,3.43
highboy,14.14,4.28
highbrow,13.56,2.73
highchair,3.79,2.82
highfalutin,12.09,5.11
highflier,10.62,2.53
highhanded,14.27,3.47
highland,11.2,2.67
highlander,10.94,4.79
highlife,13.33,4.4
highlight,7.61,2.12
highlighter,8.24,2.74
highness,7.35,2.06
highroad,11.59,3.02
highschool,6.22,2.13
hightail,11.2,2.93
highway,6.5,2.18
highwayman,11.72,3.75
hijack,10.76,2.26
hijacker,11.85,2.78
hike,9.4,3.65
hiker,8.5,2.43
hilarious,8.63,3.27
hilarity,12.53,3.98
hill,3.47,1.47
hillside,6.16,2.46
hilltop,7.95,2.39
hilly,6,2.68
hilt,14.4,4.47
him,3.43,1.21
himself,5.21,1.55
hind,9.21,3.47
hinder,11.1,3.49
hindmost,11.22,2.92
hindrance,12.6,2.5
hindsight,12.24,2.7
hinge,7.95,2.48
hint,5.95,1.57
hinterland,15.08,3.58
hip,6.17,2.64
hipbone,7.68,2.79
hipness,11.75,3.19
hipped,11.93,3.38
hippie,10.78,3.7
hippo,5.79,2.44
hippocampus,16.31,3.66
hippopotamus,7,2.27
hipster,14.42,5.45
hire,9,2.13
hireling,12.87,2.5
hirsute,17.6,3.13
his,3.69,1.29
hiss,6.33,2
hisser,10.17,2.69
hissy,8.6,2.69
histamine,16.16,3.96
histological,13.33,2.64
histology,15.17,1.75
historian,11.58,4.6
historic,8.47,1.87
historical,10,2.33
historiography,15.59,3.61
history,6.42,1.77
histrionic,14.86,3.25
histrionics,14.89,1.83
hit,4.75,2.83
hitch,9.39,4.39
hitcher,10.56,3.28
hitchhike,9.53,3.04
hitchhiker,7.68,2.06
hither,13.07,3.94
hitter,7.39,2.52
hive,6.89,2.56
hoard,10.61,3.4
hoarse,7.95,2.7
hoarseness,10.17,3.26
hoary,15.33,3.33
hoax,11.47,2.27
hoaxer,12.25,4.99
hob,14,5.15
hobbit,11.67,3.37
hobble,9.12,3.2
hobby,7.44,1.62
hobbyhorse,8.35,4.39
hobbyist,10.47,3.46
hobgoblin,10.35,3.62
hobnob,13.67,5.26
hobo,8.22,2.16
hock,11.87,3.2
hockey,5.44,1.42
hockshop,14.33,2.5
hod,16,1.41
hodgepodge,12.53,3.28
hoe,8.72,2.95
hoedown,9.61,3.13
hog,5.7,2.27
hogfish,11.75,2.82
hoggish,12.5,3.25
hogshead,9.69,4.29
hogtie,10.47,2.53
hogwash,9.29,3.18
hoist,11.32,3.9
hoister,12.6,2.92
hokey,8.95,3.75
hokum,15.14,4.74
hold,4.67,2.89
holder,6.85,3.22
holdout,9.94,2.95
holdover,12.33,2.45
holdup,8.35,2.67
hole,5.05,2.17
holey,8.53,2.92
holiday,5.19,2.11
holidays,5.01,2.2
holiness,7.88,4.18
holistic,15.25,3
hollandaise,12.61,5.24
holler,8.11,3.13
hollo,15,5
hollow,7.44,3.18
hollowness,8.63,2.87
holly,7.32,3.13
hollyhock,12.08,4.89
holmium,15.33,2.73
hologram,10.84,2.81
holograph,12.11,4.99
holographic,12,3.35
holster,10.32,3.7
holy,5.55,2.24
homage,13.72,4.27
hombre,12.33,4.61
hombres,13.47,4.3
homburg,13.25,4.99
home,3.87,1.88
homebody,11.32,4.87
homebound,11.22,4.17
homeboy,12.94,4.13
homebrew,12.12,4.34
homebuilding,8.72,2.52
homecoming,11.57,3.38
homegrown,10.21,4.54
homeland,9.35,3.22
homeless,7.45,2.11
homelessness,8.89,2.68
homelike,9.4,2.54
homely,11.32,3.76
homemade,6.59,2.58
homemaker,8.58,3.29
homemaking,11.16,3.35
homeostasis,16.87,3.42
homeowner,9.4,2.54
homepage,14.26,5.56
homeroom,8.33,3.31
homesick,8.83,3.43
homesickness,9.21,2.66
homespun,14.29,4.09
homestead,12.78,3.12
homesteader,11.44,3.69
homestretch,9.84,2.99
hometown,7.22,2.32
homeward,7.37,2.56
homework,5.89,1.73
homey,11.65,4.03
homicidal,12.61,2.35
homicide,12.94,2.9
homing,11.75,2.38
hominid,15.1,2.51
hominoid,12.2,2.3
hominy,12.43,3.32
homo,11.78,3.99
homoerotic,16.4,3
homogeneous,14.88,3.84
homogenous,13.42,2.85
homologous,14.14,3.25
homonym,9.56,2.85
homophobia,15.67,3.11
homophobic,14.7,4.29
homophonic,13.44,3.41
homosexual,12.37,3.55
homosexuality,12.55,4.08
homunculus,13.33,4.24
honcho,11.69,5.21
hone,12.72,3.86
honest,5.46,2.05
honesty,5,1.49
honey,5.44,1.85
honeybee,6.22,1.99
honeybunch,9.74,2.86
honeycomb,7.11,2.74
honeydew,7.56,3.29
honeymoon,8.6,3.35
honeysuckle,8.26,4.08
honk,5.39,2.38
honker,9.78,3.23
honky,10,4.1
honor,7.89,2.42
honorable,8.95,2.41
honorarium,14.93,4.55
honorary,10.18,2.6
honoree,11.63,2.87
honorific,14.29,3.58
hooch,13.06,4.86
hood,5.5,2.66
hooded,8.28,3.14
hoodlum,10.33,2.54
hoodlumism,12.69,2.63
hoodoo,11.82,4.38
hoodwink,12.67,3.03
hooey,10.17,2.25
hoof,6.9,2.51
hoofer,12.07,4.18
hook,6.26,1.85
hookah,15.13,4.07
hooker,11.82,3
hookup,13.61,2.4
hookworm,10.89,2.56
hooky,10.93,3.01
hooligan,11.75,3.93
hoop,6.11,1.45
hoopla,11.62,3.96
hoopoe,16.5,2.43
hoopskirt,10.89,4.1
hooray,5.94,2.63
hoosegow,14.11,3.66
hoot,7.78,5.06
hootenanny,13,5.67
hooter,13.12,2.85
hoover,9.16,4.43
hop,4.84,2.17
hope,4.89,2.11
hopeful,6.84,2.75
hopefulness,9.67,2.54
hopeless,8.2,1.82
hopelessness,9.67,3.16
hoper,10.57,2.79
hophead,14,4.29
hopscotch,5.8,1.32
horde,10.58,2.85
horehound,12,2.73
horizon,8.3,3.13
horizontal,8.15,2.85
hormonal,12.47,2.72
hormone,12,2.19
horn,4.84,1.01
hornbook,13.75,3.1
horned,9.32,4.83
hornet,7.28,2.72
horniness,13.24,2.22
hornless,9.18,2.9
hornpipe,13.27,4.71
horny,12.94,2.36
horologist,15,2.97
horology,17.67,2.52
horoscope,10.37,2.27
horrendous,9.94,3.11
horrible,5.81,2.66
horribleness,8.35,2.37
horrid,8.5,3.3
horrific,9.8,2.73
horrify,8.25,3.19
horrifying,7.58,2.01
horror,7.58,1.3
horse,4.15,1.46
horseback,7,2.81
horseflesh,12,3.32
horsehair,6.06,2.05
horsehide,11.32,4.16
horselaugh,11.25,2.43
horseless,10.24,3.03
horseman,9,3.2
horsemanship,13.06,4.51
horseplay,6.05,2.48
horseplayer,10.84,3.98
horsepower,8.83,3.33
horseradish,9.94,4.54
horseshit,9.79,4.45
horseshoe,5.85,2.32
horsewhip,10,3.08
horsewoman,9.53,3.5
horsey,5.71,4
horticultural,12.32,3.42
horticulturalist,15.36,2.79
horticulture,14.12,3.24
horticulturist,15.07,2.02
hose,5.33,2.03
hosiery,11.06,3.73
hospice,14.45,4.81
hospitable,12.56,2.71
hospitableness,12.71,2.97
hospital,5.55,1.76
hospitality,8.78,2.69
hospitalization,9.53,2.63
hospitalize,7.83,1.95
host,8.05,2.7
hostage,9.89,3.48
hostel,15.58,4.44
hostelry,13,3.95
hostess,8.47,2.7
hostile,9.9,2.66
hostility,11.47,2.93
hostler,13.73,4.56
hot,3.37,1.77
hotbed,10.75,3.3
hotbox,12.06,4.35
hotcake,6.77,1.72
hotchpotch,14.44,4.36
hotdog,4.55,2.11
hotel,6.05,1.99
hotelier,14.07,4.62
hotelkeeper,11.35,5.17
hothead,11.5,2.31
hotline,10.75,4.55
hotness,9.42,3.55
hotplate,12.21,3.75
hotpot,8.5,3.71
hotshot,9.76,4.1
hotspot,12.94,2.99
hound,5.74,1.97
hour,5.85,1.79
hourglass,8.58,4.44
hourly,9.45,2.8
house,3.16,1.07
houseboat,10.63,4.13
housebound,11.11,3.28
houseboy,12.18,4.03
housebreak,9.79,4.34
housebroken,8.68,2.29
housecleaner,8,3.14
housecoat,9.1,4.46
housedress,9.33,3.73
houseful,8.83,2.55
houseguest,7.32,2.54
household,7.56,3.43
househusband,13.38,4.26
housekeeper,7.61,2.59
housekeeping,7.5,2.37
housel,14.8,1.92
houseless,9.65,3.35
housemaid,9,3.48
housemaster,11.86,3.66
housemate,8.62,2.78
housemother,9.88,6.12
houseplant,7.47,2.29
housesit,9.22,3.1
housetop,6.83,2.73
housetops,7.76,3.15
housewarming,11.79,3.78
housewife,8.28,2.89
housewifery,13.71,3.07
housework,7,4.83
housing,8.72,2.16
hovel,12.29,3.51
hover,8.58,3.2
hovercraft,9.28,3.79
how,5.36,1.92
howdah,17,5.66
however,7.14,2.89
howitzer,14.92,5.26
howl,5.55,1.85
howler,9.5,3.83
howsoever,11.82,3.36
hoyden,16.67,4.8
huarache,17.2,2.68
hub,10.11,3.03
hubbub,11.89,3.97
hubby,9.72,3.06
hubcap,8.39,3.27
hubris,13.73,4.82
huckleberry,10.44,3.94
huckster,12.54,3.43
huddle,9.4,3.36
hue,10.12,2.32
huff,9.28,3.3
huffy,8,2.85
hug,2.58,0.96
huge,4.9,3.14
hugeness,9.2,3.72
huggable,6.89,2.32
hugger,7.78,2.41
hula,7.72,3
hulk,9.06,3.89
hulking,11.17,4.68
hull,9.59,2.83
hullabaloo,10,3.39
hum,5.8,2.24
human,4.83,1.76
humane,9.37,1.98
humaneness,13.12,3.31
humanism,14,2.89
humanist,14.89,4.69
humanistic,15.67,2.57
humanitarian,12.56,2.85
humanitarianism,13.62,4.79
humanities,12,3.63
humanity,9.28,2.67
humanization,13.78,3.54
humanize,12.06,2.82
humanizing,14.15,2.78
humankind,7.81,3.12
humanness,9.87,2.9
humanoid,13.1,3.51
humble,8.89,3.41
humbleness,9.21,3.05
humbling,9.79,2.8
humbug,8.29,2.73
humdinger,12.06,3.36
humdrum,12.58,4.14
humerus,13.47,4.19
humid,8.56,2.12
humidification,12.41,3.62
humidifier,9.28,2.99
humidity,9.8,3.44
humidor,12.42,4.21
humiliate,8.89,2.88
humiliating,9.89,2.31
humiliation,8.21,2.1
humility,10.21,3.44
hummable,11.07,4.08
hummer,11.56,3.54
hummingbird,6.95,2.91
hummus,14.84,5.27
humongous,8.89,3.2
humor,7.17,2.31
humoresque,14.69,4.05
humorist,13.85,3.31
humorless,11.15,4.72
humorous,8.56,2.79
hump,6.11,1.64
humpback,8.24,2.32
humpbacked,8.21,2.23
humph,8.15,3.11
humpy,10.23,4
humungous,8.44,2.53
hunch,8.68,3.68
hunchback,8.63,2.52
hundred,5.47,1.9
hundredweight,13.2,3.52
hunger,6.06,2.46
hungry,3.63,1.5
hunk,8.33,3.43
hunker,10.64,3.3
hunky,9.74,2.77
hunt,6.06,2.01
hunter,6.53,1.76
hunting,7.26,4.52
huntress,12.06,4.63
huntsman,10.76,3.7
hurdle,8.75,2.88
hurdler,9.22,3
hurl,8.06,2.75
hurrah,9.46,3.69
hurray,5.25,2.68
hurricane,7.35,2.16
hurry,4.44,1.85
hurt,4,1.45
hurtful,7.75,4.14
hurtle,10.84,4.11
husband,5.53,2.27
husbandry,13,4
hush,4.44,1.88
hushed,7.21,2.64
husk,8.63,3.3
husky,10.21,3.55
hussar,14.75,4.27
hussy,12,3.37
hustings,14.67,2.89
hustle,9.72,3.69
hustler,12.74,3.19
hut,8.1,2.49
hutch,10.57,5.03
huzza,11.75,4.84
hyacinth,14.56,5.06
hyaline,13.7,3.09
hybrid,14.3,4.51
hybridization,14.88,3.48
hydrangea,13.2,4.48
hydrant,6.89,2.89
hydrate,10.22,2.94
hydration,12.72,3.2
hydraulic,12.95,2.33
hydraulics,14.06,4.62
hydrazine,16.4,2.99
hydro,10.56,3.45
hydrocarbon,14.67,2.13
hydrocephalic,16.91,2.07
hydrocephalus,15.78,4.68
hydrochloric,14.26,2.1
hydrochloride,13.95,3.31
hydrochlorothiazide,17.67,2.83
hydrocortisone,14.33,4.69
hydrocyanic,17.5,1.91
hydrodynamic,14.88,2.71
hydrodynamics,16.36,3.65
hydroelectric,14.78,3.19
hydrofluoric,14.47,3.08
hydrofoil,14.92,3.77
hydrogen,11,2.73
hydrogenated,14.6,3.49
hydrogenation,14.69,3
hydrographic,11.11,3.02
hydrology,14.87,2.92
hydrolytic,16.43,0.98
hydrometeor,16.4,3.34
hydrometer,14.55,2.84
hydrophobia,14.12,2.62
hydrophone,15.08,3.6
hydroplane,12.8,3.97
hydroponic,15.18,4.2
hydroponics,16.93,3.13
hydrosulfide,15.38,4.99
hydrotherapy,14.06,3.57
hydrothermal,14,4.06
hydrous,13.25,4.22
hydroxide,12.12,2.45
hydrozoa,12.75,5.91
hyena,6.61,2
hygiene,9,2.63
hygienic,11.45,2.87
hygienist,9.84,2.46
hymen,13.81,2.74
hymenoptera,15.25,5.37
hymn,7.5,2.21
hymnal,8.31,2.29
hymnody,17.5,1.29
hyoid,11,5
hype,11,3.53
hyper,8.05,3.57
hyperacidity,14.47,4.1
hyperactive,12.44,3.76
hyperactivity,11.16,3.24
hyperbaric,15.73,3.93
hyperbole,12.94,2.65
hyperbolic,15.19,2.43
hyperborean,15.33,2.52
hypercholesterolemia,17,4.16
hypercritical,13.82,1.94
hyperemia,14.5,3.66
hyperemic,14.33,2.08
hyperglycemic,16.65,4.02
hyperinflation,17.43,4.42
hyperkinetic,13.62,3.34
hyperparathyroidism,19.11,3.66
hyperplasia,17.09,4.37
hypersensitive,13.6,3.47
hypersensitivity,13.89,2.65
hypersexual,17.53,3.94
hypersonic,13.57,5.69
hyperspace,15.2,4.46
hypertension,16.28,4.16
hypertensive,17.17,4.25
hyperthermia,10.94,2.95
hyperthyroid,18.12,2.74
hypertonic,14.91,2.3
hypertrophic,15.92,2.1
hypertrophied,17.67,2.93
hypertrophy,15,2.92
hypervelocity,14.69,2.63
hyperventilate,11.56,3.4
hyperventilation,10.79,3.21
hyphen,8.53,1.74
hyphenate,11.33,3.05
hyphenated,9.94,2.11
hyphenation,10,2.47
hypnosis,9.44,2.23
hypnotherapist,13.37,3.95
hypnotherapy,13.47,2.61
hypnotic,11.7,3.18
hypnotism,10.32,3.15
hypnotist,10.3,2.85
hypnotize,9.89,3.3
hypo,11.13,3.68
hypoallergenic,13.37,4.07
hypochlorite,13.5,3.63
hypochondria,13.29,3.77
hypochondriac,12.22,3.35
hypocrisy,14,3.41
hypocrite,11.65,3.96
hypocritical,10.63,2.77
hypodermic,13.06,3.73
hypodermis,14.53,2.96
hypoglycemia,15.67,3.96
hypoglycemic,15.53,4.34
hypomania,16.2,5.2
hyposulfite,15.71,2.21
hypotension,14.41,3.32
hypotenuse,12.36,2.47
hypothalamic,14,6.07
hypothalamus,13.31,2.55
hypothermia,12.8,4.48
hypothermic,12.79,4.12
hypothesis,11.89,2.47
hypothesize,12.21,3.61
hypothetical,13.24,3.27
hypothyroidism,15.43,5.77
hypoxia,16.5,4.6
hypoxic,16.6,2.27
hyrax,13.67,2.89
hyssop,15.79,5.09
hysterectomy,14.44,3.85
hysteria,12.06,2.39
hysteric,10.67,3.05
hysterical,10.94,2.65
I,2.79,1.26
iamb,13.64,6.68
iambic,14.67,2.13
iatrogenic,16.25,5.97
ibex,11.71,3.15
ibis,13.71,4.35
ibuprofen,11.26,3.38
ice,3.86,1.06
iceberg,8.21,2.23
iceboat,13.31,4.29
icebound,10.95,3.65
icebox,7.11,3.41
icebreaker,9.72,3.08
