subj,link1,link2,rw,invite,irt5,irt7,irt9
S104,python,parrot,0,0,1,0,0
S104,buffalo,platypus,0,0,1,0,0
S104,opossum,baldeagle,1,1,1,1,1
S104,jellyfish,scorpion,0,0,1,0,0
S104,crocodile,alligator,1,1,1,1,1
S104,greatwhiteshark,wildebeast,0,0,1,0,0
S104,buffalo,tiger,1,1,1,1,1
S104,porcupine,starfish,1,1,0,1,1
S104,skunk,lemur,1,1,1,1,1
S104,crab,starfish,1,1,1,1,1
S104,horse,cat,1,1,1,1,1
S104,crab,octopus,1,1,0,0,1
S104,boar,sheep,1,1,1,1,1
S104,crab,jellyfish,0,0,0,1,0
S104,badger,lemur,1,1,0,1,1
S105,lion,elephant,1,1,1,1,1
S105,mouse,rat,1,1,1,1,1
S105,fish,dolphin,0,0,1,0,0
S105,shark,octopus,1,1,0,0,1
S105,donkey,lion,1,1,1,1,1
S105,dolphin,shark,1,1,1,1,1
S105,hippopotamus,ostrich,1,1,0,0,0
S105,pig,cow,1,1,1,1,1
S105,horse,cow,0,0,1,0,0
S105,ant,whale,1,1,1,1,1
S105,donkey,horse,1,1,1,1,1
S105,cat,gerbil,1,1,1,1,1
S105,snake,rat,1,1,1,1,1
S105,pig,chicken,1,1,1,1,1
S105,dolphin,dog,1,1,1,1,1
S105,fish,ostrich,1,1,1,1,1
S105,turtle,zebra,1,1,1,1,1
S105,lion,ostrich,1,1,1,1,1
S105,fish,dog,1,1,1,1,1
S105,sheep,wolf,1,1,1,1,1
S105,snake,bat,0,0,1,0,0
S105,chicken,octopus,1,1,1,1,1
S105,ant,elephant,1,1,1,1,1
S105,mouse,snake,0,0,1,0,0
S105,whale,ostrich,1,1,1,1,1
S105,horse,bat,1,1,0,1,1
S105,snake,cow,1,1,1,1,1
S105,chicken,cow,1,1,1,1,1
S105,sheep,horse,1,1,0,0,1
S105,elephant,ostrich,0,0,1,1,1
S105,elephant,giraffe,1,1,1,1,1
S105,cat,dog,1,1,1,1,1
S105,sheep,whale,0,0,1,0,0
S105,pig,horse,1,1,1,1,1
S105,elephant,leopard,1,0,0,0,0
S105,lion,giraffe,1,1,1,1,1
S105,donkey,leopard,1,0,1,1,1
S105,dolphin,ostrich,0,0,1,0,0
S105,lion,zebra,0,0,1,1,0
S105,dolphin,cow,1,1,1,1,1
S105,lion,leopard,1,1,1,1,1
S105,mouse,gerbil,1,1,1,1,1
S105,bat,rat,0,0,1,0,0
S105,donkey,zebra,1,1,1,1,1
S105,zebra,elephant,0,0,1,1,0
S105,dolphin,whale,1,1,1,1,1
S105,leopard,giraffe,1,1,0,0,1
S105,fish,cat,1,1,1,1,1
S105,sheep,cow,1,1,0,1,1
S105,hippopotamus,elephant,1,1,1,1,1
S105,elephant,whale,0,0,1,0,0
S105,giraffe,dog,1,1,1,1,1
S105,fish,elephant,1,1,0,1,1
S105,dolphin,sheep,0,0,1,1,0
S105,zebra,giraffe,1,1,1,1,1
S105,bat,skunk,1,1,1,1,1
S105,fish,shark,1,1,0,1,1
S106,lion,elephant,1,1,1,1,1
S106,mouse,gerbil,1,1,1,1,1
S106,flamingo,polarbear,1,1,1,1,1
S106,horse,giraffe,1,1,0,0,0
S106,pig,elephant,1,1,0,1,1
S106,panda,alligator,1,1,1,1,1
S106,coyote,penguin,1,1,1,1,1
S106,buffalo,lemur,1,1,1,1,1
S106,possum,rabbit,1,1,0,1,1
S106,alligator,kangaroo,0,0,1,0,0
S106,pig,buffalo,0,0,1,0,0
S106,mouse,armadillo,1,1,1,1,1
S106,squirrel,racoon,1,1,1,1,1
S106,rabbit,walrus,0,0,1,0,0
S106,possum,cow,1,1,1,1,1
S106,eagle,coyote,0,0,1,0,0
S106,penguin,polarbear,1,1,1,1,1
S106,pig,chicken,1,1,1,1,1
S106,elephant,tiger,0,0,1,1,0
S106,alligator,elephant,1,1,1,1,1
S106,lion,horse,1,1,1,1,1
S106,tiger,dog,0,0,1,1,0
S106,panda,kangaroo,1,1,1,1,1
S106,chicken,buffalo,1,1,1,1,1
S106,penguin,flamingo,0,0,1,0,0
S106,bear,hawk,1,1,1,1,1
S106,racoon,cow,1,1,1,1,1
S106,elephant,bear,1,1,1,1,1
S106,skunk,possum,1,1,0,1,1
S106,flamingo,walrus,0,0,1,0,0
S106,coyote,polarbear,0,0,1,0,0
S106,possum,dog,1,1,1,1,1
S106,chicken,giraffe,1,1,0,0,1
S106,elephant,giraffe,1,1,1,1,1
S106,bear,penguin,0,0,1,0,0
S106,skunk,armadillo,1,1,1,1,1
S106,duck,walrus,1,1,1,1,1
S106,alligator,rabbit,1,1,1,1,1
S106,horse,snake,1,1,1,1,1
S106,dog,cat,1,1,1,1,1
S106,pig,penguin,1,1,0,0,1
S106,mouse,bat,1,1,1,1,1
S106,mouse,eagle,1,1,0,1,1
S106,mouse,skunk,0,0,1,0,0
S106,alligator,walrus,1,1,1,1,1
S106,mouse,dog,0,0,1,0,0
S106,hawk,penguin,1,1,1,1,1
S106,tiger,giraffe,0,0,1,0,0
S106,squirrel,bat,1,1,0,1,1
S106,coyotee,lemur,1,1,1,1,1
S106,duck,polarbear,0,0,1,0,0
S106,lion,dog,1,1,1,1,1
S106,bear,tiger,1,1,1,1,1
S106,pig,tiger,0,0,1,0,0
S106,coyotee,giraffe,1,1,0,1,1
S106,eagle,hawk,1,1,1,1,1
S106,tiger,bat,1,1,0,0,1
S106,gerbil,giraffe,1,1,1,1,1
S106,horse,elephant,1,1,1,0,1
S106,lion,tiger,1,1,1,1,1
S106,bat,dog,1,1,1,1,1
S106,coyote,hawk,1,1,1,1,1
S106,gerbil,eagle,0,0,1,0,0
S106,duck,flamingo,1,1,1,1,1
S106,kangaroo,skunk,1,1,1,1,1
S106,possum,cat,0,0,1,0,0
S107,mouse,rat,1,1,1,1,1
S107,manatee,orca,1,1,1,1,1
S107,pelican,stingray,1,1,1,1,1
S107,sparrow,hawk,1,1,1,1,1
S107,cougar,bison,1,1,1,1,1
S107,bear,whale,0,0,1,0,0
S107,panda,humpbackwhale,0,0,1,0,0
S107,donkey,chicken,1,1,1,1,1
S107,tuna,cod,1,1,1,1,1
S107,stork,robin,1,1,1,1,1
S107,whale,narwhal,1,1,1,1,1
S107,snappingturtle,seaturtle,1,1,1,1,1
S107,ferret,rat,1,1,1,1,1
S107,sparrow,robin,1,1,1,1,1
S107,cheetah,rhinoceros,1,1,1,1,1
S107,chicken,manatee,0,0,1,0,0
S107,kangaroo,rat,1,1,1,1,1
S107,panda,orca,0,0,1,1,0
S107,cheetah,tiger,0,0,1,0,0
S107,skate,greatwhiteshark,1,1,1,1,1
S107,boxturtle,snappingturtle,1,1,1,1,1
S107,donkey,cow,0,0,1,0,0
S107,squid,bison,1,1,1,1,1
